#mt	mg
F-50179058-003S_S54	F-50179058-003S_S58_L002
F-50179060-003S_S8	F-50179060-003S_S92_L002
F-50179062-003S_S29	F-50179062-003S_S69_L002
F-50179064-003S_S78	F-50179064-003S_S103_L002
F-50179066-003S_S85	F-50179066-003S_S72_L002
F-50179068-003S_S28	F-50179068-003S_S107_L002
F-50179071-003S_S27	F-50179071-003S_S31_L002
F-50179073-003S_S7	F-50179073-003S_S50_L002
F-50179075-003S_S92	F-50179075-003S_S39_L002
F-50179077-003S_S61	F-50179077-003S_S27_L002
F-50179079-003S_S68	F-50179079-003S_S16_L002
F-50179081-003S_S6	F-50179081-003S_S45_L002
F-50179083-003S_S98	F-50179083-003S_S40_L002
F-50179085-003S_S5	F-50179085-003S_S18_L002
F-50179087-003S_S26	F-50179087-003S_S29_L002
F-50179089-003S_S75	F-50179089-003S_S48_L002
F-50179091-003S_S25	F-50179091-003S_S41_L002
F-50179093-003S_S104	F-50179093-003S_S49_L002
F-50179095-003S_S82	F-50179095-003S_S47_L002
F-50179097-003S_S58	F-50179097-003S_S28_L002
F-50179099-003S_S40	F-50179099-003S_S30_L002
F-50179101-003S_S39	F-50179101-003S_S26_L002
F-50179103-003S_S65	F-50179103-003S_S33_L002
F-50179105-003S_S4	F-50179105-003S_S46_L002
F-50179106-003S_S3	F-50179106-003S_S36_L002
F-50179108-003S_S89	F-50179108-003S_S21_L002
F-50179110-003S_S95	F-50179110-003S_S17_L002
F-50179112-003S_S2	F-50179112-003S_S20_L002
F-50179114-003S_S72	F-50179114-003S_S24_L002
F-50179116-003S_S38	F-50179116-003S_S35_L002
F-50179118-003S_S37	F-50179118-003S_S32_L002
F-50179120-003S_S1	F-50179120-003S_S44_L002
F-50179122-003S_S79	F-50179122-003S_S15_L002
F-50179123-003S_S101	F-50179123-003S_S22_L002
F-50179125-003S_S86	F-50179125-003S_S34_L002
F-50179127-003S_S36	F-50179127-003S_S38_L002
F-50179129-003S_S55	F-50179129-003S_S19_L002
F-50179131-003S_S16	F-50179131-003S_S25_L002
F-50179133-003S_S15	F-50179133-003S_S23_L002
F-50179135-003S_S35	F-50179135-003S_S42_L002
F-50179137-003S_S93	F-50179137-003S_S37_L002
F-50179139-003S_S62	F-50179139-003S_S43_L002
F-50179141-003S_S99	F-50179141-003S_S109_L002
F-50179143-003S_S69	F-50179143-003S_S54_L002
F-50179145-003S_S14	F-50179145-003S_S88_L002
F-50179147-003S_S34	F-50179147-003S_S65_L002
F-50179149-003S_S33	F-50179149-003S_S99_L002
F-50179151-003S_S13	F-50179151-003S_S97_L002
F-50179153-003S_S76	F-50179153-003S_S52_L002
F-50179155-003S_S83	F-50179155-003S_S86_L002
F-50179157-003S_S12	F-50179157-003S_S79_L002
F-50179159-003S_S11	F-50179159-003S_S114_L002
F-50179161-003S_S105	F-50179161-003S_S74_L002
F-50179163-003S_S59	F-50179163-003S_S101_L002
F-50179165-003S_S90	F-50179165-003S_S84_L002
F-50179167-003S_S96	F-50179167-003S_S119_L002
F-50179169-003S_S48	F-50179169-003S_S73_L002
F-50179171-003S_S47	F-50179171-003S_S108_L002
F-50179173-003S_S10	F-50179173-003S_S63_L002
F-50179176-003S_S66	F-50179176-003S_S96_L002
F-50179182-003S_S9	F-50179182-003S_S80_L002
