Metagenomics Sample Number	Sequence file names_R1	Sequence file names_R2	Diet Name	Diet Order Group Number	Diet Order Names	Time Point	Phase Day & Time	Animal Name - Tattoo 2	Animal Name	Animal Tattoo	Gender	age (yr)	BW	Location	Breed	Mean(ACT~Body Weight~WEIGH~kg)	Median(ACT~Body Weight~WEIGH~kg)	Min(ACT~Body Weight~WEIGH~kg)	Max(ACT~Body Weight~WEIGH~kg)	Range(ACT~Body Weight~WEIGH~kg)	Std Dev(ACT~Body Weight~WEIGH~kg)	Std Err(ACT~Body Weight~WEIGH~kg)	Ash_Diet	Phosphorus_Diet	Fiber Soluble_Diet	Fiber Total Dietary_Diet	Protein Crude_Diet	Starch_Diet	Sugars - Total_Diet	Total Digestible Carbohydrate_Diet	Fat Crude_Diet	Monounsaturated Fatty Acids_Diet	Omega 3 Sum_Diet	Omega 6 Sum_Diet	Polyunsaturated Fatty Acids_Diet	Mean(Feeding_Info~total_intake_gms (per MBW))	Median(Feeding_Info~total_intake_gms (per MBW))	Min(Feeding_Info~total_intake_gms (per MBW))	Max(Feeding_Info~total_intake_gms (per MBW))	Std Dev(Feeding_Info~total_intake_gms (per MBW))	Std Err(Feeding_Info~total_intake_gms (per MBW))	Diet Metabolizable Energy (per kg as fed)	Mean(Feeding_Info~total_intake_kcal (per MBW))	Protein Crude_Dog Intake (per MBW)	Fat Crude_Dog Intake (per MBW)	Total Digestible Carbohydrate_Dog Intake (per MBW)	Fiber Total Dietary_Dog Intake (per MBW)	Ash_Dog Intake (per MBW)	Phosphorus_Dog Intake (per MBW)	Fiber Insoluble_Dog Intake (per MBW)	Fiber Soluble_Dog Intake (per MBW)	Starch_Dog Intake (per MBW)	Sugars - Total_Dog Intake (per MBW)	Monounsaturated Fatty Acids_Dog Intake (per MBW)	Omega 3 Sum_Dog Intake (per MBW)	Omega 6 Sum_Dog Intake (per MBW)	Polyunsaturated Fatty Acids_Dog Intake (per MBW)	True Protein Digestibility	Apparent Fat Digestibility	Apparent Carbohydrate Digestibility	Apparent Fiber Digestibility	Fecal Bypass True Protein (g per MBW)	Fecal Bypass Fat (g per MBW)	Fecal Bypass Carbohydrate (g per MBW)	Fecal Bypass Fiber (g per MBW)
F-50179122-003S	F-50179122-003S_S15_L002_R1_001.fastq.gz	F-50179122-003S_S15_L002_R2_001.fastq.gz	HiCHO	2	LoCHO_FAT - LoCHO_PROT	Prefeed	P-27-0hr	AQUATA-FGS-1	AQUATA	FGS-1	Spayed Female	8.106849315	10.7	B5-21-09	Beagle	9.5	9.45	9.3	9.8	0.5	0.21602469	0.108012345	4.89	0.68	2.1	10.6	23.69	35.5	1.1	36.6	14.63	5.17	0.45	3.61	4.09	27.3934516	26.72035099	24.94830613	35.6032666	2.629799884	0.472326002	3767.895	103.2156493	6.489508683	4.007661969	10.02600328	2.903705869	1.339539783	0.186275471	2.328443385	0.575262484	9.724675317	0.301327968	1.416241448	0.123270532	0.988903603	1.12039217	89.7	89.8	88	2.3	0.668419394	0.408781521	1.203120394	2.836920634
F-50179223-003S	F-50179223-003S_S85_L002_R1_001.fastq.gz	F-50179223-003S_S85_L002_R2_001.fastq.gz	LoCHO_PROT	2	LoCHO_FAT - LoCHO_PROT	T2	T-69-0hr	AQUATA-FGS-1	AQUATA	FGS-1	Spayed Female	8.106849315	10.7	B5-21-09	Beagle	8.96	9	8.8	9.1	0.3	0.114017543	0.050990195	8.55	1.2	0.7	13.6	49.31	6.4	0.74	7.14	15.12	5.59	0.57	3.08	3.67	38.454319	38.46058797	36.67915307	39.73141513	0.737460484	0.12647343	3688.95	141.8560601	18.9618247	5.814293033	2.745638377	5.229787384	3.287844275	0.461451828	4.960607151	0.269180233	2.461076416	0.284561961	2.149596432	0.219189618	1.184393025	1.411273507	94.6	90.4	61	-0.4	1.023938534	0.558172131	1.070798967	5.250706534
F-50179221-003S	F-50179221-003S_S51_L002_R1_001.fastq.gz	F-50179221-003S_S51_L002_R2_001.fastq.gz	LoCHO_FAT	2	LoCHO_FAT - LoCHO_PROT	T1	T-34-0hr	AQUATA-FGS-1	AQUATA	FGS-1	Spayed Female	8.106849315	10.7	B5-21-09	Beagle	9	8.9	8.6	9.5	0.9	0.331662479	0.14832397	5.66	0.58	1.7	14.2	30.94	4.6	0.97	5.57	32.76	10.32	1.77	4.35	6.22	23.03111185	23.09428156	21.10726812	24.25869912	0.485857045	0.08212483	4168.205	95.99839556	7.125826006	7.544992242	1.28283293	3.270417882	1.303560931	0.133580449	2.878888981	0.391528901	1.059431145	0.223401785	2.376810743	0.40765068	1.001853365	1.432535157	86.1	94.2	53	0.6	0.990489815	0.43760955	0.602931477	3.250795375
F-50179079-003S	F-50179079-003S_S16_L002_R1_001.fastq.gz	F-50179079-003S_S16_L002_R2_001.fastq.gz	HiCHO	1	LoCHO_PROT - LoCHO_FAT	Prefeed	P-27-0hr	ARBY-3730264	ARBY	3730264	Neutered Male	1.498630137	12.6	B6-41-10	Beagle	11.975	12.05	11.7	12.1	0.4	0.189296945	0.094648472	4.89	0.68	2.1	10.6	23.69	35.5	1.1	36.6	14.63	5.17	0.45	3.61	4.09	34.79141456	34.46014474	32.06079648	40.13476354	1.762494934	0.316553435	3767.895	131.090397	8.24208611	5.089983951	12.73365773	3.687889944	1.701300172	0.236581619	2.957270238	0.730619706	12.35095217	0.38270556	1.798716133	0.156561366	1.255970066	1.422968856	89.7	89.8	88	2.3	0.848934869	0.519178363	1.528038928	3.603068475
F-50179153-003S	F-50179153-003S_S52_L002_R1_001.fastq.gz	F-50179153-003S_S52_L002_R2_001.fastq.gz	LoCHO_PROT	1	LoCHO_PROT - LoCHO_FAT	T1	T-34-0hr	ARBY-3730264	ARBY	3730264	Neutered Male	1.498630137	12.6	B6-41-10	Beagle	12.02	12	11.8	12.3	0.5	0.228035085	0.10198039	8.55	1.2	0.7	13.6	49.31	6.4	0.74	7.14	15.12	5.59	0.57	3.08	3.67	35.06283478	37.37833511	22.14662781	38.77520246	5.01943817	0.873772031	3688.95	129.3450444	17.28948383	5.301500618	2.503486403	4.76854553	2.997872374	0.420754017	4.523105687	0.245439843	2.244021426	0.259464977	1.960012464	0.199858158	1.079935311	1.286806036	94.6	90.4	61	-0.4	0.933632127	0.508944059	0.976359697	4.787619712
F-50179155-003S	F-50179155-003S_S86_L002_R1_001.fastq.gz	F-50179155-003S_S86_L002_R2_001.fastq.gz	LoCHO_FAT	1	LoCHO_PROT - LoCHO_FAT	T2	T-69-0hr	ARBY-3730264	ARBY	3730264	Neutered Male	1.498630137	12.6	B6-41-10	Beagle	11.36	11.4	11.1	11.6	0.5	0.181659021	0.081240384	5.66	0.58	1.7	14.2	30.94	4.6	0.97	5.57	32.76	10.32	1.77	4.35	6.22	31.76143239	30.42142086	29.27347846	35.19018413	2.408291013	0.407075479	4168.205	132.3881613	9.826987183	10.40504525	1.769111784	4.5101234	1.797697074	0.184216308	3.970179049	0.539944351	1.46102589	0.308085894	3.277779823	0.562177353	1.381622309	1.975561095	86.1	94.2	53	0.6	1.365951218	0.603492624	0.831482538	4.48306266
F-50179110-003S	F-50179110-003S_S17_L002_R1_001.fastq.gz	F-50179110-003S_S17_L002_R2_001.fastq.gz	HiCHO	1	LoCHO_PROT - LoCHO_FAT	Prefeed	P-27-0hr	BACON BEAGLE-WIT-1	BACON BEAGLE	WIT-1	Neutered Male	8.117808219	12	B7-53-18	Beagle	12.175	12.15	12.1	12.3	0.2	0.095742711	0.047871355	4.89	0.68	2.1	10.6	23.69	35.5	1.1	36.6	14.63	5.17	0.45	3.61	4.09	31.95556267	32.21493492	30.6379796	32.8314887	0.669016153	0.120158848	3767.895	120.4052048	7.570272795	4.675098818	11.69573594	3.387289643	1.562627014	0.217297826	2.716222827	0.671066816	11.34422475	0.351511189	1.65210259	0.143800032	1.153595812	1.306982513	89.7	89.8	88	2.3	0.779738098	0.476860079	1.403488313	3.309381981
F-50179245-003S	F-50179245-003S_S53_L002_R1_001.fastq.gz	F-50179245-003S_S53_L002_R2_001.fastq.gz	LoCHO_PROT	1	LoCHO_PROT - LoCHO_FAT	T1	T-34-0hr	BACON BEAGLE-WIT-1	BACON BEAGLE	WIT-1	Neutered Male	8.117808219	12	B7-53-18	Beagle	12.4	12.4	12.2	12.5	0.3	0.122474487	0.054772256	8.55	1.2	0.7	13.6	49.31	6.4	0.74	7.14	15.12	5.59	0.57	3.08	3.67	34.81200743	34.92816366	33.54457959	35.60598071	0.524708336	0.089986737	3688.95	128.4197548	17.16580086	5.263575523	2.48557733	4.73443301	2.976426635	0.417744089	4.490748958	0.243684052	2.227968475	0.257608855	1.945991215	0.198428442	1.072209829	1.277600673	94.6	90.4	61	-0.4	0.926953246	0.50530325	0.969375159	4.753370742
F-50179247-003S	F-50179247-003S_S87_L002_R1_001.fastq.gz	F-50179247-003S_S87_L002_R2_001.fastq.gz	LoCHO_FAT	1	LoCHO_PROT - LoCHO_FAT	T2	T-69-0hr	BACON BEAGLE-WIT-1	BACON BEAGLE	WIT-1	Neutered Male	8.117808219	12	B7-53-18	Beagle	12.46	12.4	12.3	12.7	0.4	0.151657509	0.0678233	5.66	0.58	1.7	14.2	30.94	4.6	0.97	5.57	32.76	10.32	1.77	4.35	6.22	27.13631653	27.22676639	26.18783605	27.9966111	0.395705498	0.066886437	4168.205	113.1097302	8.395976335	8.889857295	1.511492831	3.853356947	1.535915516	0.157390636	3.392039566	0.461317381	1.24827056	0.26322227	2.800467866	0.480312803	1.180429769	1.687878888	86.1	94.2	53	0.6	1.167040711	0.515611723	0.710401631	3.830236805
F-50179085-003S	F-50179085-003S_S18_L002_R1_001.fastq.gz	F-50179085-003S_S18_L002_R2_001.fastq.gz	HiCHO	1	LoCHO_PROT - LoCHO_FAT	Prefeed	P-27-0hr	BORON-127AA	BORON	127AA	Neutered Male	7.279452055	11.4	B6-32-02	Beagle	10.35	10.45	10	10.5	0.5	0.238047614	0.119023807	4.89	0.68	2.1	10.6	23.69	35.5	1.1	36.6	14.63	5.17	0.45	3.61	4.09	25.40805522	25.21029057	11.02533234	34.45911212	3.911342836	0.702497911	3767.895	95.73488424	6.019168283	3.717198479	9.299348212	2.693253854	1.2424539	0.172774776	2.159684694	0.53356916	9.019859604	0.279488607	1.313596455	0.114336249	0.917230794	1.039189459	89.7	89.8	88	2.3	0.619974333	0.379154245	1.115921785	2.631309015
