Sample_Number	Sample_Type	Phase_Day_Time	Test	Sample_Number	Animal_Name_Tattoo	Tube_ID	Index_Plate	Plate_Position	RIN_1to9	QubitConcng_uL_1to9	Vol_for_400ng	NF_Water_Vol	Qubit_no_Dil	Vol_for_400ng	NF_Water_Vol	Plate_Location	Index__Lib	Quantit_ng_uL_Lib	Avg_bp_size_Bioanalyzer	Molarity_nM	Dilute_to_10nM_sample	Vol_to_dilute_to_10nM_RSB	Dil_to_2nM_samp	Dil_to_2nM_Vol__RSB	Tube_ID
F-50179120-003S	Feces	P-24-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179120-003S	SLIMJIM-3574556	1			8.1	152	2.63	7.37				A01	B	15.95	310	77.96	2.57	17.43	2.80	11.20	1
F-50179112-003S	Feces	P-24-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179112-003S	FLAMINGO-1969634	2			7	214	1.87	8.13				B01	B	17.38	305	86.34	2.32	17.68	2.80	11.20	2
F-50179106-003S	Feces	P-24-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179106-003S	PERDITA-BYS-1	3			6	362	1.10	8.90				C01	B	12.19	308	59.97	3.34	16.66	2.80	11.20	3
F-50179105-003S	Feces	P-24-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179105-003S	SOONER-CFGCPT	4			7.8	279	1.43	8.57				D01	B	14.14	308	69.56	2.88	17.12	2.80	11.20	4
F-50179085-003S	Feces	P-24-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179085-003S	BORON-127AA	5			6.6	29	13.79	-3.79	261	1.53	8.47	E01	B	36.9	250	223.64	0.89	19.11	2.80	11.20	5
F-50179081-003S	Feces	P-24-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179081-003S	SNAPPLE-1535812	6			6.5	93.2	4.29	5.71				F01	B	16.58	297	84.58	2.36	17.64	2.80	11.20	6
F-50179073-003S	Feces	P-24-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179073-003S	ZERO-1032003	7			7	116	3.45	6.55				G01	B	14.2	302	71.24	2.81	17.19	2.80	11.20	7
F-50179060-003S	Feces	T-66-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179060-003S	FRONTIER-1971400	8			6.2	46.7	8.57	1.43				H01	B	7.37	282	39.60	5.05	14.95	2.80	11.20	8
F-50179182-003S	Feces	T-32-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179182-003S	SOONER-CFGCPT	9			5.9	310	1.29	8.71				A02	B	7.57	282	40.67	4.92	15.08	2.80	11.20	9
F-50179173-003S	Feces	T-32-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179173-003S	KANGA-FQS-1	10			6.1	344	1.16	8.84				B02	B	6.89	280	37.28	5.36	14.64	2.80	11.20	10
F-50179159-003S	Feces	T-66-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179159-003S	SNAPPLE-1535812	11			6.4	167	2.40	7.60				C02	B	14.21	281	76.62	2.61	17.39	2.80	11.20	11
F-50179157-003S	Feces	T-32-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179157-003S	SNAPPLE-1535812	12			5.9	277	1.44	8.56				D02	B	6.22	285	33.07	6.05	13.95	2.80	11.20	12
F-50179151-003S	Feces	T-66-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179151-003S	KANGA-FQS-1	13			6.8	115	3.48	6.52				E02	B	12.64	282	67.91	2.94	17.06	2.80	11.20	13
F-50179145-003S	Feces	T-66-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179145-003S	BORON-127AA	14			6.5	117	3.42	6.58				F02	B	15.33	280	82.95	2.41	17.59	2.80	11.20	14
F-50179133-003S	Feces	P-24-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179133-003S	GOBLIN-120AB	15			6.2	132	3.03	6.97				G02	B	20.64	290	107.84	1.85	18.15	2.80	11.20	15
F-50179131-003S	Feces	P-24-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179131-003S	HERRERA-2936586	16			7.1	46.5	8.60	1.40				H02	B	37.97	313	183.80	1.09	18.91	2.80	11.20	16
F-50179257-003S	Feces	T-32-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179257-003S	SAUSAGE-3253997	17			5.6	345	1.16	8.84				A03	B	3.9	279	21.18	9.44	10.56	2.80	11.20	17
F-50179247-003S	Feces	T-66-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179247-003S	BACON_BEAGLE-WIT-1	18			7.3	269	1.49	8.51				B03	B	10.61	295	54.49	3.67	16.33	2.80	11.20	18
F-50179241-003S	Feces	T-32-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179241-003S	FRANKENWEENIE-120AD	19			5.8	245	1.63	8.37				C03	B	4.2	281	22.65	8.83	11.17	2.80	11.20	19
F-50179239-003S	Feces	T-66-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179239-003S	PERDITA-BYS-1	20			6.6	61.6	6.49	3.51				D03	B	26.52	278	144.54	1.38	18.62	2.80	11.20	20
