	Prefeed_HiCHO_mean	T1_LoCHO_PROT_mean	theta	prob	log2FC
K00040	6797.05995214091	2527.09742132087	2.86890865484141	1	1.42742956565309
K00074	649.406970665878	224.325912242263	2.35603788027324	1	1.53352659239899
K00128	3023.51682673545	1376.38886112314	2.33652838941449	1	1.13533948626864
K00287	195.939467469207	40.2291019955691	2.55825957944764	1	2.28409658516693
K00366	347.999878109468	76.5354623172216	2.70704404451567	1	2.18488652751457
K00560	1067.11980931684	573.667348239308	2.2970903962855	1	0.895435851012763
K00626	1063.61508576353	375.630460593869	2.51155776612058	1	1.50159018113631
K00764	1733.44491319374	863.092610500785	2.52284096019921	1	1.00605471503626
K00895	1644.99587531131	608.822802484551	2.59957827151344	1	1.43398966772681
K01200	744.412399984116	346.506377529975	2.32853501775899	1	1.10322018142048
K01223	10868.9491165953	3835.41351878164	3.67302772368476	1	1.50275842083423
K01318	299.974008167048	68.6030002258949	2.48714573045654	1	2.12849392450956
K01686	2266.42604847538	944.815036677689	2.3553442276318	1	1.26231525765852
K01772	242.013186047026	45.1913607382543	2.5283529417608	1	2.42096675146826
K01788	560.814081921176	169.209180251538	2.27905903537795	1	1.72871473320697
K01975	268.864066708672	44.4386799196282	2.56504803020264	1	2.59698908773515
K02010	421.849639269808	98.2091479276006	2.45033297703973	1	2.10279954859194
K03100	2531.83911400623	778.16648503537	3.82888938386555	1	1.70203498034401
K03215	1676.1591096709	856.735365057803	2.40983758862258	1	0.968237555961363
K03231	338.363199214879	34.9090140768715	2.73672378220564	1	3.27690115071166
K03547	742.24262460847	302.576605199654	2.34885785359473	1	1.29459040805202
K03687	1270.15856581767	507.223386285201	3.1940698457418	1	1.32431544369175
K03695	12113.0076306491	6259.72582373665	3.67007939055767	1	0.952385753670411
K03785	437.803938080684	152.484072597159	2.28308329162784	1	1.52162637486062
K05687	642.691130982564	204.007446085942	2.49168425379223	1	1.65550375337756
K06179	413.524070279339	122.195768263928	2.49713224810993	1	1.75877698342919
K07284	6175.24950185747	1232.00080740833	3.20377815517401	1	2.3254942263196
K07485	1131.58441105606	442.93570617401	2.52089602658854	1	1.35317500077367
K07646	1583.5361264549	769.170823302238	2.33353159771426	1	1.04177383751469
K08600	608.094235387207	167.494100878377	3.19806712793979	1	1.86018462820447
K08724	1275.47989635337	492.421668457455	2.28526270268983	1	1.37307400739706
K09014	2733.08820644532	1220.24136637714	2.62503367547205	1	1.16336547728645
K12410	1122.26439641547	608.212502022359	2.51196460760826	1	0.883765226382943
K14441	11989.887904009	3962.70752031267	3.81331000936262	1	1.59725977690468
K15342	758.261406764351	283.118522183093	2.4088558544106	1	1.42128915958491
K21071	1206.44082296067	538.923262060147	2.7842202923594	1	1.16260538615167
K21960	294.693903578543	71.6899569205056	2.47021487524813	1	2.03937428493003
K00975	1646.33417436429	755.668519831206	2.46034672573106	1	1.12343177664048
K03492	507.107019407578	156.941192579361	2.70900200384608	1	1.6920661761784
K11103	417.709207413465	87.9111791203363	2.9313247407996	1	2.24838040391517
K22373	682.938126197337	217.444543768082	2.83284003471254	1	1.65110736869285
K00688	2953.29562226198	1710.6740447144	2.57244275580269	1	0.787760884200897
K01623	1369.50599217454	322.22678100656	3.38698770571711	1	2.08750726863221
K25290	843.940023823321	280.455905089631	2.59164521356358	1	1.58936651500393
K00100	879.050259347913	371.082746508901	2.30052586591159	1	1.24420472874673
K01568	96.8231344227988	6.91275334528382	2.30420671694708	1	3.8080194441217
K00625	4038.64894813743	1945.53270892651	2.38561156287687	0.999999999999999	1.0537075124028
K01443	1041.51724545859	579.898650509079	2.30555134594831	0.999999999999999	0.844814041673641
K07450	549.723549423915	178.250010339699	2.82948167667256	0.999999999999999	1.62480412347633
K10591	20.4130834290709	0.711751307580345	2.86946162186227	0.999999999999999	4.84197707162144
K02794	3386.56784515875	1609.66368198157	2.56847725826126	0.999999999999999	1.07306461072311
K04079	5587.17856710644	2527.69412109129	3.63031369140631	0.999999999999999	1.1442980377475
K01338	5285.73657430388	2577.65099054413	3.49592079803659	0.999999999999999	1.03604758853142
K01442	3535.4017200381	1091.99982550231	3.67613946719807	0.999999999999999	1.6949015289406
K04068	835.630002735654	263.109684095073	2.64980366424052	0.999999999999999	1.66719994258067
K01176	1510.56590746328	215.264420454049	3.42091778687513	0.999999999999999	2.81090734025121
K07749	565.424072444613	194.648581846892	2.56881345595245	0.999999999999999	1.53846147231391
K08348	1088.46977204432	236.364328823358	3.52499043606713	0.999999999999999	2.20321711173333
K10877	87.5104338445437	4.12727375002991	2.39041137790105	0.999999999999999	4.40619400294103
K21527	33.9491242463199	1.04282690961704	2.65404085135534	0.999999999999998	5.02480273751122
K00762	1029.9743478428	401.747403340297	2.8699296984114	0.999999999999998	1.35824780232286
K07005	246.690860008397	48.3822361352363	2.63927144056385	0.999999999999998	2.3501549096187
K07305	621.798106768152	197.252337874346	2.79374661964794	0.999999999999997	1.65640382456035
K02796	3765.62717195651	1372.79223363199	3.22680305175094	0.999999999999997	1.45577687221434
K06990	1930.43137121344	554.408669138861	2.98013057596139	0.999999999999997	1.79990154412697
K26113	1349.02529784403	217.668873135712	3.41319687457454	0.999999999999997	2.6317103823732
K01613	1218.47561583456	214.46184314467	3.45870739757928	0.999999999999995	2.50628448741514
K26114	349.99159549919	24.8498612775123	3.45303996723184	0.999999999999995	3.81601057522264
K00370	1105.47382490075	170.357913435016	3.90912921264919	0.999999999999994	2.69802399591706
K25133	2798.88589994521	855.948706430223	3.45847470398198	0.999999999999993	1.70925642544978
K02761	3605.08476249436	1016.99891881773	4.1465365131494	0.99999999999993	1.82571503495528
K01208	1880.97344697213	297.4180712745	4.25228211935452	0.999999999999928	2.66091526893959
K07486	2386.68783687488	530.667110321221	4.26094682577323	0.999999999999921	2.16913084240392
K02567	147.708098698936	23.8987172209242	2.2304608532196	0.999999951250764	2.62774384210181
K24213	99.880938973585	9.70502946039645	2.21674717184301	0.999998476722843	3.36340488652818
K03671	727.918037506874	353.42734406722	2.19909663944145	0.999951638265286	1.04236235119592
K13566	420.747681296103	163.53068681533	2.1978645357852	0.999941202070911	1.36339393567088
K12573	2553.48858321393	1565.66100060181	2.09913684355795	0.999915326171139	0.705697736868853
K05540	775.615151586778	389.461417816809	2.19405573424379	0.999893614135595	0.993860572579185
K01845	266.854798688425	115.428673558431	2.10715432207499	0.999887379334371	1.20905330727301
K01222	509.495200314192	158.481773064857	2.1076610589104	0.999880551312181	1.68475162954889
K02819	162.089456042051	37.5448031343289	2.09269422701496	0.999824434136602	2.11010511412188
K07126	610.636610597684	160.538719443649	2.11184753651178	0.999801938798547	1.9273927937016
K01626	616.572678662421	279.995936473795	2.11333387473244	0.999761855757515	1.13886507292768
K01847	647.634121389149	296.406637778917	2.11604628652539	0.999671066223381	1.1276012418257
K02834	296.188852742751	109.409194272243	2.18519064240334	0.999656351797442	1.43678336386261
K00561	578.03908058177	145.130628625486	2.11900174569885	0.999543056035015	1.9938150145772
K09963	136.157316360307	32.7835711762315	2.08049379053152	0.999139265138578	2.05422958351843
K00705	937.02035214167	535.818330614404	2.08025630233876	0.999115307270523	0.806336446305832
K01754	782.894467892253	481.882651213409	2.13000856906182	0.998781300380124	0.700135987174743
K00844	60.9005997134425	5.10249021907519	2.16263938139683	0.997983253975754	3.57718301813538
K05516	387.054432598758	163.594222261055	2.14681919176916	0.99751931166997	1.24241467427035
K22522	142.229716356957	33.5947831411535	2.15484471972861	0.997516503892418	2.08191379917313
K02991	18.8753811743396	1.31988559438796	2.05904199285133	0.995420180012966	3.83802098931596
K17828	808.514047508892	528.151122558271	2.01326522490627	0.995251533803885	0.614322045688623
K01812	2445.68726510277	1608.65740776076	2.02181406038492	0.995214953273047	0.604382824197946
K01195	210.389643776557	64.9353079962333	2.01147126751305	0.995184965308234	1.69598864185038
K00931	865.537568248291	234.396733661944	2.003033577849	0.994671879576398	1.88464397462166
