	Prefeed_HiCHO_mean	T2_LoCHO_FAT_mean	theta	prob	log2FC
K03310	497.463603689018	982.37025122715	-3.22474020071668	1	-0.981675896228798
K10671	367.730849179387	1049.00527171537	-3.16748631466674	1	-1.51229981276076
K10672	267.643552512692	823.810016580365	-3.14745956741672	1	-1.62199876902657
K23876	411.610135803687	888.881300792278	-3.05070688719279	1	-1.11071226897094
K24846	3.75322023649716	161.835911572509	-3.99465136794794	1	-5.43025901962881
K25674	206.800872772272	565.319405545572	-2.93726888730026	1	-1.45082394644764
K02890	407.060531924195	766.027270111619	-2.67183065039778	1	-0.912152405775876
K20525	0.762322476186196	58.661524298643	-2.98986542507695	1	-6.26586933635456
K02963	498.187841061141	1230.29302084167	-2.81342787870015	1	-1.3042402492339
K01647	162.775154883993	400.553171338747	-2.8481899623809	0.999999999999999	-1.29911325429938
K02117	501.559720370402	1122.88156881608	-3.27221273203652	0.999999999999999	-1.16271237672262
K07548	35.4638201069182	174.251337005769	-2.76881400503858	0.999999999999997	-2.29674987117008
K01874	4100.10071233183	16163.5172001487	-3.53526703514853	0.999999999999997	-1.97900991162499
K04069	172.342566071515	596.998613428279	-2.77302997430016	0.999999999999994	-1.79244851076539
K01489	129.258532258657	517.201544516498	-3.38870382006098	0.999999999999992	-2.00046706856811
K07714	268.863075989647	1295.8371926143	-4.51735538450973	0.999999999999985	-2.26894092816904
K02990	378.754194714556	885.091169030382	-2.42143302492708	0.999999968450559	-1.22456420143528
K06398	126.723998674071	334.650613459579	-2.41786563803693	0.999999922738365	-1.40096589462714
K08998	96.7596604283159	270.793679361906	-2.59734878269647	0.999999812034092	-1.48471645373709
K07175	48.564308870257	186.407762650635	-2.4130132015302	0.999999753309047	-1.94049360439073
K10823	213.943785206184	475.673936347445	-2.58498971254912	0.9999971675556	-1.15274120660221
K25676	60.1761425631797	230.080300254132	-2.5749682882267	0.999982340140426	-1.93487392911047
K01711	74.356057851728	216.788406660572	-2.27202024909737	0.999937386429292	-1.5437654170023
K02867	1069.87776901482	1696.91595421929	-2.26950026431505	0.999931929800455	-0.665469130490475
K05662	1.53395654923983	22.0826877410993	-2.56578176835824	0.999928676885502	-3.84758625411164
K07775	228.599202518944	458.050829483897	-2.27846442634694	0.999914034827777	-1.00268733112291
K15582	109.204534271247	275.216656926529	-2.56336351423783	0.999901628445382	-1.33353502934853
K06972	335.159494181672	689.350378726324	-2.25698835889821	0.999808890740548	-1.04038965125979
K01012	357.896889033044	770.824003490477	-2.29212365155589	0.999621533546307	-1.10685749452398
K02118	495.98146793875	838.788561268723	-2.22925674627469	0.999235231356285	-0.758020971089347
K05795	24.639347424768	108.585140110613	-2.30061481884395	0.999200839471505	-2.13979073191242
K08325	40.6807434265745	228.062349463143	-2.53563017088379	0.998989064396233	-2.48701034422806
K12941	63.7388840386459	189.83394824742	-2.21214304829986	0.998980501558056	-1.57449234915763
K25675	81.2812801347856	303.525213547555	-2.20218777148396	0.998850551515396	-1.90082133570518
K02906	1562.26638546775	2524.34232443018	-2.20061011285092	0.998833239501055	-0.692267094978134
K01712	161.45246280343	376.332215613305	-2.20007513030455	0.998827474437468	-1.22089734737057
K11180	428.793831449	1343.58081613809	-2.19837664453368	0.998810700245371	-1.64772704509541
K18908	687.692333438218	982.780561121174	-2.19806959417835	0.998807697841702	-0.515106060072051
K01768	64.962052034512	242.55778777727	-2.19613243637572	0.998790475123878	-1.90065939023374
K05311	50.4149794730212	252.439721934216	-2.51837297774003	0.998787280089554	-2.3240145782845
K02968	268.717451466737	531.630199549158	-2.52741585594541	0.998754376042533	-0.984333041896896
K02243	129.276347404276	479.610775915533	-2.18458016484032	0.99871655840808	-1.89140573202133
K07058	117.039186055036	286.946180030966	-2.15731608813455	0.998713861421077	-1.29378852721403
K18675	89.4793410852787	308.735139178508	-2.15901975269421	0.998691609684333	-1.78674315719548
K11751	77.5209364693064	226.39905391458	-2.17214772262644	0.99865109324173	-1.54621002535858
K12538	43.6692874911968	192.630871616324	-2.30928610369945	0.998614924254076	-2.14114803507076
K02123	348.467959478165	605.487857387056	-2.31075602201534	0.998511044573632	-0.797072017057426
K09825	427.745044068081	825.539319882522	-2.31192956238365	0.998429578196486	-0.94858579188515
K00639	386.322126813506	875.127778263108	-2.34438054938013	0.998301123523131	-1.17968937054664
K00187	1796.32985706305	3313.38389757974	-2.1068126595806	0.998281825370324	-0.883253073539561
K00656	2179.17115839617	3564.20862849737	-2.31838888808283	0.998028079554974	-0.709802272153071
K24085	200.339133372438	510.300542018625	-2.33895347082969	0.997995583158353	-1.34890291565579
K03305	195.738119672359	439.708857974329	-2.32076021091917	0.997913740753838	-1.16762385028425
K02804	210.132010778613	468.701648936197	-2.3325028645715	0.997769144456381	-1.15737391647178
K05805	0.694153323837242	15.9513690013061	-2.09058594407899	0.997746156832676	-4.52228207719919
K00091	0.705428436558389	15.3728690894633	-2.0749177133572	0.997158693898539	-4.44574290140227
K01266	0.882645419620723	6.31368932044402	-2.0084774776481	0.997108384899562	-2.83857737800278
K15532	110.300335175148	251.305440309777	-2.00588299138248	0.997094665341252	-1.18800472837808
