	Prefeed_HiCHO_mean	T2_LoCHO_FAT_mean	theta	prob	log2FC
K00016	2513.0667006538	849.620657735062	4.27113528267493	1	1.56455821360358
K00040	7363.62622152788	2006.9636917989	4.49067742467604	1	1.87540188020655
K00057	732.899829404117	321.490331064842	3.21341975727372	1	1.1888406798694
K00100	952.323149325221	326.595644856804	3.07950043588538	1	1.54394564981523
K00370	1197.62016247743	406.988778909412	3.16875742633264	1	1.55710949154034
K00626	1152.27230453867	413.305031170687	3.07322325406802	1	1.47920286330882
K00688	3199.46642182581	1711.20694116541	3.24191528179629	1	0.902817085867929
K00700	3262.34517455595	2006.4341075038	3.42254800030541	1	0.701275657486351
K00864	2591.46871641	739.305371356701	3.04294330344017	1	1.80952767769932
K00895	1782.11386202827	574.30549719112	3.24742423954174	1	1.63369923961001
K00974	984.324177290978	386.821239378897	3.10212067570587	1	1.34746651922152
K00975	1783.56371447451	791.974050962905	3.56037202642183	1	1.17123768802904
K01193	597.609004880263	111.595049032948	3.8520897066325	1	2.42092886433993
K01226	179.217931595027	23.2353349204416	3.02720346454679	1	2.94732264751585
K01338	5726.3270756312	2782.31953641737	3.77256397984522	1	1.04132196017563
K01534	1162.21801221736	594.29037130496	3.17471004133793	1	0.967640807338255
K01623	1483.66062761291	427.663766657153	3.12298831958417	1	1.79461224102052
K01686	2455.34310381512	858.966945280336	3.71044891984997	1	1.51525011757428
K01839	1121.16156888292	484.872968156557	3.19068631952085	1	1.20931546738793
K01905	1078.56545266196	299.796625158481	3.13951608386781	1	1.8470576810701
K01975	291.275125654733	34.2764443855126	3.21757290038564	1	3.0870931367455
K02010	457.012750680654	86.4873147546472	3.65622986858747	1	2.40167396633537
K02528	1366.12825711282	711.17372623262	3.16551747230869	1	0.941819004464671
K02770	1529.75857548664	230.356484804372	4.32629945454759	1	2.73136386944457
K03046	9415.09716334566	6006.60501941065	3.16810788634205	1	0.648426184797438
K03492	549.376726338028	132.431202617477	3.63822181520412	1	2.05255271268495
K03495	1484.12276645702	601.438084369883	3.53771809120671	1	1.30312230594508
K03568	471.789763163314	133.672085600281	3.06450527868243	1	1.8194458929272
K03595	1707.95615590634	656.115537261477	3.9352834109475	1	1.38024915010375
K03601	854.939865635763	356.989939227166	3.11071795044556	1	1.25993953148887
K03664	1893.23903838894	1016.40046208402	3.07309556739919	1	0.897387639321453
K03705	7405.90193345093	3224.43263040552	3.81802595007551	1	1.19963011898562
K04043	16330.4286232687	8811.46001816369	3.16908656422714	1	0.89010966572201
