	Prefeed_HiCHO_mean	T2_LoCHO_FAT_mean	theta	prob	log2FC	P	id
K00001	2.15606286541734	0.491108243006749	1.19789620372764	0.987253373243083	2.13428630132864	0.0127466267569172	K00001
K00002	4.4874664850634	2.2699961206212	0.686007351542286	0.956614639523245	0.983211332132969	0.0433853604767551	K00002
K00003	82.3420091889345	121.346142300645	-0.910501938562557	0.976232666766298	-0.559427687958879	0.0237673332337017	K00003
K00004	13.7296226960733	2.16894850253037	1.32977897505565	0.991796464266883	2.66222427477223	0.00820353573311672	K00004
K00005	25.4526020900317	26.4876084200516	-0.0526491656746366	0.207078762097622	-0.0575044333499618	0.792921237902378	K00005
K00006	1.86276677589848	0.449849335814069	1.33965672051154	0.991825193064337	2.04993325779561	0.00817480693566319	K00006
K00008	35.6962479285498	36.7768941085608	-0.0408994068182409	0.161882968817743	-0.0430272070743164	0.838117031182257	K00008
K00009	5.91994309314551	1.61854963425554	0.620912542478579	0.952408492891684	1.87088169992884	0.0475915071083156	K00009
K00010	66.0870207048669	55.1254596958863	0.285649309772371	0.958035516494878	0.261648177043176	0.0419644835051219	K00010
K00011	6.9707948961301	4.18129119260008	0.410446080289332	0.968614831211582	0.737374660636864	0.0313851687884185	K00011
K00012	179.944927771788	243.138111406052	-0.785792352811163	0.968492186285127	-0.434220613990557	0.031507813714873	K00012
K00013	1478.15813794147	1185.9524465643	0.859374382667245	0.969343448090817	0.317754458795009	0.0306565519091826	K00013
K00014	12.6927992704943	28.2034384857109	-1.0205013117828	0.984453633839253	-1.15186078646639	0.015546366160747	K00014
K00015	45.665370358501	92.8588041369315	-1.20893074026253	0.991128970331951	-1.02393816759015	0.00887102966804876	K00015
K00016	2513.0667006538	849.620657735062	4.27113528267493	1	1.56455821360358	0	K00016
K00018	60.9740742201416	31.9208202748539	0.772963403691532	0.963378348603052	0.933698223279509	0.0366216513969478	K00018
K00019	1.23394725944711	5.73971746179086	-1.29000960767919	0.992220438914116	-2.21769898873694	0.00777956108588373	K00019
K00020	0.662398087027028	0.585829110880058	0.124949139858447	0.695273242542267	0.177218621355758	0.304726757457733	K00020
K00021	1.59490479286343	0.407741215093582	1.37515416513998	0.992319177676818	1.96774460642928	0.00768082232318168	K00021
K00022	15.997728690063	18.9446004226111	-0.131012479760138	0.466637348622757	-0.243919620904459	0.533362651377243	K00022
K00023	0.544875715319377	0.405304404151319	0.375814761652609	0.96958115051677	0.426921340369043	0.0304188494832304	K00023
K00024	976.246288441847	828.817009650132	0.386975648268531	0.96954565766806	0.236191546853212	0.0304543423319404	K00024
K00025	5.51723590089111	6.89074102237217	-0.195139654198698	0.639188856716194	-0.320713469823741	0.360811143283806	K00025
K00026	29.5979824891601	9.42415244098322	1.20657578341853	0.987655167064441	1.65106405875918	0.0123448329355589	K00026
K00027	335.852501214843	222.361181522258	1.24068336394799	0.989675100749438	0.594922820203417	0.0103248992505621	K00027
K00029	685.03030894664	730.988975706513	-0.265163817214956	0.740525165131175	-0.0936818275015665	0.259474834868825	K00029
K00030	90.6510738582147	55.4316355388989	0.81993708406263	0.966152630199841	0.709614534613515	0.0338473698001591	K00030
K00031	265.688054048258	314.087618737194	-0.541373619346858	0.919558242282941	-0.241433711030746	0.0804417577170593	K00031
K00033	246.332429805225	186.68550951987	0.489008688633256	0.960465274416103	0.399996621666878	0.0395347255838974	K00033
K00034	0.730088304120075	1.4737481637222	-0.686793616068225	0.956233089747355	-1.01334714211561	0.0437669102526453	K00034
K00036	16.8486127546473	9.81965286607752	0.399730575195473	0.969230367923942	0.778885880798084	0.0307696320760583	K00036
K00040	7363.62622152788	2006.9636917989	4.49067742467604	1	1.87540188020655	0	K00040
K00041	1806.29046124967	1275.75291447852	1.53830254583251	0.99624672220402	0.501680967031637	0.00375327779598011	K00041
K00042	15.9670045380857	14.5753431595353	0.0943277020398648	0.540393003942686	0.131563833452398	0.459606996057314	K00042
K00046	10.9313691453424	3.1867454317594	1.05851041374003	0.984758435698422	1.77831842737542	0.015241564301578	K00046
