id	Prefeed_HiCHO_mean	T2_LoCHO_FAT_mean	theta	prob	log2FC	P	level1	level2	level3	ko_name	color	sig
K15632	0.739573522276029	7.25761161665468	-1.21746310060441	0.991618828721834	-3.29472937423449	0.00838117127816551	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	cfr; 23S rRNA (adenine-C8)-methyltransferase [EC:2.1.1.224]	blue	sig
K18221	5.03416038598181	30.2624413083293	-1.12275246511779	0.988041696989846	-2.58770529030208	0.011958303010154	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	tetX; tetracycline 11a-monooxygenase, tetracycline resistance protein [EC:1.14.13.231]	blue	sig
K08641	0.916267823201671	3.07897569491655	-1.0878920430443	0.987514235914435	-1.7486092170844	0.0124857640855653	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	vanX; zinc D-Ala-D-Ala dipeptidase [EC:3.4.13.22]	blue	sig
K18938	0.587922932274121	1.69075283876333	-0.835342869534561	0.972311836444043	-1.52396681877765	0.0276881635559575	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	qacR; TetR/AcrR family transcriptional regulator, repressor for qacA	blue	sig
K18907	0.810436221448108	2.16877441582501	-0.937491291414901	0.979284439951639	-1.42010943931573	0.0207155600483606	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	norG; GntR family transcriptional regulator, regulator for abcA and norABC	blue	sig
K12340	19.0773388045812	50.5280591848593	-1.17040408806439	0.989459783986009	-1.40522482969927	0.0105402160139914	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	tolC, bepC, cyaE, raxC, sapF, rsaF, hasF; outer membrane protein	blue	sig
K13632	2.52402666168751	6.64098426022084	-0.986414900607779	0.983362415081211	-1.39566992942499	0.0166375849187885	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	marA; AraC family transcriptional regulator, mar-sox-rob regulon activator	blue	sig
K03740	1.01796864648032	2.62687163109138	-0.797763017519592	0.970270626866333	-1.36765257418219	0.0297293731336665	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	dltD; D-alanine transfer protein	blue	sig
K18898	29.4344153203213	72.8667791656359	-1.3493740509627	0.993500827854495	-1.30775725204072	0.00649917214550455	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	mdtE; membrane fusion protein, multidrug efflux system	blue	sig
K19545	73.7599048329173	170.777612553198	-1.76315635315806	0.995931083247648	-1.2112101632145	0.00406891675235188	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	lnuA_C_D_E, lin; lincosamide nucleotidyltransferase A/C/D/E	blue	sig
K19077	3.3773726101591	7.30165355376509	-0.813244752310101	0.971297742420696	-1.11232186381239	0.0287022575793042	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	graS; two-component system, OmpR family, sensor histidine kinase GraS [EC:2.7.13.3]	blue	sig
K19271	6.6363294593598	12.8373325846569	-0.720218670768696	0.959691813267715	-0.951888046550341	0.0403081867322845	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	catA; chloramphenicol O-acetyltransferase type A [EC:2.3.1.28]	blue	sig
K03585	42.5138186113002	81.6687763340983	-1.09491261795914	0.987678349029761	-0.941852763218513	0.012321650970239	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	acrA, mexA, adeI, smeD, mtrC, cmeA; membrane fusion protein, multidrug efflux system	blue	sig
K18140	0.604544604328565	1.13325005549576	-0.512305530588013	0.91279777349755	-0.906545538866731	0.0872022265024505	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	envR, acrS; TetR/AcrR family transcriptional regulator, acrEF/envCD operon repressor	lightblue	notsig
K18344	0.557676292345839	1.02925398887341	-0.588331760991693	0.932902293018985	-0.884099193565506	0.0670977069810154	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	vanRB, vanR, vanRD; two-component system, OmpR family, response regulator VanR	lightblue	notsig
K18899	1.6849333981096	2.92163302006063	-0.399703171344575	0.86000461377031	-0.794083409930852	0.13999538622969	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	mdtF; multidrug efflux pump	lightblue	notsig
K19299	0.802197533890419	1.38921171360089	-0.476542627146949	0.89855489081827	-0.792237044297584	0.10144510918173	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	aph3-III; aminoglycoside 3'-phosphotransferase III [EC:2.7.1.95]	lightblue	notsig
K19591	2.12148973087467	3.3636210934409	-0.347610147773532	0.822506123284154	-0.664937502204093	0.177493876715846	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	cueR; MerR family transcriptional regulator, copper efflux regulator	lightblue	notsig
K18591	2.10395655451545	3.33480232783424	-0.442940248341005	0.881425082683389	-0.664496333314687	0.118574917316611	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	dfrD, dhfr; dihydrofolate reductase (trimethoprim resistance protein) [EC:1.5.1.3]	lightblue	notsig
K14205	3.57950862871671	5.52210830175236	-0.338982717172545	0.814186336284088	-0.62545762546141	0.185813663715912	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	mprF, fmtC; phosphatidylglycerol lysyltransferase [EC:2.3.2.3]	lightblue	notsig
K18346	0.852631690847552	1.2644732239669	-0.352831035084801	0.8274730902169	-0.56854190343566	0.1725269097831	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	vanW; vancomycin resistance protein VanW	lightblue	notsig
K02547	6.18071982552257	9.14052282366169	-0.412177398108105	0.866859637360333	-0.56450181896296	0.133140362639667	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	mecR1; methicillin resistance protein	lightblue	notsig
K18908	687.692333438218	982.780561121174	-2.19806959417835	0.998807697841702	-0.515106060072051	0.00119230215829813	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	mepA; MATE family, multidrug efflux pump	blue	sig
K18139	83.766932766733	118.029755023556	-0.641577809637411	0.944286247359848	-0.494697851990833	0.0557137526401521	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	oprM, emhC, ttgC, cusC, adeK, smeF, mtrE, cmeC, gesC; outer membrane protein, multidrug efflux system	lightblue	notsig
K08217	543.907344545616	764.035060996392	-1.19558299674546	0.990305363837812	-0.490277936891524	0.00969463616218824	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	mef; MFS transporter, DHA3 family, macrolide efflux protein	blue	sig
K18856	0.502746236228281	0.694330935695524	-0.337638149216057	0.812890585258909	-0.465793075748797	0.187109414741091	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	vanC, vanE, vanG; D-alanine---D-serine ligase [EC:6.3.2.35]	lightblue	notsig
K07644	3.06538017175625	4.00565103783372	-0.273566965517386	0.749783384971529	-0.385970733081687	0.250216615028471	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	cusS, copS, silS; two-component system, OmpR family, heavy metal sensor histidine kinase CusS [EC:2.7.13.3]	lightblue	notsig
K19883	2.87134012258006	3.65151582292543	-0.244253981900579	0.715046708430124	-0.34677124804578	0.284953291569876	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	aacA-aphD; bifunctional aminoglycoside 6'-N-acetyltransferase / aminoglycoside 2''-phosphotransferase [EC:2.3.1.82 2.7.1.190]	lightblue	notsig
K18345	0.614624534890575	0.771876562536083	-0.234001060279008	0.700650342421357	-0.328664793779582	0.299349657578643	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	vanSB, vanS, vanSD; two-component system, OmpR family, sensor histidine kinase VanS [EC:2.7.13.3]	lightblue	notsig
K18138	6174.46140485654	7683.03076457784	-1.01242043443556	0.983854363828657	-0.315362233915074	0.0161456361713426	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	acrB, mexB, adeJ, smeE, mtrD, cmeB; multidrug efflux pump	blue	sig
K18142	3.29406616883311	3.93423753596619	-0.136476186356722	0.489781052514714	-0.256214530120741	0.510218947485286	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	acrF; multidrug efflux pump	lightblue	notsig
K07660	0.553086305383109	0.653117107631448	-0.146683418244621	0.528946775180634	-0.239837077590058	0.471053224819366	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	phoP; two-component system, OmpR family, response regulator PhoP	lightblue	notsig
K05593	1.06127761407687	1.15245098418934	-0.0711916077757067	0.259317017790185	-0.11890329885442	0.740682982209815	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	aadK; aminoglycoside 6-adenylyltransferase [EC:2.7.7.-]	lightblue	notsig
K18234	8.91319516589744	9.25662266130939	-0.0364332309560805	0.141766305094296	-0.0545432169568217	0.858233694905704	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	vat; virginiamycin A acetyltransferase [EC:2.3.1.-]	lightblue	notsig
K18218	360.9580963745	373.98040739122	-0.103009215323437	0.351348591265992	-0.0511313258010102	0.648651408734008	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	tet35; tetracycline resistance efflux pump	lightblue	notsig
K00561	626.221301681928	627.653171045695	-0.00403147822434157	0.00616250334861745	-0.00329498968707846	0.993837496651383	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	ermC, ermA; 23S rRNA (adenine-N6)-dimethyltransferase [EC:2.1.1.184]	lightblue	notsig
K19078	7.10614034694527	6.69405041355503	0.065677380182944	0.365721908396752	0.086186766170042	0.634278091603248	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	graR; two-component system, OmpR family, response regulator protein GraR	pink	notsig
K02546	0.543611960454737	0.499458531311927	0.0905277537077099	0.519461757654918	0.1222122984458	0.480538242345082	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	mecI; BlaI family transcriptional regulator, methicillin resistance regulatory protein	pink	notsig
K18230	0.535940206824474	0.477297849456528	0.13680000507903	0.745859467627539	0.16718221657343	0.254140532372461	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	tylC, oleB, carA, srmB; macrolide transport system ATP-binding/permease protein	pink	notsig
K08167	0.580167534983445	0.509176494885036	0.141437633927931	0.763494799268755	0.188303745817384	0.236505200731245	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	smvA, qacA, lfrA; MFS transporter, DHA2 family, multidrug resistance protein	pink	notsig
K00638	1.20467553033792	1.05665025810181	0.115256503300399	0.648969167037625	0.189146684053223	0.351030832962375	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	catB; chloramphenicol O-acetyltransferase type B [EC:2.3.1.28]	pink	notsig
K21252	0.544875715319377	0.473480791830677	0.166141545076706	0.837999233931987	0.202621292941206	0.162000766068013	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	fosX; fosfomycin resistance protein FosX	pink	notsig
K18347	0.532398238389139	0.462208841587641	0.177315951370635	0.862785715801064	0.203960940270571	0.137214284198936	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	vanH; D-specific alpha-keto acid dehydrogenase [EC:1.1.1.-]	pink	notsig
K14188	0.538465072217806	0.464379953407091	0.157824348186258	0.816250857253642	0.213547072188022	0.183749142746358	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	dltC; D-alanine--poly(phosphoribitol) ligase subunit 2 [EC:6.1.1.13]	pink	notsig
K18792	0.734749465235221	0.622752056006594	0.147573505050818	0.784933178670309	0.238594524345755	0.215066821329691	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	blaOXA-10; beta-lactamase class D OXA-10 [EC:3.5.2.6]	pink	notsig
K02171	0.540972440171089	0.452140011621356	0.21127058462785	0.913465851085832	0.258785504877668	0.086534148914168	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	blaI; BlaI family transcriptional regulator, penicillinase repressor	pink	notsig
K03739	0.99645177088459	0.827652749536487	0.151942567385386	0.798936735837842	0.267774382376198	0.201063264162158	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	dltB; membrane protein involved in D-alanine export	pink	notsig
K18698	0.639459039221706	0.528167488230442	0.178679018717561	0.865492433327033	0.275856451719656	0.134507566672967	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	blaTEM; beta-lactamase class A TEM [EC:3.5.2.6]	pink	notsig
K19098	0.544875715319377	0.445653473507729	0.26334853136995	0.94985941885936	0.290004841990692	0.0501405811406402	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	blaOXA-9; beta-lactamase class D OXA-9 [EC:3.5.2.6]	pink	notsig
K18552	0.523145851899777	0.427270651310808	0.263541262434634	0.949945946204241	0.292062999224091	0.0500540537957594	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	cmlA, cmlB, floR; MFS transporter, DHA1 family, chloramphenicol/florfenicol resistance protein	pink	notsig
K12570	0.544875715319377	0.444941816787362	0.260716730721437	0.948655385148451	0.292310499455993	0.0513446148515487	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	aphD, strA; streptomycin 6-kinase [EC:2.7.1.72]	pink	notsig
K19276	0.544875715319377	0.444049000099183	0.253903693199172	0.945298879510725	0.295208308110592	0.0547011204892751	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	aac3-IV; aminoglycoside 3-N-acetyltransferase IV [EC:2.3.1.81]	pink	notsig
K09476	0.547084287073734	0.440983456397642	0.284235241263079	0.957620004337882	0.311038586618647	0.042379995662118	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	ompF; outer membrane pore protein F	red	sig
K18900	0.528415522907441	0.425821034151071	0.286081337361784	0.958158399876538	0.31142563237422	0.0418416001234622	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	bpeT; LysR family transcriptional regulator, regulator for bpeEF and oprC	red	sig
K18782	0.540292180992141	0.433472710652105	0.29148999209518	0.959616614318455	0.317798632506998	0.0403833856815449	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	blaIMP; metallo-beta-lactamase class B IMP [EC:3.5.2.6]	red	sig
