	Prefeed_HiCHO_mean	T2_LoCHO_PROT_mean	theta	prob	log2FC
K00001	2.02643632154883	0.761782076295482	0.659171044682788	0.808320469745269	1.41149459230484
K00002	4.21767158227335	7.60015066679505	-0.500161813440464	0.698700517975059	-0.849581258023576
K00003	77.3914531371822	132.771764520795	-1.12716360084356	0.958455135826106	-0.77870221952817
K00004	12.9041720251968	1.78243949710114	1.23889109029127	0.951203367345008	2.85591256430963
K00005	23.9223439077164	18.2358233964534	0.313993385424592	0.561694448299256	0.391583408803567
K00006	1.75077374310439	0.493700826514051	1.13423673533725	0.935335633742073	1.82628368727068
K00008	33.5501225431216	39.2846390509975	-0.20304783510128	0.194525845678327	-0.227647268990086
K00009	5.56402500960014	0.898663712674568	1.06599594813933	0.927818460577561	2.63027565109724
K00010	62.113745052313	35.5092289968679	0.746603262364458	0.848910279047172	0.80671851965873
K00011	6.55169763097376	3.33192419457672	0.462719938627374	0.672161901259118	0.975513198369112
K00012	169.126301168705	226.517152675707	-0.665586907832007	0.830325543249762	-0.421519266771503
K00013	1389.28849792039	1023.33938427859	1.08621773819473	0.928115970635084	0.441061533216341
K00014	11.9296843688644	22.1486848626454	-0.670085222775694	0.834709525211828	-0.89266516419864
K00015	42.9198826322412	51.2052190243662	-0.242604007682458	0.259470647672603	-0.254644731569388
K00016	2361.97641653367	1752.37208534323	1.11108638207249	0.929689343595727	0.430685421683626
K00018	57.3081985012494	36.4975639340727	0.50440473281989	0.704162081015982	0.650941372355222
K00019	1.15976003553832	1.560747396505	-0.254997762628325	0.286557129569865	-0.42841072917592
K00020	0.622573471491153	0.781123503923469	-0.191419512944423	0.174305578179902	-0.327306568445732
K00021	1.49901612495199	0.797604256812013	0.447753070942854	0.666823966295327	0.910270887944715
K00022	15.0359152322548	8.22179059520966	0.469817843893899	0.674359761204285	0.870888154277594
K00023	0.512116765222131	0.488495754777987	0.0538550212955705	0.530924689583847	0.06812676486849
K00024	917.552530312175	370.865972841399	1.69808475431937	0.976790567464477	1.30689284944394
K00025	5.18552932915285	6.28542060064459	-0.152436675785779	0.0902252795973325	-0.277518024334188
K00026	27.8184962612353	13.5510504663037	0.562348356302803	0.749281031593285	1.03763974414252
K00027	315.660418840823	256.478893595179	0.611825179549104	0.779706354562916	0.299533263092794
K00029	643.845001774839	586.833610233484	0.323254992856822	0.566230176010073	0.133761915911824
K00030	85.2009612521825	56.6145088083339	0.570890495839989	0.751765418630579	0.589697882078042
K00031	249.714389854214	237.045700943379	0.1366310405877	0.595251550174068	0.0751137307144495
