	Prefeed_HiCHO_mean	T2_LoCHO_PROT_mean	theta	prob	log2FC
K00074	661.240007947433	213.196352347797	2.7609228316039	1	1.63299126198125
K00128	3078.60922479746	1269.08917366146	2.90336390173063	1	1.27848530931541
K00364	45.6536532761724	378.946046869329	-2.6393189930642	1	-3.05319024005746
K00366	354.340887241883	99.2092677097571	2.51268570953372	1	1.83659114453631
K00689	43.4525272572864	371.521904047195	-2.68153684502029	1	-3.09593527746539
K00700	3066.20686306848	1753.42040031037	2.93045543442193	1	0.806283094043139
K00705	954.094078266136	506.189413072778	2.47431080548248	1	0.914454196049728
K00761	2052.3843230038	1052.16829002361	2.48735322525661	1	0.963935434487729
K00931	881.30878533758	124.940619796196	2.94392473278779	1	2.81840499486088
K00950	7.40561996166545	127.832039593939	-2.61710587527389	1	-4.10948515006635
K01222	518.778863675412	132.835820231219	2.41403311169182	1	1.96547546855517
K01223	11066.995466446	3789.8484936143	3.76810451041901	1	1.54605152368226
K01338	5382.04955024882	2705.11285173522	3.36635094227197	1	0.992466891748694
K01613	1240.6778219089	321.544644640927	2.87727322010561	1	1.94803755980805
K01788	571.032841865484	121.20304908147	2.86457943546666	1	2.23614772896449
K01835	1936.60086318575	1124.93374611108	2.5363260360845	1	0.783686607369859
K01905	1013.72007444638	240.834761632819	3.23027553317221	1	2.07354377784286
K01911	4.97317612295975	72.1736453958852	-2.20031663326517	1	-3.85923269563095
K01975	273.763118718804	35.0923719456409	2.87065291215666	1	2.96369873021167
K02071	495.849100572335	231.290931292093	2.46702855512585	1	1.10019243848295
K02794	3448.27550365091	1505.48122107102	2.57759091086392	1	1.19565033226949
K02945	2874.04676639033	4127.04156602829	-2.47256621629468	1	-0.522024431235771
K02946	680.194380281343	1329.11451516874	-2.25992852568694	1	-0.966446419360177
K03294	155.302592396262	684.645448670084	-2.24251057777657	1	-2.14027515345305
K03387	88.6193214261999	1013.51250229508	-2.67190253630265	1	-3.5155987953175
K03437	77.2306922534381	430.127446038924	-2.678516808256	1	-2.47751798319725
K03547	755.767247912014	285.340077615599	2.65404114461592	1	1.40525960324932
K03671	741.181648254543	276.007108737467	2.86149012356673	1	1.42512173550297
K03695	12333.7223401605	5689.22995903806	4.82119021114816	1	1.11630297233336
K03737	4126.83910637366	2751.58321916789	2.50844115529318	1	0.58477523055214
K04068	850.856265191412	226.746608161662	3.10478960237823	1	1.9078344685495
K04072	1001.77292093313	5112.87362403457	-2.82002029320696	1	-2.35157884753099
K04079	5688.98420712827	2658.75612102096	3.30497146449479	1	1.09741962647301
K05362	34.1661527296084	717.390040034576	-2.46990670983597	1	-4.39211800787475
K05516	394.107066367434	132.521385948412	2.69966454101735	1	1.57236242058324
K05540	789.747865615787	285.480288223093	3.28385316211341	1	1.46800099877497
K05687	654.401796954695	191.253489577083	2.7408324733679	1	1.77469063865171
K06173	377.559770571274	911.977936130449	-2.19802004288542	1	-1.27229386900906
K06179	421.059015177479	127.064287795345	2.81022255122435	1	1.72846384510329
K06885	116.706192226721	778.538573587342	-2.66752573139631	1	-2.73788741110196
K07486	2430.17638477916	943.688240174628	2.87097778945896	1	1.36467879984412
K07646	1612.39020851351	772.305585433351	2.86893238027772	1	1.06195721701954
K08724	1298.72079435289	390.715642845965	2.97792674129292	1	1.73290038405316
K08963	472.507613929102	112.402138214711	2.56653583823295	1	2.07166809686567
K09935	16.9659976044205	0.581162160002219	2.6623903426707	1	4.86756168226594
K10591	20.7850362847663	0.800453904380092	2.81140965945635	1	4.69858313140582
K10907	891.584898656324	343.165818835901	2.78577151094662	1	1.37746632115982
K11103	425.320410938282	135.205677010301	2.55054298453925	1	1.6533943622107
K11180	403.013941959503	1313.52094432416	-2.75954887233314	1	-1.70453755102076
K12264	851.005930058293	314.515859105589	2.60933803116139	1	1.43603641986702
K12410	1142.71350928675	620.144149414399	2.75923034622417	1	0.881788242678272
K12555	253.195094408107	2236.03753195462	-2.30655160782165	1	-3.14262304576974
K15342	772.077913055016	280.082029945121	2.97911064278442	1	1.46289701908073
K16511	68.4745272339546	327.086923914773	-2.60521109864536	1	-2.25603478004109
K16899	22.2045424632208	148.005979080239	-2.2519526581525	1	-2.73672870918804
K18888	3284.43777429253	1719.19337267699	2.77852226831474	1	0.933914606616005
K21071	1228.42373949981	613.995790809991	2.52632566263655	1	1.0005076275426
K22373	695.382144622336	256.990358995736	2.58885330529599	1	1.4360917856877
K22736	12.8055681649824	271.878937981299	-2.6739802315536	1	-4.40812122264497
K25290	859.317705641332	322.896083855754	2.54551018045484	1	1.41212167723489
K26114	356.368896305688	65.7635178321385	2.49530026706975	1	2.43801204561222
K00040	6920.91120020525	2559.56161775067	3.05285311820522	1	1.43506525659692
K00703	2790.49295182132	1206.19272900474	3.25815080638795	1	1.21005955876601
K01195	214.223215959973	51.4927101495162	2.44236944630142	1	2.05667472863923
K02825	8.9710917744736	88.5194014434105	-2.257197507443	1	-3.30263822011827
K08600	619.174501049674	241.97893934454	2.39531978636264	1	1.35546457150066
K21471	16.6749070243035	152.153619596227	-2.25001922530629	1	-3.18977803227609
K00764	1765.03052777732	811.800122360945	3.01902220955628	1	1.12049667380713
K01621	957.45670143925	5936.67202312739	-2.56759717706791	1	-2.63237526091536
K03231	344.528615559133	45.3111258445932	2.38730610243238	1	2.92668657099761
K08348	1108.30310302819	457.639997181039	2.38701305856208	1	1.27606743664322
K21527	34.5677213218501	1.36187779760123	2.64117708031862	1	4.66575634528959
K00033	231.522462048463	1662.43674803196	-2.25406455870115	1	-2.84407537633016
K00370	1125.61699178179	301.587028136184	3.26484941451447	1	1.90006973025119
K01007	295.859738425231	2738.59340531702	-2.24822182039723	1	-3.21044979899012
K03800	47.4092392573704	598.568809971734	-2.39494996124017	1	-3.65827695685931
