	Prefeed_HiCHO_mean	T2_LoCHO_PROT_mean	theta	prob	log2FC
K00364	45.6536532761724	378.946046869329	-2.6393189930642	1	-3.05319024005746
K00689	43.4525272572864	371.521904047195	-2.68153684502029	1	-3.09593527746539
K00950	7.40561996166545	127.832039593939	-2.61710587527389	1	-4.10948515006635
K01911	4.97317612295975	72.1736453958852	-2.20031663326517	1	-3.85923269563095
K02945	2874.04676639033	4127.04156602829	-2.47256621629468	1	-0.522024431235771
K02946	680.194380281343	1329.11451516874	-2.25992852568694	1	-0.966446419360177
K03294	155.302592396262	684.645448670084	-2.24251057777657	1	-2.14027515345305
K03387	88.6193214261999	1013.51250229508	-2.67190253630265	1	-3.5155987953175
K03437	77.2306922534381	430.127446038924	-2.678516808256	1	-2.47751798319725
K04072	1001.77292093313	5112.87362403457	-2.82002029320696	1	-2.35157884753099
K05362	34.1661527296084	717.390040034576	-2.46990670983597	1	-4.39211800787475
K06173	377.559770571274	911.977936130449	-2.19802004288542	1	-1.27229386900906
K06885	116.706192226721	778.538573587342	-2.66752573139631	1	-2.73788741110196
K11180	403.013941959503	1313.52094432416	-2.75954887233314	1	-1.70453755102076
K12555	253.195094408107	2236.03753195462	-2.30655160782165	1	-3.14262304576974
K16511	68.4745272339546	327.086923914773	-2.60521109864536	1	-2.25603478004109
K16899	22.2045424632208	148.005979080239	-2.2519526581525	1	-2.73672870918804
K22736	12.8055681649824	271.878937981299	-2.6739802315536	1	-4.40812122264497
K02825	8.9710917744736	88.5194014434105	-2.257197507443	1	-3.30263822011827
K21471	16.6749070243035	152.153619596227	-2.25001922530629	1	-3.18977803227609
K01621	957.45670143925	5936.67202312739	-2.56759717706791	1	-2.63237526091536
K00033	231.522462048463	1662.43674803196	-2.25406455870115	1	-2.84407537633016
K01007	295.859738425231	2738.59340531702	-2.24822182039723	1	-3.21044979899012
K03800	47.4092392573704	598.568809971734	-2.39494996124017	1	-3.65827695685931
K04086	620.984265821547	5765.20348377338	-2.81461453790697	1	-3.21474290916648
K24163	15.10301452287	162.024306245381	-2.56851084428573	1	-3.42330181512161
K02906	1468.33999983292	2865.61837693192	-2.56447540065185	1	-0.964660425822395
K04069	161.981007714563	603.656178816571	-2.27970585810049	0.999999999999999	-1.89790240853834
K14260	104.858211112189	338.168980114822	-2.25493397854185	0.999999999999999	-1.68930449021019
K02968	252.561654217271	546.165075862217	-2.19143533847592	0.999999999999999	-1.11270144984774
K16012	36.1360498635614	324.522923673477	-2.41150040156863	0.999999999999999	-3.16680967626527
K17723	98.0549088901782	582.64359834107	-2.2831885074881	0.999999999999999	-2.57095189771158
K22043	13.131138932538	242.124412010935	-2.9904392292793	0.999999999999999	-4.20468458603118
K06216	2.81612805917023	276.39055689373	-2.43712919003244	0.999999999999999	-6.61685157565845
K10441	576.37250923333	1386.68486820465	-2.2809720366218	0.999999999999999	-1.26656653326887
K02840	9.09493758885634	202.118156938082	-3.00409037103169	0.999999999999999	-4.47399138147884
K03305	183.969976746927	787.554732157304	-2.9830231790602	0.999999999999999	-2.09790984624713
K08161	37.519453058311	280.894792925147	-2.45098475429873	0.999999999999999	-2.90431917865575
K11737	30.4837825331286	219.211783134874	-2.2878366447652	0.999999999999999	-2.84621151490219
K19089	2.21880536972054	43.7792558722134	-2.39424770734714	0.999999999999999	-4.30239240569932
K26032	290.444281307024	1236.72108614732	-2.37416206303603	0.999999999999999	-2.09018684112642
K26210	2.48749842927109	145.159794508086	-2.45169820842935	0.999999999999999	-5.86680249472216
K19005	149.367032842501	1190.31177542856	-3.29545264617368	0.999999999999999	-2.99440583690788
K07058	110.002570644214	320.553438992639	-2.27025994330639	0.999999999999999	-1.54302764805598
K07386	16.9535111004085	283.672234167091	-2.96576726658082	0.999999999999999	-4.0645689525937
K02864	845.663180382774	1640.65206827982	-2.51559114643778	0.999999999999998	-0.9561142490317
K01823	81.2502554097789	830.129694980185	-3.17259741279097	0.999999999999998	-3.35289249969744
K02086	3.6539577809616	60.9035501940953	-2.5178781829827	0.999999999999998	-4.05899445846711
K00712	3.09577643180019	59.076364590795	-2.49608900484902	0.999999999999997	-4.25420785604129
K03703	1033.31988508062	2978.97861787239	-2.38381636625299	0.999999999999997	-1.52753082964379
K14205	3.36430185542152	56.0280555305934	-2.33791344539741	0.999999999999997	-4.05777036478878
K21567	24.8026427312218	476.747238497287	-3.37112959564877	0.999999999999996	-4.26465882828758
K02899	719.802246006821	1758.01875512981	-2.77460170083702	0.999999999999996	-1.28827795267537
K02356	606.687372395715	1078.433011616	-2.38657815917471	0.999999999999996	-0.829911375739302
K00687	50.9057370563927	807.489174877593	-3.36585395973585	0.999999999999993	-3.98754275756924
K02888	629.425809487607	1563.05917986028	-3.17788885946062	0.999999999999992	-1.31226415965553
K03322	62.0642056600168	490.50647314682	-2.87071110840891	0.999999999999989	-2.98243880890793
K07444	70.4498897471829	579.562161880515	-3.59573694369295	0.999999999999966	-3.04029405427196
K03366	54.2152700194221	925.884409476939	-3.47649008575497	0.999999999999959	-4.09406093716184
K04074	26.7608832805786	417.885686005241	-2.17212848565513	0.999999999987483	-3.96491070227748
K14983	30.8896580198745	354.488855239899	-2.15894319221669	0.999999998878978	-3.52054446729339
K01878	84.5000718920239	327.553117437114	-2.15275142788777	0.999999992754928	-1.95470440537755
K03657	813.719415154548	1741.51177994047	-2.14040933472083	0.999999787530866	-1.09773691305371
K01495	54.9285473945484	213.893472376926	-2.1366355764075	0.999999469417144	-1.96126440998112
K03741	20.63555725665	112.158972682904	-2.12348491301469	0.999991399815579	-2.44234073669161
K17810	34.8506085669105	135.710014170315	-2.12012084757486	0.999984143176927	-1.96127142851826
K03696	1673.99431013722	5840.34065125575	-2.10740805575737	0.999888823736612	-1.80275789584071
