	T1_LoCHO_FAT_mean	T1_LoCHO_PROT_mean	theta	prob	log2FC
K01176	966.82029912092	226.905163301092	2.28905961128597	1	2.09115832551072
K03070	2209.61090768208	4939.97164026764	-2.54485658705683	1	-1.16071041296015
K03696	900.767617066856	4373.86987266254	-2.74117443794809	1	-2.27968343125778
K25133	3605.86865666313	906.453346177889	2.53847325068845	0.999999999999999	1.99204217413357
K03367	111.830380496791	869.098213230142	-2.44134300464692	0.999999999999999	-2.95820704689025
K07444	176.096252265698	1088.69714541339	-2.70934273605843	0.999999999999995	-2.62816656914818
K08348	1115.16559809389	252.311686372267	2.58112934260641	0.999999999999994	2.14397902651851
K06885	69.0321499813905	502.976506817786	-2.59054202945671	0.99999999999999	-2.86515069344666
K22043	15.8767945820106	268.522705302003	-2.43462373670471	0.99999999999999	-4.08005250583521
K02840	3.74727119791754	126.258082879219	-2.42566807493823	0.999999999999989	-5.07439154773943
K01621	393.703915702954	3582.83508341037	-2.47858367936844	0.999999999999983	-3.18591867190478
K01804	783.361640029305	2677.5623158981	-2.46936237632315	0.999999999999981	-1.77316976308681
K20525	13.4726326557506	0.559281292628413	2.43360874669289	0.99999999999998	4.59031390730116
K07485	1823.08538746757	468.424166442418	2.73200760400049	0.999999999999979	1.96049472130118
K26046	16.9366885556587	0.669604592149954	2.2492015320525	0.999999999991618	4.66069859580246
K11737	10.8573280120185	167.219805397005	-2.22771442144588	0.99999999999037	-3.94500472458647
K19796	0.665119814388779	63.7603280346744	-2.20911995050885	0.999999996674302	-6.5829009910416
K00033	126.167898008076	820.874759586257	-2.18629481402849	0.999998946804938	-2.70181724799081
K19294	1707.0388940391	675.702670383018	2.1995644994471	0.999990591854734	1.33703546804752
K03502	903.931858342281	2426.79445146257	-2.17052745036918	0.999977559160959	-1.42476599168591
K07386	8.66306992141484	162.37774116431	-2.15652162322356	0.999820349341413	-4.22833170874942
K21739	55.8437139960718	462.371641153589	-2.14085967126782	0.999094378462156	-3.04958611596945
K03703	1280.67158206771	4497.24156993978	-2.13759254398447	0.998847003060622	-1.81213982508456
K00690	22.9800802259221	155.948879054779	-1.89080644807589	0.998568666864024	-2.76261744309071
K09817	551.719066830509	1210.15472522501	-1.89219318242335	0.998548116201031	-1.1331857716634
K03387	106.672025944148	718.858058754276	-1.89267870615568	0.998539493973804	-2.75252504496191
K01635	18.6806194181807	564.370892948159	-1.88410647580747	0.998527070734166	-4.91702938550624
K03977	2207.46842451121	4062.60619874526	-1.8958685305086	0.998452449491414	-0.880012724555159
K07305	644.798973179725	207.944477671951	2.08902455116121	0.99840140371819	1.63265107421369
K02470	2563.82420075219	4472.67491162781	-1.87656618814107	0.998201437716904	-0.802840561471217
K21071	1249.1242363658	571.60495690851	2.10847192621375	0.998103242267221	1.12782664023612
