	T1_LoCHO_FAT_mean	T2_LoCHO_FAT_mean	theta	prob	log2FC
K01610	3681.14610535212	5323.00159859315	-1.91614444485928	0.985506014510153	-0.532084987846299
K13993	284.061396386775	1131.52491850933	-1.91875916217188	0.985282436527534	-1.99399366668719
K01270	2068.50364127211	2999.15111439916	-1.93684970877408	0.980971412780665	-0.535966718060867
K18197	277.565808130825	643.485428200982	-1.98058737768371	0.980918025892097	-1.21307761796435
K22926	344.562969522765	1127.88138092434	-2.38933206642561	0.980738427219861	-1.7107757804092
K01896	209.766835435663	584.714637461776	-2.08353385306213	0.980500908528353	-1.47894610457775
K01414	915.646019486062	2042.53836089124	-1.94931266733606	0.978873982027679	-1.15750129557553
K14652	1293.34623119684	2441.25874930186	-1.96092567782999	0.978609962369964	-0.916516675636362
K01676	2801.3026756485	5472.51546225138	-2.07196660017115	0.9775581859663	-0.966106253252838
K03462	65.9250788959386	699.944765903304	-2.06899843138689	0.976564459171913	-3.40834178273318
K05919	1771.44989451376	4413.70765528456	-2.05684000765353	0.97267243583912	-1.31706041558149
K00979	391.720100009096	885.837231799081	-2.02289329092709	0.972298094246758	-1.17721847706432
K07085	1192.02935922848	2037.90028047883	-1.73491388207033	0.965605479780449	-0.773663689313772
K03426	287.046545417147	672.660962842972	-1.7452090582688	0.965359332488774	-1.22859484234931
K01993	802.859850802947	1611.27259733886	-2.15988955862894	0.962999423287388	-1.00498051742025
K21573	6925.52416361454	10417.5971561004	-1.75928152831717	0.960688482415659	-0.589027383008419
K16011	191.160883599915	419.318151298151	-1.72253487689155	0.960425532071166	-1.13325794115789
K04041	917.503148442568	1397.38526486399	-1.72223374984272	0.960232927850296	-0.606944818811646
K01629	209.600691859025	563.926464413128	-1.76594263822416	0.958469472788995	-1.427863569547
K07713	693.886176049818	1357.94312999489	-1.79522746304172	0.958074163134538	-0.968652131477059
K04078	159.943202262575	459.878844331402	-1.76822840282301	0.957886925620302	-1.52369415352462
K08138	396.901124558253	719.654762815745	-1.71851274493531	0.957635193536797	-0.858525324024238
K03289	571.447086042438	1082.8237171862	-1.7700364565565	0.957513266715567	-0.922106571159099
K01815	305.514647515114	578.848744683411	-1.78783921990474	0.957414572167969	-0.921944866012994
K01889	628.819797551531	924.907258795355	-1.48722799946786	0.954205782377029	-0.55666207303533
K03606	365.014182537568	628.396822042322	-1.48374075437282	0.954092328359148	-0.783723363938257
K27323	2.84697747595439	28.4921562346492	-1.48192585467032	0.953993006684851	-3.32306182207112
K21636	4106.3222877221	5554.64567079575	-1.49577867430994	0.953912091176276	-0.435848022588955
K01051	97.9212738023042	247.261384247096	-1.47937136609764	0.953817201636175	-1.33634271566931
K02551	225.995861334505	410.139058525057	-1.47656260953061	0.953590926901376	-0.859816788725292
K00425	607.442415410504	989.633512104742	-1.49974366223453	0.953451613632164	-0.704146705364703
K00789	1731.42241439085	2445.02963906654	-1.47028234448686	0.953076985986407	-0.497894212535825
K00013	822.616446960268	1354.74520557074	-1.46920794578558	0.95300150715433	-0.719729719725567
K01489	319.570656252341	587.965364503873	-1.46171193662277	0.9526782698881	-0.879596229574462
K07175	88.9582626969131	211.281899275554	-1.45540070900785	0.952661995556062	-1.24796865703401
K03596	2315.49671930309	3483.32982975984	-1.45677103684112	0.952655624552985	-0.589145372424017
K08358	0.586683416775116	4.41421302587327	-1.45829002002492	0.952651828286174	-2.9115021360345
K18908	829.879175859941	1119.24318841818	-1.44997131543238	0.952631816734275	-0.431550326836857
K14445	244.942491418409	479.327933029925	-1.44593477506771	0.952422174762975	-0.968569948795331
K07254	438.480248212969	843.282496261442	-1.44588516875935	0.952418254912947	-0.943504152727897
K03791	1.64508025322698	25.325213402145	-1.44503942905589	0.952338676495894	-3.94434455500179
K06921	120.848185346541	296.238729970092	-1.44384389289194	0.952204419163169	-1.29356445974458
K03286	943.139782702304	1532.53926311255	-1.82196705324202	0.952163900008429	-0.70038052210179
K01952	1000.9133481382	1416.47197619341	-1.44323122854459	0.952120802873654	-0.500984977944479
K00278	510.233738525793	786.500513965908	-1.44085684385157	0.951723587593588	-0.624289410039245
K18138	5817.84688119451	8741.79378315634	-1.59293982463457	0.950565652755179	-0.587444018769375
K03924	813.942760173574	1232.00156403057	-1.59515295569203	0.950496540860557	-0.598004840660535
