	T1_LoCHO_FAT_mean	T2_LoCHO_FAT_mean	theta	prob	log2FC
K26113	710.511238277234	153.574407573616	2.02781922516797	0.992204014014119	2.20991965100831
K01533	315.808756694426	1.81995800897238	2.29829100255497	0.990160437398895	7.43900220015379
K00873	2570.95847013396	1396.06338496836	2.00977184158588	0.986137148558166	0.88094186064467
K02600	1743.10644437022	989.326079623835	2.00789830970857	0.985519922251095	0.817142658150985
K12132	1096.92913378408	520.377912469849	1.95836331533483	0.983991652874306	1.07583869158179
K18888	3526.80754262276	1771.64657820816	2.00183552001177	0.9839419552676	0.993272017646552
K22457	78.3779356544438	0.700241107386845	1.98613898403515	0.983191228924112	6.80645200789333
K12556	98.7029478185359	0.992913932179058	1.99128963439812	0.983021145441476	6.63528069458987
K01989	922.108506544716	381.977466307661	1.94189783874825	0.982591161565187	1.27144899274364
K01299	561.890452996269	154.281824493522	1.6405771504173	0.980340841749297	1.86472077578998
K09014	1852.36677659789	929.39514742381	1.9315650811784	0.979914817504811	0.995005769359764
K01442	2460.85069692416	1293.15131758619	1.64399614532507	0.979840693569956	0.928266028818217
K06959	1556.31306847769	951.84035337675	1.64453824334966	0.979734343269132	0.709340778430521
K07485	1996.18998546901	1021.07442258809	1.62688960802777	0.979717369650187	0.967161011220881
K01537	3593.1422168848	2522.76092221348	1.62655493898236	0.979659234540424	0.510242547443822
K02434	776.547193174722	386.093776436321	1.88522651297234	0.979265733130664	1.0081223050921
K00248	1427.77441356967	750.767666391147	1.64868993767259	0.978660305701223	0.927329630003393
K00694	449.682744202825	139.92553796928	1.87805834904273	0.978147022815609	1.68424822969461
K16235	181.002848257253	3.72214132421545	1.87724386784525	0.977929848955889	5.60373575604302
K08724	1203.98633764072	469.467535823817	1.61835878750262	0.977874835916983	1.3587217185052
K02794	3118.96804360806	1054.06699035282	1.90244345635469	0.977817636106735	1.56510221201602
K02770	548.413947832671	261.408760630462	1.87663583933362	0.977758382879745	1.06895777250543
K00895	1480.66600412195	655.372329607941	1.90553149390893	0.977403079721404	1.17585957917511
K01197	2077.16488196757	1228.96726473659	1.61641851008844	0.977366429074413	0.757169251491735
K07030	2577.29106677507	1543.06823460946	1.90727770282685	0.977203909440951	0.740053617974155
K07082	592.955861941144	262.248029126235	1.60718073165055	0.974619827987559	1.17699278783155
K00969	608.243882909336	281.18051434771	1.78163551192425	0.974494648669623	1.11315328617996
K01151	1143.59467713952	584.774961303865	1.86645755264597	0.973462010394551	0.967622365176353
K01269	419.994611421749	175.164603765272	1.66084960461095	0.973187437700324	1.26165954502312
K02761	1677.94327807932	788.39832877789	1.76496427637448	0.972714629957099	1.08969732379709
K02528	1258.09648188298	810.686076114408	1.60023002609709	0.972164611060925	0.634027295499304
K00864	1879.23115225866	839.247080775393	1.7620971284642	0.971960540256838	1.16297501560873
K06902	692.172874684256	278.231709479084	1.79098239807768	0.971573379354731	1.31484555519936
K12952	722.765030614436	406.023329728314	1.7574773226148	0.970718469120111	0.831964080559512
K00761	1910.26025445005	1170.56035295078	1.53232765877136	0.970028963233441	0.706569884554089
K00266	353.079519947972	124.572349065886	1.53343172383641	0.969859075789304	1.50300926793086
K01623	1193.28081123269	483.433967081244	1.53655977602676	0.969213480836321	1.30354283958284
K03713	92.0082048759924	2.50775332364743	1.66793281508932	0.969089977298173	5.19729517108613
K07304	922.916792898969	429.037826333072	1.75043488700801	0.969032181861545	1.10509573590185
K02493	616.581817653014	342.26354543436	1.59255867095531	0.968997162177882	0.849184707754653
K10986	3796.85461859026	1441.01405859477	1.53746206737592	0.968986253297205	1.39772034870399
K27343	707.621024495886	377.682817015128	1.59127635674189	0.968429824377063	0.905801764632282
K00688	2826.02345842213	1948.62566038865	1.53994126844539	0.968277218355143	0.536316472217298
K20108	553.475357662988	192.047924085356	1.74525248338998	0.968089520946953	1.52705271609919
K03568	345.98101179897	150.884950963683	1.51299700798863	0.967878651758007	1.19724394092559
K00366	379.590439589562	100.883780850747	1.79740448412309	0.967546954485887	1.91174940683298
K01338	4800.84896719736	3168.11364167893	1.54291381305416	0.967292115489067	0.599665463623413
K25290	875.162068396713	364.188654672902	1.734432892756	0.966782964101973	1.26486422995977
K20608	197.952366551782	62.1011715235565	1.50890594391275	0.966563199771729	1.67246092521044
K25617	242.859232307645	92.9696937829647	1.45752034624623	0.966151981742088	1.38528792262049
K01689	3556.82924506451	1962.44519687659	1.45460440337084	0.966133282137545	0.857939349741129
K13730	388.998864493205	181.612822303026	1.45450276475236	0.966130650876609	1.09889987994776
K03492	343.273276564633	149.649516587884	1.45441897999968	0.966128481966777	1.1977699309808
K00627	101.569447486495	5.20903359876704	1.45909038559835	0.966110958402529	4.28530694581474
K01626	609.977895720987	329.947715420479	1.45309468554632	0.966073524887801	0.886519535004532
K04086	1953.20843887068	127.557962640191	1.45211482839506	0.966014363378052	3.93662105106154
K05816	360.158119617907	138.290326577121	1.54667782891673	0.965909398365391	1.38093018627931
K02071	423.649714048574	202.072598284224	1.45060285475913	0.965892576160548	1.06799819454686
