id	T1_LoCHO_FAT_mean	T2_LoCHO_FAT_mean	theta	prob	log2FC	P	level1	level2	level3	ko_name	color	sig
K00897	5.20174588301842	46.4904000025873	-1.18481965609922	0.856485854022232	-3.15986501161452	0.143514145977768	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	aphA; kanamycin kinase [EC:2.7.1.95]	lightblue	notsig
K18104	7.07760961564543	36.2745492538351	-1.05007648089558	0.877397233061225	-2.35762359413595	0.122602766938775	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	abcA, bmrA; ATP-binding cassette, subfamily B, bacterial AbcA/BmrA [EC:7.6.2.2]	lightblue	notsig
K03367	122.448837094227	372.796408984476	-1.13752789095759	0.888631634880453	-1.60620889050558	0.111368365119547	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	dltA; D-alanine--poly(phosphoribitol) ligase subunit 1 [EC:6.1.1.13]	lightblue	notsig
K14205	2.76999214009962	6.22905081718311	-0.534591166840023	0.630989672017099	-1.16913045950608	0.369010327982901	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	mprF, fmtC; phosphatidylglycerol lysyltransferase [EC:2.3.2.3]	lightblue	notsig
K18140	0.572140633982445	1.28497590137868	-0.59903036004571	0.675457522187266	-1.16729958844089	0.324542477812734	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	envR, acrS; TetR/AcrR family transcriptional regulator, acrEF/envCD operon repressor	lightblue	notsig
K19299	0.830174046802294	1.58221969042887	-0.483470628059989	0.595886081490814	-0.930464195507383	0.404113918509186	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	aph3-III; aminoglycoside 3'-phosphotransferase III [EC:2.7.1.95]	lightblue	notsig
K08641	1.99515658481066	3.48117671634957	-0.442204605437369	0.591941905437908	-0.803073074862288	0.408058094562092	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	vanX; zinc D-Ala-D-Ala dipeptidase [EC:3.4.13.22]	lightblue	notsig
K19545	113.001388667197	193.652822721107	-1.02344572522372	0.855225937882255	-0.777132028581203	0.144774062117745	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	lnuA_C_D_E, lin; lincosamide nucleotidyltransferase A/C/D/E	lightblue	notsig
K18344	0.712259558228496	1.17652747940882	-0.404091815863922	0.575673024576308	-0.724060034910033	0.424326975423692	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	vanRB, vanR, vanRD; two-component system, OmpR family, response regulator VanR	lightblue	notsig
K18218	262.116107217761	426.810074731554	-1.26415013554649	0.914818968163683	-0.703388219966468	0.0851810318363173	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	tet35; tetracycline resistance efflux pump	lightblue	notsig
K18938	1.20533917940847	1.90937889051845	-0.317642124012207	0.483269852422221	-0.663664240210171	0.516730147577779	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	qacR; TetR/AcrR family transcriptional regulator, repressor for qacA	lightblue	notsig
K18138	5817.84688119451	8741.79378315634	-1.59293982463457	0.950565652755179	-0.587444018769375	0.0494343472448207	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	acrB, mexB, adeJ, smeE, mtrD, cmeB; multidrug efflux pump	blue	sig
K18345	0.627137425142457	0.882088981246384	-0.280710797510017	0.436144270459717	-0.492142579209698	0.563855729540283	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	vanSB, vanS, vanSD; two-component system, OmpR family, sensor histidine kinase VanS [EC:2.7.13.3]	lightblue	notsig
K12340	41.799405117044	57.0585193923332	-0.366115110387225	0.537700837988501	-0.448959900779486	0.462299162011499	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	tolC, bepC, cyaE, raxC, sapF, rsaF, hasF; outer membrane protein	lightblue	notsig
K17881	0.796816656055594	1.0834222758355	-0.215374932751764	0.33840569321719	-0.443275949088431	0.66159430678281	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	aadB; aminoglycoside 2''-adenylyltransferase [EC:2.7.7.46]	lightblue	notsig
