	T1_LoCHO_PROT_mean	T2_LoCHO_FAT_mean	theta	prob	log2FC
K01533	1989.22696578395	1.66528293389253	5.83920295611741	1	10.2222248640729
K01595	1445.86995364678	77.8386467994292	3.44306129400892	1	4.21530735757375
K01823	1124.17204347988	66.1890229186101	3.14427771282023	1	4.08612705860305
K09685	140.358394296806	2.80228390512803	3.43616333736251	1	5.64636841269224
K09814	426.26584102398	1.28493544178352	3.14248398105851	1	8.37391376198476
K12556	367.162678427207	0.897267628027172	5.24112027439214	1	8.67666534093251
K16235	1200.40623993791	3.41258118553024	5.58347636989152	1	8.45844363988078
K20525	0.603113680676283	64.6115461323558	-2.87721218601793	1	-6.74321822761591
K22416	101.640484428074	0.972450212829776	3.10666472748057	1	6.70763505181514
K05362	2032.00746728265	12.3870129680659	5.14027418012398	1	7.35793355883603
K00882	618.597186770509	91.7627030359107	3.10038531027873	1	2.75302047813947
K03111	3986.48888456649	1320.09953376992	3.1190666198778	1	1.59447193548167
K03590	878.524377454025	71.9232647100716	3.21039090273403	1	3.61055190530557
K03657	1916.25804959144	527.811937457958	3.14694179812466	1	1.86019596679754
K03471	200.398787158024	6.98108250141662	3.13654302892195	1	4.84327920581348
K01261	65.3239258138126	0.632135828216374	3.66218314051971	0.999999999999999	6.6912330995345
K04086	11967.3800736999	115.991934813665	4.22212157570012	0.999999999999999	6.6889390435833
K08987	213.324280606609	2.41129179310512	3.23238552917285	0.999999999999999	6.46709812896074
K00869	40.3174571355503	0.553811602288766	3.29047715999345	0.999999999999999	6.18586556087243
K01539	238.484812466811	0.53834722528015	5.17011946544746	0.999999999999999	8.79114469000113
K21567	354.524565813659	13.7929656771136	3.27092426901082	0.999999999999999	4.68388100397781
K04074	849.907452634419	5.42704518728696	4.64296502781799	0.999999999999998	7.29099502185036
K03800	1406.65824116355	22.9479768996317	4.26358359454419	0.999999999999997	5.93776107583044
K14982	119.540348089751	3.46586129075071	3.26247683070333	0.999999999999996	5.1081399219266
K07738	556.815670303896	40.3286832270416	3.30294538970794	0.999999999999996	3.78732160696171
K12555	7058.78514070119	108.522118397611	4.27680048325612	0.999999999999996	6.02335888824639
K03703	4886.45450932756	624.095374726689	3.58262521234783	0.999999999999995	2.96894963607968
K14983	862.942043859008	22.4293327756114	4.06079352299513	0.999999999999994	5.2658050605631
K07444	1184.00460903055	106.275294658162	3.82328814969321	0.999999999999994	3.47779653292301
K24846	4.32992770342912	168.534465064824	-3.28271591839635	0.999999999999994	-5.28255690394012
K03697	2334.14859491968	223.574234294618	3.09393735331054	0.999999999999991	3.38407056762631
K00627	629.965582589793	4.76328968474156	4.39386974714249	0.999999999999989	7.04717091016793
K22457	200.76403091275	0.636956846800066	4.68735085077769	0.999999999999985	8.30008946777441
K26210	287.16222924632	1.51123560121689	4.49445356896195	0.99999999999996	7.56999359840082
K03462	28.0723028721521	654.247965602708	-2.49032832948756	0.999999999998918	-4.54261820990081
K19005	1307.81179845101	129.685707372176	3.06602313824591	0.999999999933213	3.33406354933799
K01738	1573.6353948532	276.645565464563	3.06175964993063	0.999999999773487	2.50799060962094
K01689	4887.3451845148	1751.04341414588	3.05586866613358	0.999999998843791	1.48083614978604
K00383	1324.41643289509	81.4016227909336	2.83436971189422	0.999999854131719	4.02415545040532
K10041	1079.43691428603	158.16447823271	2.86726504607236	0.999999714112632	2.77078140014739
K03575	370.006306471738	35.4010701390048	3.02969570957927	0.999999462830058	3.38568498326318
K07447	678.975629101103	103.651437630423	2.8277580887228	0.999999419125895	2.7116196652824
K17686	3529.23424395482	1236.22328624274	2.8726500885522	0.999999134053817	1.51341584263181
K26032	2327.02685563767	320.385737135931	3.02641743596043	0.999998969753833	2.86060603192569
K00687	708.234170778693	52.6563944902328	2.81261098958506	0.999990927374525	3.74954580726253
K01256	707.90568264755	65.1218732062389	3.01022350828158	0.999982838608168	3.44234305268317
K07586	99.7455346594387	2.52472021489612	3.00259812781522	0.999948461344043	5.30405683230642
K18221	1.01853875081841	29.7070287139822	-2.10958439121981	0.999944758876652	-4.86623154004697
K07714	609.712295568635	1340.74105745614	-2.09692512030084	0.999928576297459	-1.13683008578181
K03696	4810.03373533009	1132.36697236287	2.79598393814492	0.999904775378702	2.08670543639573
