	T1_LoCHO_PROT_mean	T2_LoCHO_PROT_mean	theta	prob	log2FC	P	id
K00001	0.658950033908441	0.741311000950343	-0.0836265012749569	0.66911393940482	-0.169909846546495	0.33088606059518	K00001
K00002	6.42963238671548	7.58500919690576	-0.122807393193142	0.693679425534349	-0.238414675721964	0.306320574465651	K00002
K00003	135.601183970183	132.84300210413	0.0372578581395277	0.844155674844551	0.0296475434599267	0.155844325155449	K00003
K00004	1.46307107404645	1.65686435424949	-0.0672076157544362	0.660416056539531	-0.179455640076344	0.339583943460469	K00004
K00005	17.6828752323975	17.8985391447749	-0.0117805635517895	0.676934984892466	-0.0174889656603979	0.323065015107534	K00005
K00006	0.551574420002547	0.49179059200051	0.110662662144373	0.877349100687469	0.165511415193176	0.122650899312531	K00006
K00008	54.9698368336183	39.1221227722071	0.391622905840633	0.812754401694333	0.49065554378396	0.187245598305667	K00008
K00009	2.26024341134346	0.882812638231148	0.486530439021728	0.817832285323524	1.35629896018074	0.182167714676476	K00009
K00010	44.363729213149	35.5746925097569	0.226009082906129	0.82023649888073	0.318529356624109	0.17976350111927	K00010
K00011	2.9377955284844	3.2917810415518	-0.0627024213344659	0.655995329816668	-0.164134388273315	0.344004670183332	K00011
K00012	182.377544353913	228.598856712971	-0.469062032964497	0.816305753821652	-0.325890082887716	0.183694246178348	K00012
K00013	1339.6018105859	1019.15060872109	0.716255236033614	0.832119311944164	0.394436964271512	0.167880688055836	K00013
K00014	20.4342244123732	22.292132024682	-0.0879493238314654	0.669841889088899	-0.125547116446225	0.330158110911101	K00014
K00015	42.7918678399626	51.0732922945279	-0.207986706743254	0.780663119688087	-0.255232408151329	0.219336880311913	K00015
K00016	2878.43058121249	1757.79500360245	1.27594744714871	0.913510379398626	0.711515588087899	0.0864896206013742	K00016
K00018	27.9411501764771	36.2082456959869	-0.279449642652906	0.805095279193475	-0.373926869926181	0.194904720806525	K00018
K00019	1.83486702375974	1.53431044458478	0.128446713974556	0.867682665934249	0.258085092087198	0.132317334065751	K00019
K00020	0.804041122900367	0.776263513730596	0.0255666767647592	0.814055704915741	0.0507228113367132	0.185944295084259	K00020
K00021	0.590728213624305	0.767823091146601	-0.184547453207348	0.772053636043907	-0.378279429954396	0.227946363956093	K00021
K00022	11.5829592319692	7.92858100188587	0.247991634570333	0.82042598458048	0.546869290953295	0.17957401541952	K00022
K00023	0.52603378280553	0.485514762792754	0.0799083119008559	0.881028199146907	0.115640291297727	0.118971800853093	K00023
K00024	389.607024129456	371.141221089073	0.0918560865642508	0.881318055213351	0.0700514436658334	0.118681944786649	K00024
K00025	5.19561899074702	6.32980011654623	-0.139742342758336	0.725388619701236	-0.284864304907425	0.274611380298764	K00025
K00026	9.62502769025813	12.803467232883	-0.176631273913895	0.767499926260853	-0.411671954726401	0.232500073739147	K00026
K00027	187.481434435028	257.514227523775	-0.689536800324407	0.800243607992086	-0.457904404485979	0.199756392007914	K00027
K00029	625.642773888574	590.622700152638	0.158405308780583	0.846677740426142	0.0831023435922245	0.153322259573858	K00029
