id	T2_LoCHO_FAT_mean	T2_LoCHO_PROT_mean	theta	prob	log2FC	P	level1	level2	level3	ko_name	color	sig
K14205	5.86193737305203	64.1859098836236	-1.84914976391322	0.995042428041829	-3.4528071711579	0.00495757195817115	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	mprF, fmtC; phosphatidylglycerol lysyltransferase [EC:2.3.2.3]	blue	sig
K18234	9.72129031028435	35.6377422543719	-0.954286808879752	0.956309179715393	-1.87418622011856	0.0436908202846069	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	vat; virginiamycin A acetyltransferase [EC:2.3.1.-]	blue	sig
K18104	34.7922863730005	110.065896273936	-0.944562001111617	0.954670116008695	-1.66152812779522	0.0453298839913047	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	abcA, bmrA; ATP-binding cassette, subfamily B, bacterial AbcA/BmrA [EC:7.6.2.2]	blue	sig
K03367	357.557403299184	1099.56608393705	-1.31421180542975	0.979664702044923	-1.62068753276046	0.0203352979550775	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	dltA; D-alanine--poly(phosphoribitol) ligase subunit 1 [EC:6.1.1.13]	blue	sig
K00662	5.25024988627692	15.979379003956	-0.689771772581165	0.919871954435221	-1.60575334808145	0.0801280455647791	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	aacC; aminoglycoside 3-N-acetyltransferase [EC:2.3.1.81]	lightblue	notsig
K19883	3.82586094511356	9.84533450606287	-0.862685274710553	0.945743834118355	-1.36365578572106	0.0542561658816452	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	aacA-aphD; bifunctional aminoglycoside 6'-N-acetyltransferase / aminoglycoside 2''-phosphotransferase [EC:2.3.1.82 2.7.1.190]	lightblue	notsig
K00897	45.0021908183275	110.466688917397	-0.67645339796091	0.917144254852393	-1.29554425019338	0.0828557451476069	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	aphA; kanamycin kinase [EC:2.7.1.95]	lightblue	notsig
K19591	3.59188283270965	8.64905851962965	-0.562491683490588	0.902197077506442	-1.26780280877297	0.0978029224935579	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	cueR; MerR family transcriptional regulator, copper efflux regulator	lightblue	notsig
K03739	0.88011988660073	1.96133945055749	-0.410999022310886	0.900782702916023	-1.15606728479419	0.0992172970839768	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	dltB; membrane protein involved in D-alanine export	lightblue	notsig
K03740	2.71921060081309	5.72501625818862	-0.411156423373859	0.900708783303779	-1.07409189891903	0.0992912166962214	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	dltD; D-alanine transfer protein	lightblue	notsig
K08168	41.548442463134	82.7421686446342	-0.597493821813034	0.908390545364448	-0.993828375285207	0.0916094546355517	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	tetB; MFS transporter, DHA2 family, metal-tetracycline-proton antiporter	lightblue	notsig
K07690	0.906892206137714	1.74614238340033	-0.34191912005472	0.939101625401351	-0.945168217272463	0.0608983745986488	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	evgA, bvgA; two-component system, NarL family, response regulator EvgA	lightblue	notsig
K18230	0.504477669014153	0.928186823568104	-0.449874632633021	0.88965256402345	-0.879624808279851	0.11034743597655	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	tylC, oleB, carA, srmB; macrolide transport system ATP-binding/permease protein	lightblue	notsig
K07637	0.474566402990811	0.852672708208756	-0.430501888968456	0.893414570515974	-0.845382112212256	0.106585429484026	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	phoQ; two-component system, OmpR family, sensor histidine kinase PhoQ [EC:2.7.13.3]	lightblue	notsig
K18698	0.554032309313311	0.952534671512597	-0.396628990919811	0.908145339233151	-0.781801494643465	0.0918546607668494	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	blaTEM; beta-lactamase class A TEM [EC:3.5.2.6]	lightblue	notsig
K18591	3.54598035253791	5.96106308010815	-0.450946072162461	0.889514413935186	-0.749385097404864	0.110485586064814	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	dfrD, dhfr; dihydrofolate reductase (trimethoprim resistance protein) [EC:1.5.1.3]	lightblue	notsig
K18347	0.487186422481933	0.799067532058838	-0.40797254905591	0.902220922370551	-0.713843508648373	0.0977790776294492	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	vanH; D-specific alpha-keto acid dehydrogenase [EC:1.1.1.-]	lightblue	notsig
K15739	1.76189829346639	2.78224227281342	-0.249725645436786	0.954156321213164	-0.659117406413674	0.0458436787868359	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	vanB, vanA, vanD; D-alanine---(R)-lactate ligase [EC:6.1.2.1]	blue	sig
