	Prefeed_HiCHO_mean	T1_LoCHO_FAT_mean	theta	prob	log2FC
A0AJM3	54.0166720596442	3.83579230393699	3.29001890218209	1	3.81580824866503
A0LVS1	1413.67925372184	506.573734113798	3.26147082665222	1	1.48061064741911
A0LYR8	570.249512276229	198.142550191842	3.23893199100924	1	1.52505458207476
A0M0E2	261.712927345998	92.11187257364	3.14949782335255	1	1.50652616159009
A3CLQ4	359.897297172488	113.375487113325	3.12072663066034	1	1.66647651841867
A4SDG1	452.003123650014	167.926441196566	3.02664585036302	1	1.42850333206301
A6KWQ7	1954.99726749132	790.969467481358	3.10372593658816	1	1.30547268021682
A6L2I3	408.926419126056	137.747783384951	3.21409720746795	1	1.56981216935419
A6L2R5	1083.12271782651	403.102989425613	3.19304978832234	1	1.42597632216773
A6L3D0	404.681128851389	180.956834473068	3.08541732498367	1	1.16113997740734
A6L3H3	267.061567695688	75.5918190277121	3.20469857360374	1	1.82087036408126
A6L6Z2	180.018066143078	63.1597728195606	3.02483577573189	1	1.5110638118616
A6LIG0	206.693413945281	54.6528569258069	3.23901301584789	1	1.91912360114603
A7GUA6	226.898704741725	68.058657500833	3.09196414739999	1	1.73719777472138
A7Z7M2	35.7837015273672	2.43553213435979	3.01420399911066	1	3.87699370665
A8FFD4	132.781793795344	17.8407266877594	3.11227269957968	1	2.89581106160861
A8MLD3	201.192938656835	69.3311049653982	3.20560239058776	1	1.53700501243546
A8YUQ2	58.1704321164062	3.1312052379519	3.149262187369	1	4.21549604163474
A8YVY9	58.1172774102322	4.55089731393437	3.24309336245643	1	3.67474418043604
A8YW44	106.318009608579	11.2984970823191	3.06769226892148	1	3.23418321682938
A8YXK4	143.673066987411	6.49199950411196	3.11530485126704	1	4.46798293902026
B3DPK4	56.3569613821392	8.85690086624177	3.2196143804875	1	2.66971995122098
B6YQ04	369.712823743559	116.79146201646	3.27790385111187	1	1.66247027471553
B8DSV5	102.574218259361	28.7720951408511	3.04947500935391	1	1.83392597427078
B9EAG8	265.916446044596	65.9892995640898	3.86264956283709	1	2.01066899620419
C5D9D1	153.261367300434	37.6390462869294	3.13016755156313	1	2.02569210361615
C8VG90	1289.37907481171	475.7614193648	3.24601209859239	1	1.43836628543754
D4GSE6	454.795825047239	246.444018338279	3.08831110288337	1	0.883959046080757
D5EY15	1120.69190295461	483.620523668128	3.28226189115435	1	1.21244233609498
D8KFT1	526.720220889696	193.572783072399	2.96575686322171	1	1.4441607263731
E8MF10	430.346877642948	109.42886986341	3.46327511822103	1	1.97550659685319
O05511	104.990872986812	31.6562736979092	3.19116807616389	1	1.72970056868125
O07685	44.8192269009193	2.82156352314042	3.24490457404791	1	3.98955102851343
O29972	40.2321413721488	5.1483216498092	3.17867818843327	1	2.9661744318221
O30808	250.936569351666	82.2412407807221	3.20770612286282	1	1.60938879624382
O32507	85.6007606328004	10.0087894625477	3.09653308175617	1	3.09635612175452
O33654	789.21922312287	395.377576125267	3.25745221491432	1	0.997195045605555
O34641	273.990470378408	114.850327354007	2.9942679202945	1	1.25437074711123
O52071	436.210213730346	144.883431506873	3.27241788883651	1	1.59013092917478
O52631	658.862774357713	248.218787679211	3.26161323400183	1	1.40836569984166
O53079	69.4376864620605	4.14047976992007	3.17406581656749	1	4.06784902863436
O59832	188.889152832539	55.7034554671026	3.10465301853199	1	1.76170112521993
P05656	165.325912686167	65.4503434791636	3.0359635152012	1	1.33684019756021
P0A4L1	392.670508370652	106.474447690122	3.00988425830633	1	1.88281200177114
P0A4N3	18.440482432242	1.01862267747283	3.1005779561249	1	4.17818475308684
P0ABJ9	414.746050373172	123.383422167457	3.07816266120269	1	1.74907967587853
P0AFK9	119.772475445243	35.6982266899989	3.01459944666312	1	1.74637208953195
P0C7J3	109.113514841508	32.1158674435242	3.02720668398614	1	1.76447163648167
P13485	42.6711172573262	4.10444363271351	3.20362916614736	1	3.37800130554167
P27871	51.4159526163956	6.72672182505498	3.10460888550952	1	2.93424054422332
P28903	1796.18888061391	804.03482443196	3.56314261260963	1	1.15960917254509
P37567	708.909669506996	301.645613040414	3.0618216279879	1	1.23274720769144
P37586	160.47349080885	47.2718532656054	3.25743329619247	1	1.76328166212445
P37760	49.30940014843	12.9640313299518	3.03640943205971	1	1.92734829017218
