	Prefeed_HiCHO_mean	T1_LoCHO_PROT_mean	theta	prob	log2FC
A0A0H2UPF7	1.74803606551806	107.930060929026	-3.76936317843616	1	-5.94821798245224
A0A0H2ZNH9	9.2801436800653	250.836111600582	-3.62937916625665	1	-4.75645410825276
A0A0H2ZQL5	4.40179660810875	74.4284939792726	-3.03848525642612	1	-4.07969065418188
A0AIG6	694.920314268955	157.474239484733	3.85393735997488	1	2.14173171129767
A0AJ80	12.6964133611676	828.617407852835	-3.64320388640354	1	-6.02821321977842
A0ALL3	17.1405098763175	331.362565682839	-3.05890958748693	1	-4.2729286984054
A0K7T2	126.365271191172	25.1668604822931	3.48109868331041	1	2.32800286453281
A0K8L2	133.283437865316	29.8033694724698	3.08111785631506	1	2.16095016720402
A0LG61	57.5342161360401	4.50698148371183	3.44389856858855	1	3.67418676743574
A0RBV9	171.489765086938	29.2709543351547	3.86921423700365	1	2.55058078701572
A0RJ87	3031.56383654317	1309.88931101033	3.85298831432744	1	1.21061729651751
A1K436	43.2804929302144	8.09474037723921	3.10905069686212	1	2.41866021560423
A1U7H4	147.895960085777	14.0827501522226	3.90356525945496	1	3.39258164088911
A2RC17	7.33594476129937	564.82126683569	-3.80115729592676	1	-6.26666782456393
A2RC49	5.42308339940219	214.260070581302	-3.65369063192033	1	-5.30410584763731
A2RCB2	2.75208054951589	89.5161684639164	-3.23978735387033	1	-5.02355368493492
A2RCD9	3.95951053332925	254.71453840884	-3.65236682177468	1	-6.00741539853311
A2RCF4	3.27553381162946	291.777558496082	-3.74694613483378	1	-6.4769950743226
A2RCM1	9.91267674934979	489.004527952214	-3.68856075257943	1	-5.6244293284736
A2RCQ1	16.2527927674095	608.994610843991	-3.28688263833162	1	-5.22766991410946
A2RCW4	68.7151795669547	2205.80280167028	-3.69853039121583	1	-5.00453117617846
A2RD38	1.52886733553976	101.864488358884	-3.76040047563623	1	-6.05804415653311
A2RDX5	5.20513848679281	305.166968358224	-3.69302588263668	1	-5.87351845327306
A2RE13	2.2703893272394	66.2417216313738	-3.28416087812674	1	-4.86672855141915
A2RE30	4.73563935833935	311.241589355713	-3.73334401999245	1	-6.0383318247063
A2REI5	15.8828484598962	361.747455839991	-3.0208623301845	1	-4.50944129392005
A2REM4	1.17918351185493	39.8701460856333	-2.96764368452903	1	-5.07944872937389
A2RFM5	2.34853019147378	65.5271851111695	-2.95569942991829	1	-4.8022635130226
A2RG20	16.8201820478287	1048.19933642436	-3.79530624346872	1	-5.96157597032427
A2RG75	23.4896594117109	1486.36647791435	-3.79456553150117	1	-5.98362026466623
A2RGA7	14.6012414550497	326.017133906493	-3.22911108949952	1	-4.48078484457635
A2RI76	2.31482783406046	92.1670182046193	-3.25267947081499	1	-5.31527377551967
A3CNV6	1.84543248291381	84.6677865109129	-3.29290786808849	1	-5.51978231170536
A3CNV7	5.25614190458304	228.890398550523	-3.6705848641977	1	-5.4445089101847
A3CPJ2	2.83516003451604	119.545959097404	-3.65929091102846	1	-5.39799138217286
A3CQD3	1.0128748238585	49.212228076772	-3.680311329099	1	-5.6024890409714
A3DDZ7	1750.40445700043	266.585615211269	4.49900134340377	1	2.7150174759962
A3DET1	198.388937453769	65.9275558855009	3.14716900073581	1	1.58937807771587
A4G8N0	119.55051173933	19.1190086862982	3.84441507402816	1	2.6445406784063
A4IQR7	273.910716333765	85.0922383074882	3.09109356852483	1	1.68660626283354
A4ITM9	145.504910189602	39.1711139898922	3.06073668347048	1	1.89320577606847
A4VUL1	0.764701339660746	24.9078618482206	-3.0463249138687	1	-5.02556097069387
A5D446	455.115232908352	117.939480169167	3.17047100585683	1	1.94818513430173
A5I3B0	971.119000119436	282.308530681573	3.79604210421894	1	1.7823753689306
A5IQY0	106.880816332688	26.6334611305895	3.08385494870845	1	2.00469110181219
A5IYA9	268.001283321879	50.5666250186417	3.15575347710159	1	2.40598251241054
A6L0V2	70.5811812633007	9.84267232242964	3.03133294689753	1	2.84216160463248
A6L9B7	82.4920075329056	14.1757921750641	3.06554237655723	1	2.54082498816127
A6LD84	25.2221280240902	1.79327399600737	3.12671283165038	1	3.81402216199585
A7FZC7	23.7322428756003	79.9457679447044	-3.0408698828652	1	-1.75217321187332
A7MX59	364.805186392759	105.12403313735	3.05612936164469	1	1.79503370870697
A8AWB7	0.830858135896957	69.1125413009258	-3.80649891768717	1	-6.37820155209724
A8AXC2	2.32278062494487	132.436526657825	-3.79289951176806	1	-5.8333043641015
A8AYU3	9.46351566583196	108.960076676364	-3.23450695198903	1	-3.52527957373714
