	Prefeed_HiCHO_mean	T1_LoCHO_PROT_mean	theta	prob	log2FC
A0AIG6	694.920314268955	157.474239484733	3.85393735997488	1	2.14173171129767
A0K7T2	126.365271191172	25.1668604822931	3.48109868331041	1	2.32800286453281
A0K8L2	133.283437865316	29.8033694724698	3.08111785631506	1	2.16095016720402
A0LG61	57.5342161360401	4.50698148371183	3.44389856858855	1	3.67418676743574
A0RBV9	171.489765086938	29.2709543351547	3.86921423700365	1	2.55058078701572
A0RJ87	3031.56383654317	1309.88931101033	3.85298831432744	1	1.21061729651751
A1K436	43.2804929302144	8.09474037723921	3.10905069686212	1	2.41866021560423
A1U7H4	147.895960085777	14.0827501522226	3.90356525945496	1	3.39258164088911
A3DDZ7	1750.40445700043	266.585615211269	4.49900134340377	1	2.7150174759962
A3DET1	198.388937453769	65.9275558855009	3.14716900073581	1	1.58937807771587
A4G8N0	119.55051173933	19.1190086862982	3.84441507402816	1	2.6445406784063
A4IQR7	273.910716333765	85.0922383074882	3.09109356852483	1	1.68660626283354
A4ITM9	145.504910189602	39.1711139898922	3.06073668347048	1	1.89320577606847
A5D446	455.115232908352	117.939480169167	3.17047100585683	1	1.94818513430173
A5I3B0	971.119000119436	282.308530681573	3.79604210421894	1	1.7823753689306
A5IQY0	106.880816332688	26.6334611305895	3.08385494870845	1	2.00469110181219
A5IYA9	268.001283321879	50.5666250186417	3.15575347710159	1	2.40598251241054
A6L0V2	70.5811812633007	9.84267232242964	3.03133294689753	1	2.84216160463248
A6L9B7	82.4920075329056	14.1757921750641	3.06554237655723	1	2.54082498816127
A6LD84	25.2221280240902	1.79327399600737	3.12671283165038	1	3.81402216199585
A7MX59	364.805186392759	105.12403313735	3.05612936164469	1	1.79503370870697
A8FFW0	324.730986010038	56.1666790171925	3.63960515753106	1	2.53145864602885
A8FGB7	74.5375399077284	12.9431307592341	3.07162861556588	1	2.52578057712238
A9KE65	126.12106823805	29.2330389608438	3.91558394977324	1	2.10913757532452
B2RKS6	208.381907919278	27.4666761910818	3.66623139161434	1	2.92347578368103
B2UF70	206.927444088296	38.0916320110382	3.77743636186532	1	2.44157899199728
B5YLB7	97.4069981352039	17.1558316364342	3.6616456131655	1	2.50532636254786
B5YYX4	242.856446128529	65.4890187427635	3.49564626968	1	1.89077886061651
B7GMJ3	144.452933943594	30.5962659213793	3.10292973695462	1	2.23917200931125
B7IFV2	103.327984291975	23.00442053443	3.03712492501516	1	2.167248010344
B8CZ12	585.97465287137	160.73189203721	3.55419440319018	1	1.86618204675389
B8YG19	101.232571194478	25.8637464147038	3.03853619969007	1	1.96867037373979
C0SPA0	308.425893248958	102.215669615695	3.0582643335992	1	1.59330751104998
C5D9D1	143.874380785427	16.5767401978337	3.84543349171476	1	3.11757748416112
D8KFT1	494.459542952635	111.092375624284	3.80952051513758	1	2.15409267684497
D9TQ02	532.36318725329	100.85225340821	3.84557576079853	1	2.40016749339636
F1CYZ5	674.523387301447	172.308871611523	3.07750933503114	1	1.96887148259651
O05507	1667.2012283223	440.679192651599	3.72411259668816	1	1.91962756138271
O05509	458.751899309699	133.514769242456	3.90969120948473	1	1.78071479104476
O28519	225.838803045236	42.2404336103593	3.83878301272888	1	2.41859683800861
O31444	43.8258311619659	3.88244165665043	3.12013800528804	1	3.49674530231873
O34758	298.451753904924	100.877149472084	3.14964114359306	1	1.5648983175512
O35038	267.86300799521	60.0432339116726	3.7981011477116	1	2.15742177077413
O52236	185.906705817976	42.6859838049315	3.81235933706399	1	2.12274447519985
O52631	618.508599740361	184.353082202954	3.80554399428272	1	1.74632211748418
O69266	145.295890488101	26.8220132010788	3.72589283468819	1	2.43750446680645
P00358	91.4198394926614	6.16084332973089	3.0863639049237	1	3.89130753248902
P00497	1394.86329421786	498.388056720691	3.44332212646333	1	1.4847823339633
P02994	108.416626184019	9.62926219412524	3.15809996323895	1	3.49301694605537
P07819	360.009889074236	63.899346306786	3.65445570276776	1	2.49416345881479
P08794	30.5444679809609	0.790208231561708	3.56061216355488	1	5.2725344268825
P0A4L1	368.620137218145	90.8445924283456	3.17277788717783	1	2.02066234064025
P0AGG8	82.7020561840933	19.8666336493474	3.09532319111631	1	2.05757576663794
P0DB18	387.278839002532	133.752245229073	3.05128317727112	1	1.53380956487331
P27028	46.011811028046	5.39849910900743	3.14858370199278	1	3.09137397214715
P27189	119.396798682955	21.8488991466628	3.83244636876766	1	2.45013165826913
P28628	1931.04067177266	246.666234263836	4.71890531215235	1	2.9687464046876
P30538	140.12391142866	50.3024227657606	3.06242863436396	1	1.47800337252784
P37567	665.490211458084	285.621834540182	3.15060242898334	1	1.22031117471538
P37586	150.644774539564	27.1622915953696	3.76480454851724	1	2.47147352522461
P37665	100.675161378162	32.8882948689135	3.05358543837826	1	1.61406166780844
P39661	249.164049488952	48.5158209863631	3.66584974403748	1	2.36056873352966
P42403	3574.59377112198	700.861063245996	3.17506807911243	1	2.35057891665454
P43741	61.9759310653093	5.19727102686074	3.61790701456206	1	3.57588184048115
P46208	644.273732559544	115.472470006971	3.91687461316148	1	2.48012483919031
P47487	212.551126599596	49.831482898768	3.87522561270704	1	2.09268049393198
P70976	202.96691324383	33.5787861461046	3.9042045120863	1	2.59562258117002
P72704	107.382968625413	32.1216556866039	3.09774881242108	1	1.74114703166295
P75230	189.300610060877	35.0731563708687	3.55490018240694	1	2.43223988510656
P75399	151.088953348061	14.4725383184732	3.06050286227449	1	3.38400830231999
P75793	509.89937628039	130.221325870482	3.92272786500524	1	1.96924684048822
P77216	195.674941562432	12.9614096494887	3.65964949659703	1	3.916164478361
P96178	42.6798091562616	3.42731697555429	3.17117138982753	1	3.63840219428151
