	Prefeed_HiCHO_mean	T2_LoCHO_FAT_mean	theta	prob	log2FC
A0PXM8	69.6227956517745	230.734964467548	-3.70422485402259	1	-1.72860498897159
A0PXV1	35.6716113459087	150.454186008058	-3.79466538360165	1	-2.07647595525901
A3DE94	16.2417262701351	63.3748151295333	-3.43985524430066	1	-1.96420465450431
A3DIZ1	111.06426051003	246.436964397658	-3.08453148586521	1	-1.14982402481542
A3DJI9	98.9860433206569	355.09954837746	-3.7399324414592	1	-1.84292649572771
A5HYC7	32.5773260254139	140.883574298959	-3.04048387491169	1	-2.11256332056436
A7HZY9	13.9869964783192	63.5267204252762	-3.13547913398432	1	-2.18327734558662
A7ZNY5	1.43339176747994	15.0991254490888	-3.04407285533809	1	-3.39696011134739
A9KMU8	98.6263830277131	208.821721849949	-3.40167336251908	1	-1.08222625918723
B2UY96	17.9624191917379	96.0451915077833	-4.21069720380318	1	-2.41873172093958
B8I179	17.3179921651069	66.2193321097411	-3.06912639265545	1	-1.93498078495091
B8I1Z8	42.0274467129536	126.633625203084	-3.73074655953137	1	-1.59125682002769
B8I298	32.587471524748	119.3931550178	-3.59824017741965	1	-1.87333080494807
B8I2R5	14.1993627127589	53.6711818815298	-3.32781893464163	1	-1.9183214767239
B8I4L5	16.0247784754965	57.4794270938608	-3.08413850102362	1	-1.84274126895859
B9LZC4	34.5830599330932	115.855864312603	-3.04496746812001	1	-1.7441936410013
B9MKG1	55.2606932360025	196.11800826958	-3.56791091226154	1	-1.82739644938341
C0MFY0	38.7124099039614	146.641783685382	-3.73281237268765	1	-1.92142821398925
C0SPB3	184.506530989755	470.391137551646	-3.43765476223986	1	-1.35018899483877
C4L3L1	210.036954930642	528.335222914446	-3.02565752237413	1	-1.33081040925562
C5D8U8	38.5862395182921	90.1118873809878	-3.07762014095492	1	-1.22363098540267
H6LC27	58.9936004167639	128.341193899196	-3.32305596544131	1	-1.12135394357134
O07577	31.2318708728492	74.8135993576808	-3.03375462934757	1	-1.26028154882226
O07635	43.3554302084733	157.033798386987	-3.02513638693496	1	-1.85679049835266
O31518	53.4286310193209	187.686571650368	-3.53419158849089	1	-1.81264047668934
O31945	2.95239077330433	56.2025453972963	-3.71060028206982	1	-4.25067987942008
O31952	6.25994125218725	93.7426170707569	-3.80439779400269	1	-3.90448404894985
O32047	29.6087164866998	79.3108659933949	-3.49912284601053	1	-1.42149658381611
O35015	123.004704583872	212.282235017935	-3.08422441594185	1	-0.787270147740925
P05149	229.068964003315	437.043727663838	-3.06115928343443	1	-0.931995628694582
P0AAG8	47.6980370563017	164.66267809188	-3.03395588066929	1	-1.78751179500351
P0C278	40.5667168887595	114.014530623303	-3.08247912207376	1	-1.49084924749558
P0DMG1	24.1449392266073	86.8160883916171	-3.43694926382339	1	-1.84624158939305
P15078	24.9633634881462	110.811269580344	-3.81652379242972	1	-2.15022037512187
P18766	70.8965736863247	296.905910061157	-4.40595296924262	1	-2.06621799997268
P31847	51.0704338216676	128.058484566828	-3.7283532096226	1	-1.32624262314979
P35592	17.6615978007137	63.1920652323039	-3.53591744928122	1	-1.83912755057939
P38939	31.5561492326239	148.126077011562	-3.54596136900124	1	-2.23083257327834
P42693	13.7914420623173	69.8598115087436	-3.48339459145384	1	-2.34068943417057
P54935	240.223760373204	592.939365325636	-3.22220488366168	1	-1.30350572651558
P57795	122.860724180622	417.65333705438	-4.3605366571448	1	-1.7652821730887
P59852	65.8693725447085	296.417116115071	-4.2540378507597	1	-2.16994904353563
P80875	22.0752789112928	89.6093527395302	-3.57062333396425	1	-2.02121765182957
Q1QZ10	11.3670386384204	100.177697547298	-3.40287947062984	1	-3.1396330038829
Q3A221	91.9194249380687	322.362933775319	-3.56268222463011	1	-1.810244190739
Q45068	77.4098058845139	194.730881026488	-3.62049975285314	1	-1.33089345284737
Q57657	67.7620669199406	149.099615518301	-3.67793787996439	1	-1.13772675094381
Q5L9B7	13.3838204377318	59.3211915682542	-3.71343185639736	1	-2.14805758220679
Q65P91	34.7052778171745	145.183846577052	-3.50407688359436	1	-2.06465396239788
Q67J33	37.0127208902011	122.742450053018	-3.35663391072466	1	-1.72954118592685
Q67JT3	21.5425308221257	62.8345153774383	-3.04006819867153	1	-1.54436950989472
