	Prefeed_HiCHO_mean	T2_LoCHO_PROT_mean	theta	prob	log2FC
A0AHX5	394.246031824388	2128.51475612047	-2.99581957496411	1	-2.43267895261862
A0AKC5	385.832122960664	2541.87542174464	-2.95290697177678	1	-2.71984815808508
A0AKH5	75.1691508587499	1950.29953320093	-3.05491808487715	1	-4.6974111977975
A0QGK3	420.278939058107	4634.75818252775	-2.99169678836149	1	-3.46307500118116
A5VHK2	2.16415503270932	68.8977896812946	-3.13919320535122	1	-4.99258194264235
A5VI51	15.3182423712091	362.749009474117	-2.87936134103754	1	-4.56564899910461
A5VID8	3.01518386545931	71.1509536761173	-3.16521756845022	1	-4.56056520888432
A5VIE0	2.02626590562528	38.1991662695049	-2.93057603079755	1	-4.23664573485717
A5VIP9	51.1307446174473	769.975163376656	-3.02906741886211	1	-3.91254896914631
A5VIQ8	10.2041106893521	240.632971357512	-3.06793510022195	1	-4.559611974178
A5VJ12	3.64063697225777	67.3211727019818	-2.93656141266159	1	-4.20879751384395
A5VJ17	2.66912387289233	61.8951517664992	-3.01202092267264	1	-4.53538824087949
A5VJ82	5.831257038626	101.109933747368	-2.84170534770164	1	-4.11597401706213
A5VJ92	9.72449523268453	105.223581479371	-2.99830732307653	1	-3.43569088421579
A5VJ93	104.928741303952	1543.28573265076	-3.07015188409636	1	-3.87852338585647
A5VJE5	52.2274068562336	995.512497521698	-2.94528222649107	1	-4.25256044811916
A5VK09	3.37417945019116	96.8952805821939	-2.93039288968679	1	-4.84381779076259
A5VK99	14.1949687773239	202.903567792861	-3.16398492002852	1	-3.8373426523308
A5VKR6	2.98203660515279	70.3213853430873	-3.17313993412012	1	-4.55959361985513
A5VKS5	8.99508113441146	122.964372872648	-2.99818552185721	1	-3.77296027166019
A5VKT6	6.06681228230126	142.942354702486	-3.01956992854218	1	-4.55835097643023
A5VKY3	29.5518161660259	471.57369315505	-3.05796967761902	1	-3.99616453754171
A5VL28	3.20188372157337	73.9931929826114	-2.85572726103835	1	-4.53039973431274
A5VLA3	1.90116946612684	39.678692008185	-2.76481571516121	1	-4.38340542711714
A5VLI3	3.18590340068904	91.1758221458283	-2.98478543825754	1	-4.83887687472015
A5VLK2	28.2818516276608	518.018593475559	-2.95964579024157	1	-4.19505539979337
A5VLK9	11.4644445229444	188.343957325269	-2.93914386494872	1	-4.03813138773109
A5VLL3	24.091987426634	352.329840536806	-2.77080758819171	1	-3.87030135268586
A5VLV3	2.76317436248092	48.1939877563683	-3.02451097383511	1	-4.12445467274865
A5VM22	19.0752121626901	329.251992362121	-3.08261165475882	1	-4.10942116197679
A5VMP8	7.47232873847192	136.33761208722	-2.91636127836788	1	-4.18948188324484
A7FZC7	24.2127907063641	85.7171761161419	-3.03127186819946	1	-1.82381495198033
A9KLY3	29.1390414745806	90.9057825286365	-2.95126129532386	1	-1.64141864646179
B2G552	3.12094832737294	66.8782251202513	-3.08860872860614	1	-4.42148018398642
C0ZH32	64.0389634738138	201.18332335373	-2.87956282861716	1	-1.65148885920287
C4Z2R7	52.0567712280034	174.650960245012	-3.02345869936617	1	-1.74631683697359
C4Z2V6	146.315103451049	530.631293606092	-3.09425091585964	1	-1.85863105990412
C4Z8W1	49.0604814219855	134.461848753509	-2.95051140238603	1	-1.45456359484193
C4ZB90	102.274871314799	362.759434200436	-2.9693163813233	1	-1.82656141262862
C4ZBD3	35.9850955502192	141.338484138575	-3.08819310057606	1	-1.97368294701272
C4ZBD4	28.0827856525318	99.4920208047394	-2.95562551689415	1	-1.82489477721411
C4ZI85	21.4535630408511	74.4431157437374	-3.00617076907554	1	-1.79492116660704
C6VKW6	46.8305941062789	1075.93910010658	-3.05793606183721	1	-4.52200127051329
E6ESW1	1.46878956492166	31.6309877399077	-2.98886665168375	1	-4.42863898822887
G3ECR1	6.44506593307008	94.2894473544125	-3.06670739028683	1	-3.87082929445984
H8L902	30.9391638434566	112.788302535127	-3.15395085351986	1	-1.86611133876448
O26759	3.71429601655656	65.6750080127972	-2.93804760122138	1	-4.14418376860058
O31841	1.41095613606184	58.4214948891947	-2.82980855402991	1	-5.37175423121498
O32215	94.0306681986918	816.978343797774	-2.96395429608785	1	-3.11909456125925
O34362	4.8050794544808	65.5379081472885	-2.93796615296964	1	-3.76969743335273
O34512	33.037729845454	186.987076665875	-3.62580821772526	1	-2.50075210190336
O34989	2.61958041581242	28.4472399655809	-2.86215673330743	1	-3.44088102921481
P0C2U2	18.4490640770368	260.37728173024	-3.04435363154644	1	-3.81898404171909
P0DB16	7.91817857416887	140.614089604584	-3.04343221234412	1	-4.1504287462042
P11605	3.28435922395986	30.1081453996919	-2.88119554524674	1	-3.19647000934429
P20368	3.91746155820232	111.204157408457	-2.85910562351849	1	-4.82714779683691
P23538	27.0019337190955	1109.38718768186	-3.06390748393999	1	-5.36055643047655
P35150	68.0464466093131	139.96946341083	-2.84338965155292	1	-1.04052038321425
P39787	3.32335276566143	53.0555515174353	-3.16498493420452	1	-3.99679237201357
P45513	18.415794299451	289.147491610092	-3.00215413308285	1	-3.97279005743424
P50840	62.2380455944628	497.868914680494	-4.05837550622052	1	-2.9998972785296
P60565	3.71483594876047	114.693920892202	-3.05966271361784	1	-4.94834661499535
P80864	13.3405649567163	173.595521978191	-2.99343739817235	1	-3.70183806359145
P96642	1.38387865019567	42.3271663319589	-2.95196599189281	1	-4.93479456175618
P9WQM4	4.08633868916793	81.1846439626669	-3.06191007520954	1	-4.31232617868334
Q03H46	6.91850932553167	135.03448407181	-3.09295109043086	1	-4.28672284283071
Q1M0P5	4.71232562941262	102.414349244553	-2.92118308253467	1	-4.44183481965399
Q1WVJ7	1.36316723030032	34.8709849456641	-3.11656879725902	1	-4.67699264951282
Q2FDV8	278.59320848387	2881.5343948775	-2.8986594557848	1	-3.37060524666595
Q38YY6	3.82734616375484	73.7142286877882	-2.89811762104278	1	-4.2675268260282
Q5XAQ3	40.0388810567443	521.223407038079	-2.86228306753639	1	-3.70242831204317
Q839Y9	44.0188710499673	536.4018395957	-2.8806814759375	1	-3.60712013490767
Q87S51	93.1294075590678	232.059525667846	-2.91652515449967	1	-1.31718621303512
Q88T35	17.2589535993921	201.338990106727	-2.76421770100093	1	-3.54420968052702
Q88WR8	18.8945778443061	189.471727430878	-2.91944517774907	1	-3.32593839818091
Q8GJP4	4.9736380290035	108.66804752962	-3.02950572576918	1	-4.44948247115127
Q8KRA0	14.1452683972641	227.138018355676	-3.07038421036421	1	-4.00517774820903
Q8XPD7	74.7908002074484	167.838120818819	-2.86384166992649	1	-1.16613770560197
Q97QT7	1.46361176323898	28.8948831907466	-3.01723015620606	1	-4.3032092166689
Q9CHU6	7.11774801304891	207.095033410202	-2.99375194406502	1	-4.86272828621702
Q9R5V5	3.1923390267328	51.6028873129351	-2.95017352019439	1	-4.01476601119701
Q9ZNI1	1.35370062284343	57.9758615125282	-3.16403997768816	1	-5.42047173264346
A0A0H2US70	3.36165612412014	95.8532809405952	-2.78675403593291	1	-4.83358375564914
A0AKM3	47.5011632618846	661.156846063829	-3.17718791378645	1	-3.79895781317174
A2RI32	5.69064595179728	207.537088688998	-2.77882830154345	1	-5.18863294766126
A3DJK1	149.65759970696	465.394151332282	-3.13961934036654	1	-1.63678753866743
A5VIJ2	6.48670139621046	105.806846955669	-2.95599969191369	1	-4.02780415125872
A5VJ57	3.40342901197901	68.4195306706541	-2.97330300222532	1	-4.32934728413357
A5VKS3	12.1778565011923	309.478694206913	-3.17146078744549	1	-4.66750796861745
A5VKT4	14.4220354292525	277.943541540043	-2.84529535699469	1	-4.26844516281056
A5VLJ9	25.6538197572337	519.45947263476	-2.9263552399647	1	-4.33976563804718
A9KJJ1	133.891126783165	444.809243748852	-3.13898417240398	1	-1.73212641584736
B2G5T2	10.7150891502467	215.122215849861	-2.9239193642319	1	-4.32744076227472
C4Z044	23.7491190598475	83.5297691688659	-2.92418829064515	1	-1.81441645152533
O34447	4.17326646241781	108.000835222267	-2.86712993493787	1	-4.69372161986209
O34979	61.3297750474347	513.11547774993	-2.8818850953303	1	-3.06462397960319
