id	Prefeed_HiCHO_mean	T1_LoCHO_PROT_mean	theta	prob	log2FC	P	level_1	level_2	level_3	ko_name	color	sig	label_hjust	label_nudge
K01805	215.938022525591	540.742790793516	-1.39762239868743	0.953294249391459	-1.3243252297119	0.046705750608541	09100 Metabolism	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	xylA; xylose isomerase [EC:5.3.1.5]	blue	sig	0	0.05
K00976	3.3761576204134	7.73930232736424	-0.803455868511608	0.78352887597708	-1.19682125826496	0.21647112402292	09100 Metabolism	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	FPGT; fucose-1-phosphate guanylyltransferase [EC:2.7.7.30]	lightblue	notsig	0	0.05
K00882	256.43852038021	534.419529066766	-1.56864308708236	0.95468850387518	-1.05935973889322	0.0453114961248196	09100 Metabolism	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	fruK; 1-phosphofructokinase [EC:2.7.1.56]	blue	sig	0	0.05
K17742	0.920775780302437	1.79505339410596	-0.483071326744711	0.473828266408834	-0.963104966805348	0.526171733591166	09100 Metabolism	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	SOU1; sorbose reductase [EC:1.1.1.289]	lightblue	notsig	0	0.05
K01628	90.4444199278607	173.959312497234	-1.29566897736508	0.941159733127568	-0.943646510285139	0.0588402668724318	09100 Metabolism	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	fucA; L-fuculose-phosphate aldolase [EC:4.1.2.17]	lightblue	notsig	0	0.05
K00008	32.9497356244809	53.6850418753953	-0.647434139059458	0.664083202759183	-0.704253280135633	0.335916797240817	09100 Metabolism	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]	lightblue	notsig	0	0.05
K01813	255.41896883896	405.24857885668	-1.13180088991522	0.897434112995617	-0.665941454836542	0.102565887004383	09100 Metabolism	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	rhaA; L-rhamnose isomerase [EC:5.3.1.14]	lightblue	notsig	0	0.05
K00848	380.211919304075	602.078443654333	-1.37445142105676	0.951470066711067	-0.663147705325182	0.0485299332889334	09100 Metabolism	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	rhaB; rhamnulokinase [EC:2.7.1.5]	blue	sig	0	0.05
K01818	415.075266152387	655.954735541078	-1.0793641370992	0.89359625239976	-0.660223298441969	0.10640374760024	09100 Metabolism	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	fucI; L-fucose/D-arabinose isomerase [EC:5.3.1.25 5.3.1.3]	lightblue	notsig	0	0.05
K02783	0.530177490231321	0.752595889098381	-0.34154019011197	0.370693210472943	-0.505399990060203	0.629306789527057	09100 Metabolism	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	srlA; glucitol/sorbitol PTS system EIIC component	lightblue	notsig	0	0.05
K16305	6.73805799225546	9.32276389437824	-0.316074877194724	0.338763433904264	-0.468424884840111	0.661236566095736	09100 Metabolism	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	K16305; fructose-bisphosphate aldolase / 6-deoxy-5-ketofructose 1-phosphate synthase [EC:4.1.2.13 2.2.1.11]	lightblue	notsig	0	0.05
K05305	6.14750426957806	8.46075325758604	-0.264286598068865	0.239718544240649	-0.460785279838549	0.760281455759351	09100 Metabolism	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	FUK; fucokinase [EC:2.7.1.52]	lightblue	notsig	0	0.05
K11195	2.56456168677472	3.51080589264122	-0.274834415905263	0.261234734758263	-0.453089960261657	0.738765265241737	09100 Metabolism	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	levE; fructose PTS system EIIB component [EC:2.7.1.202]	lightblue	notsig	0	0.05
K00879	0.618637911730251	0.804719609613118	-0.213101788522366	0.17348155548966	-0.379390940865652	0.82651844451034	09100 Metabolism	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	fucK; L-fuculokinase [EC:2.7.1.51]	lightblue	notsig	0	0.05
K16370	0.61615921295541	0.76829953183689	-0.183797360353906	0.178404385319848	-0.318365689113835	0.821595614680152	09100 Metabolism	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	pfkB; 6-phosphofructokinase 2 [EC:2.7.1.11]	lightblue	notsig	0	0.05
K24204	1.32377226778315	1.61121133534314	-0.155884113276476	0.202532811404883	-0.283490785615112	0.797467188595117	09100 Metabolism	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	hxpB; mannitol-1-/sugar-/sorbitol-6-/2-deoxyglucose-6-phosphatase [EC:3.1.3.22 3.1.3.23 3.1.3.50 3.1.3.68]	lightblue	notsig	0	0.05
K16011	306.638408554765	350.496340114958	-0.333512760644279	0.361820248536478	-0.192860963962266	0.638179751463522	09100 Metabolism	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	algA, xanB, rfbA, wbpW, pslB; mannose-1-phosphate guanylyltransferase / mannose-6-phosphate isomerase [EC:2.7.7.13 5.3.1.8]	lightblue	notsig	0	0.05
K19633	0.499329426021376	0.560573107184447	-0.12817466438762	0.223650443102549	-0.166910605736792	0.776349556897451	09100 Metabolism	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	sr; sorbose reductase [EC:1.1.1.289]	lightblue	notsig	0	0.05
K04041	991.935714841226	1105.92903061164	-0.391537767408893	0.421244925684414	-0.156940277413289	0.578755074315586	09100 Metabolism	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	fbp3; fructose-1,6-bisphosphatase III [EC:3.1.3.11]	lightblue	notsig	0	0.05
K12660	0.490873542640363	0.544027863518281	-0.118407243090165	0.239129357184859	-0.148329134328859	0.760870642815141	09100 Metabolism	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	rhmA; 2-dehydro-3-deoxy-L-rhamnonate aldolase [EC:4.1.2.53]	lightblue	notsig	0	0.05
K01624	3323.19682521157	3628.42092349639	-0.454980078788458	0.448911876718832	-0.126770085774413	0.551088123281168	09100 Metabolism	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]	lightblue	notsig	0	0.05
K19029	0.494918778969264	0.528552182244174	-0.0777225679504724	0.26616522280726	-0.0948541270487903	0.73383477719274	09100 Metabolism	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	PFKFB2; 6-phosphofructo-2-kinase / fructose-2,6-biphosphatase 2 [EC:2.7.1.105 3.1.3.46]	lightblue	notsig	0	0.05
K01629	250.47198702482	265.054380047988	-0.106185348343677	0.259970769279551	-0.0816391211302245	0.740029230720449	09100 Metabolism	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	rhaD; rhamnulose-1-phosphate aldolase [EC:4.1.2.19]	lightblue	notsig	0	0.05
K19270	0.690887723111661	0.726548861234372	-0.045176531412856	0.216000863387878	-0.0726085482190735	0.783999136612122	09100 Metabolism	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	hxpA; mannitol-1-/sugar-/sorbitol-6-phosphatase [EC:3.1.3.22 3.1.3.23 3.1.3.50]	lightblue	notsig	0	0.05
K16306	0.740339973904451	0.77431611410258	-0.0411304467022314	0.208898231942408	-0.0647347384967664	0.791101768057592	09100 Metabolism	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	K16306; fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase [EC:4.1.2.13 2.2.1.10]	lightblue	notsig	0	0.05
K00881	0.660204392859215	0.688787579888121	-0.0390776570336533	0.205390964234972	-0.0611463905363688	0.794609035765028	09100 Metabolism	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	alsK; allose kinase [EC:2.7.1.55]	lightblue	notsig	0	0.05
K00846	0.504782883311593	0.524848920658991	-0.042289935266523	0.210913142178614	-0.0562392076416254	0.789086857821386	09100 Metabolism	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	KHK; ketohexokinase [EC:2.7.1.3]	lightblue	notsig	0	0.05
K00850	1600.62521321345	1662.54693493364	-0.195939301872618	0.172335380389947	-0.0547595295413649	0.827664619610053	09100 Metabolism	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]	lightblue	notsig	0	0.05
K07026	0.503604114130114	0.511646541451964	-0.0173361320058674	0.178806592394329	-0.0228574345820585	0.821193407605671	09100 Metabolism	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	E3.1.3.70; mannosyl-3-phosphoglycerate phosphatase [EC:3.1.3.70]	lightblue	notsig	0	0.05
K00068	0.520299116427169	0.525890215347521	-0.0125808987998132	0.177253705813638	-0.0154203971218198	0.822746294186362	09100 Metabolism	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	srlD; sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]	lightblue	notsig	0	0.05
K00066	0.54041498756616	0.543231661265984	-0.00573173006568821	0.178063869004802	-0.00749988076713703	0.821936130995198	09100 Metabolism	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	algD; GDP-mannose 6-dehydrogenase [EC:1.1.1.132]	lightblue	notsig	0	0.05
K02781	0.732825684559366	0.720625963545594	0.0139136759305564	0.185972397532988	0.0242194370646746	0.814027602467012	09100 Metabolism	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	srlB; glucitol/sorbitol PTS system EIIA component [EC:2.7.1.198]	pink	notsig	1	-0.05
K12661	0.510825206530661	0.500375268627645	0.0240639542915814	0.177442275600254	0.0298192310636278	0.822557724399746	09100 Metabolism	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	LRA3, rhmD; L-rhamnonate dehydratase [EC:4.2.1.90]	pink	notsig	1	-0.05
K02798	1.06236277484415	1.01769099631103	0.0361274582778593	0.14360530678956	0.0619769213685105	0.85639469321044	09100 Metabolism	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	cmtB; mannitol PTS system EIIA component [EC:2.7.1.197]	pink	notsig	1	-0.05
K07046	0.874008917515703	0.793413666312086	0.0820789204334729	0.000868123903581597	0.139574751937003	0.999131876096418	09100 Metabolism	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	E3.1.1.120; L-fucono-1,5-lactonase [EC:3.1.1.120]	pink	notsig	1	-0.05
K17497	0.595222856135415	0.538827492551508	0.104581434265357	0.0293164915449058	0.143606462785295	0.970683508455094	09100 Metabolism	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	PMM; phosphomannomutase [EC:5.4.2.8]	pink	notsig	1	-0.05
K19030	0.571652933057171	0.512092706075088	0.125124781498555	0.0333223322541177	0.158734500724552	0.966677667745882	09100 Metabolism	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	PFKFB4; 6-phosphofructo-2-kinase / fructose-2,6-biphosphatase 4 [EC:2.7.1.105 3.1.3.46]	pink	notsig	1	-0.05
K02446	10.6686856777766	9.42833191926243	0.102752357207831	0.0271281560667083	0.178308001290147	0.972871843933292	09100 Metabolism	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	glpX; fructose-1,6-bisphosphatase II [EC:3.1.3.11]	pink	notsig	1	-0.05
K02768	2.66290088368179	2.30939877347046	0.127497978346164	0.0317347968443328	0.205481419970798	0.968265203155667	09100 Metabolism	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	fruB; fructose PTS system EIIA component [EC:2.7.1.202]	pink	notsig	1	-0.05
K11194	1.02554574108769	0.879097873683839	0.0798007262290234	0.000118011341600943	0.222296139146995	0.999881988658399	09100 Metabolism	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	levD; fructose PTS system EIIA component [EC:2.7.1.202]	pink	notsig	1	-0.05
K02771	21.3059264993441	17.9917873570771	0.164007822233697	0.0363238430174566	0.243916273949987	0.963676156982543	09100 Metabolism	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	levG; fructose PTS system EIID component	pink	notsig	1	-0.05
K01711	68.6350132147511	57.4192045927695	0.266555526270768	0.159626954523145	0.257411389802246	0.840373045476855	09100 Metabolism	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	gmd, GMDS; GDPmannose 4,6-dehydratase [EC:4.2.1.47]	pink	notsig	1	-0.05
K00971	48.2360408981157	39.6973647644733	0.268356623402966	0.161661085290619	0.281068259121552	0.838338914709381	09100 Metabolism	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	manC, cpsB; mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]	pink	notsig	1	-0.05
K03841	1.45471937059719	1.19649274732221	0.132890444760664	0.0278354148488942	0.281929218339111	0.972164585151106	09100 Metabolism	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]	pink	notsig	1	-0.05
K01809	486.315998431483	389.523018843099	0.635156092174675	0.621467876288258	0.32018546617853	0.378532123711742	09100 Metabolism	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	manA, MPI; mannose-6-phosphate isomerase [EC:5.3.1.8]	pink	notsig	1	-0.05
