id	Prefeed_HiCHO_mean	T1_LoCHO_PROT_mean	theta	prob	log2FC	P	level_1	level_2	level_3	ko_name	color	sig	label_hjust	label_nudge
K01635	33.5923876503807	533.590508689806	-1.793230262773	0.974643267245334	-3.98952675767896	0.0253567327546663	09100 Metabolism	09101 Carbohydrate metabolism	00052 Galactose metabolism [PATH:ko00052]	lacD; tagatose 1,6-diphosphate aldolase [EC:4.1.2.40]	blue	sig	0	0.05
K00094	17.6695295368402	45.7805738984114	-1.01391798017107	0.862241262100951	-1.37347192074483	0.137758737899049	09100 Metabolism	09101 Carbohydrate metabolism	00052 Galactose metabolism [PATH:ko00052]	E1.1.1.251, gatD; galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251]	lightblue	notsig	0	0.05
K01819	19.3865708617183	49.4294333263995	-0.731228504305754	0.742773297557611	-1.35031272807668	0.257226702442389	09100 Metabolism	09101 Carbohydrate metabolism	00052 Galactose metabolism [PATH:ko00052]	E5.3.1.26, lacA, lacB; galactose-6-phosphate isomerase [EC:5.3.1.26]	lightblue	notsig	0	0.05
K00849	327.442056589478	829.03067694747	-2.25149008999626	0.991508254488179	-1.34018585415625	0.00849174551182108	09100 Metabolism	09101 Carbohydrate metabolism	00052 Galactose metabolism [PATH:ko00052]	galK; galactokinase [EC:2.7.1.6]	blue	sig	0	0.05
K15779	3.1863731329864	6.95990964215476	-0.579020657769171	0.598626883097493	-1.12715335595671	0.401373116902507	09100 Metabolism	09101 Carbohydrate metabolism	00052 Galactose metabolism [PATH:ko00052]	PGM2; phosphoglucomutase / phosphopentomutase [EC:5.4.2.2 5.4.2.7]	lightblue	notsig	0	0.05
K08302	37.8560100977325	78.0388340801252	-1.00650130403373	0.856679297701591	-1.04366986026432	0.143320702298409	09100 Metabolism	09101 Carbohydrate metabolism	00052 Galactose metabolism [PATH:ko00052]	gatY-kbaY; tagatose 1,6-diphosphate aldolase GatY/KbaY [EC:4.1.2.40]	lightblue	notsig	0	0.05
K00917	25.8275017724403	51.8330957587831	-0.900260042017256	0.818570515876196	-1.00496545997426	0.181429484123804	09100 Metabolism	09101 Carbohydrate metabolism	00052 Galactose metabolism [PATH:ko00052]	lacC; tagatose 6-phosphate kinase [EC:2.7.1.144]	lightblue	notsig	0	0.05
K00845	1.14246078821736	2.22513712079693	-0.588552780727318	0.610753977137798	-0.961749593128465	0.389246022862202	09100 Metabolism	09101 Carbohydrate metabolism	00052 Galactose metabolism [PATH:ko00052]	glk; glucokinase [EC:2.7.1.2]	lightblue	notsig	0	0.05
K02773	3.72708506112729	5.72661096233791	-0.257508979739367	0.225683928247015	-0.619633851972174	0.774316071752985	09100 Metabolism	09101 Carbohydrate metabolism	00052 Galactose metabolism [PATH:ko00052]	gatA, sgcA; galactitol PTS system EIIA component [EC:2.7.1.200]	lightblue	notsig	0	0.05
K12308	67.3683558700522	93.0522751342945	-0.548988058484539	0.555847279180724	-0.465970334034522	0.444152720819276	09100 Metabolism	09101 Carbohydrate metabolism	00052 Galactose metabolism [PATH:ko00052]	bgaB, lacA; beta-galactosidase [EC:3.2.1.23]	lightblue	notsig	0	0.05
K18819	0.502952321597201	0.684897291791481	-0.308367938126034	0.326315801274441	-0.445466012355912	0.673684198725559	09100 Metabolism	09101 Carbohydrate metabolism	00052 Galactose metabolism [PATH:ko00052]	GOLS; inositol 3-alpha-galactosyltransferase [EC:2.4.1.123]	lightblue	notsig	0	0.05
K10985	501.17432201553	682.347127852428	-0.36184811264099	0.391088696762772	-0.445193363588827	0.608911303237228	09100 Metabolism	09101 Carbohydrate metabolism	00052 Galactose metabolism [PATH:ko00052]	agaC; galactosamine PTS system EIIC component	lightblue	notsig	0	0.05
K16370	0.61615921295541	0.76829953183689	-0.183797360353906	0.178404385319848	-0.318365689113835	0.821595614680152	09100 Metabolism	09101 Carbohydrate metabolism	00052 Galactose metabolism [PATH:ko00052]	pfkB; 6-phosphofructokinase 2 [EC:2.7.1.11]	lightblue	notsig	0	0.05
K00883	0.521071933624419	0.613076213457046	-0.165721784124138	0.194692789621203	-0.234583881763851	0.805307210378797	09100 Metabolism	09101 Carbohydrate metabolism	00052 Galactose metabolism [PATH:ko00052]	dgoK; 2-dehydro-3-deoxygalactonokinase [EC:2.7.1.58]	lightblue	notsig	0	0.05
K01854	1229.5580282282	1367.60085799424	-0.41951638851874	0.436011351261518	-0.153507409352476	0.563988648738482	09100 Metabolism	09101 Carbohydrate metabolism	00052 Galactose metabolism [PATH:ko00052]	glf; UDP-galactopyranose mutase [EC:5.4.99.9]	lightblue	notsig	0	0.05
K10984	654.040736604424	721.756079467378	-0.100090828905778	0.267502558256512	-0.142130858494175	0.732497441743488	09100 Metabolism	09101 Carbohydrate metabolism	00052 Galactose metabolism [PATH:ko00052]	agaB; galactosamine PTS system EIIB component [EC:2.7.1.-]	lightblue	notsig	0	0.05
K10986	2319.79467795378	2554.03921513553	-0.106078062255439	0.260129989100019	-0.138783556667077	0.739870010899981	09100 Metabolism	09101 Carbohydrate metabolism	00052 Galactose metabolism [PATH:ko00052]	agaD; galactosamine PTS system EIID component	lightblue	notsig	0	0.05
K06617	0.593175281532461	0.645244615218217	-0.0808245944931687	0.268825674019245	-0.121387716730807	0.731174325980755	09100 Metabolism	09101 Carbohydrate metabolism	00052 Galactose metabolism [PATH:ko00052]	E2.4.1.82; raffinose synthase [EC:2.4.1.82]	lightblue	notsig	0	0.05
K17716	45.941216485155	48.8817813269811	-0.0865169421443588	0.271896181804612	-0.089507801546698	0.728103818195388	09100 Metabolism	09101 Carbohydrate metabolism	00052 Galactose metabolism [PATH:ko00052]	capD; UDP-glucose 4-epimerase [EC:5.1.3.2]	lightblue	notsig	0	0.05
K21621	0.489726345686501	0.512092706075088	-0.0532430961362601	0.230330851352364	-0.0644291999556855	0.769669148647636	09100 Metabolism	09101 Carbohydrate metabolism	00052 Galactose metabolism [PATH:ko00052]	fk; tagatose kinase [EC:2.7.1.101]	lightblue	notsig	0	0.05
K00850	1600.62521321345	1662.54693493364	-0.195939301872618	0.172335380389947	-0.0547595295413649	0.827664619610053	09100 Metabolism	09101 Carbohydrate metabolism	00052 Galactose metabolism [PATH:ko00052]	pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]	lightblue	notsig	0	0.05
K01203	0.491819204797649	0.508548769429059	-0.0398961966610999	0.206778504266728	-0.0482580629449054	0.793221495733272	09100 Metabolism	09101 Carbohydrate metabolism	00052 Galactose metabolism [PATH:ko00052]	SI; sucrase-isomaltase [EC:3.2.1.48 3.2.1.10]	lightblue	notsig	0	0.05
K01193	551.628248353377	569.659976011421	-0.0750174963060855	0.263337141116992	-0.0464047090569339	0.736662858883008	09100 Metabolism	09101 Carbohydrate metabolism	00052 Galactose metabolism [PATH:ko00052]	INV, sacA; beta-fructofuranosidase [EC:3.2.1.26]	lightblue	notsig	0	0.05
K18127	0.500896940737284	0.512092706075088	-0.0265727440407379	0.186853221724556	-0.0318912101336694	0.813146778275444	09100 Metabolism	09101 Carbohydrate metabolism	00052 Galactose metabolism [PATH:ko00052]	kdgA; 2-dehydro-3-deoxy-D-gluconate aldolase [EC:4.1.2.51]	lightblue	notsig	0	0.05
K01229	0.502952321597201	0.513847108385896	-0.0246465017710065	0.184660351232581	-0.0309175161866936	0.815339648767419	09100 Metabolism	09101 Carbohydrate metabolism	00052 Galactose metabolism [PATH:ko00052]	LCT; lactase-phlorizin hydrolase [EC:3.2.1.108 3.2.1.62]	lightblue	notsig	0	0.05
K12047	0.503487727440707	0.512092706075088	-0.0203914252684629	0.180752827294864	-0.0244483975592387	0.819247172705136	09100 Metabolism	09101 Carbohydrate metabolism	00052 Galactose metabolism [PATH:ko00052]	MGAM; maltase-glucoamylase [EC:3.2.1.20 3.2.1.3]	lightblue	notsig	0	0.05
K12111	11.0812845873714	11.1885149932491	-0.00955963479381002	0.177203886324666	-0.0138934317587765	0.822796113675334	09100 Metabolism	09101 Carbohydrate metabolism	00052 Galactose metabolism [PATH:ko00052]	ebgA; evolved beta-galactosidase subunit alpha [EC:3.2.1.23]	lightblue	notsig	0	0.05
K05308	0.517279503707678	0.508548769429059	0.020077841758513	0.182738421508866	0.0245578943728826	0.817261578491134	09100 Metabolism	09101 Carbohydrate metabolism	00052 Galactose metabolism [PATH:ko00052]	gnaD; gluconate/galactonate dehydratase [EC:4.2.1.140]	pink	notsig	1	-0.05
K12316	0.510305801690066	0.500375268627645	0.0229850588165298	0.179188667157755	0.0283515587545247	0.820811332842245	09100 Metabolism	09101 Carbohydrate metabolism	00052 Galactose metabolism [PATH:ko00052]	GAA; lysosomal alpha-glucosidase [EC:3.2.1.20]	pink	notsig	1	-0.05
K07407	412.702261237526	403.389424307555	0.0543123382285619	0.0599092205620011	0.0329280818423109	0.940090779437999	09100 Metabolism	09101 Carbohydrate metabolism	00052 Galactose metabolism [PATH:ko00052]	E3.2.1.22B, galA, rafA; alpha-galactosidase [EC:3.2.1.22]	pink	notsig	1	-0.05
K12317	0.564230295148962	0.506877102518117	0.117293184663336	0.036268871572401	0.15464813683512	0.963731128427599	09100 Metabolism	09101 Carbohydrate metabolism	00052 Galactose metabolism [PATH:ko00052]	GANC; neutral alpha-glucosidase C [EC:3.2.1.20]	pink	notsig	1	-0.05
K01190	4241.34161381743	3788.51940943252	0.426867066827238	0.361111693694199	0.162886548611448	0.638888306305801	09100 Metabolism	09101 Carbohydrate metabolism	00052 Galactose metabolism [PATH:ko00052]	lacZ; beta-galactosidase [EC:3.2.1.23]	pink	notsig	1	-0.05
K12309	5.49032144531699	4.85659833154352	0.0719366579695457	0.00464333713108689	0.176944445915873	0.995356662868913	09100 Metabolism	09101 Carbohydrate metabolism	00052 Galactose metabolism [PATH:ko00052]	GLB1, ELNR1; beta-galactosidase [EC:3.2.1.23]	pink	notsig	1	-0.05
