id	Prefeed_HiCHO_mean	T1_LoCHO_PROT_mean	theta	prob	log2FC	P	level_1	level_2	level_3	ko_name	color	sig	label_hjust	label_nudge
K04072	983.845971295201	4391.292838793	-2.11437483351956	0.995333463914992	-2.15814137229901	0.00466653608500778	09100 Metabolism	09103 Lipid metabolism	00071 Fatty acid degradation [PATH:ko00071]	adhE; acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]	blue	sig	0	0.05
K22567	1.17389174263733	3.26402069804326	-0.611111583668987	0.62642220820662	-1.47535083792471	0.37357779179338	09100 Metabolism	09103 Lipid metabolism	00071 Fatty acid degradation [PATH:ko00071]	nroR; rubredoxin---NAD+ reductase [EC:1.18.1.1]	lightblue	notsig	0	0.05
K07508	3.651965741182	9.21510878489392	-0.413782030901176	0.434238438878541	-1.33532796548405	0.565761561121459	09100 Metabolism	09103 Lipid metabolism	00071 Fatty acid degradation [PATH:ko00071]	ACAA2; acetyl-CoA acyltransferase 2 [EC:2.3.1.16]	lightblue	notsig	0	0.05
K00121	17.0696677808539	41.5165870922687	-0.829922241548377	0.789210655377591	-1.2822528704251	0.210789344622409	09100 Metabolism	09103 Lipid metabolism	00071 Fatty acid degradation [PATH:ko00071]	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	lightblue	notsig	0	0.05
K00632	0.79368238712648	1.76424727785381	-0.520172152474126	0.52506353613435	-1.15241908836814	0.47493646386565	09100 Metabolism	09103 Lipid metabolism	00071 Fatty acid degradation [PATH:ko00071]	fadA, fadI; acetyl-CoA acyltransferase [EC:2.3.1.16]	lightblue	notsig	0	0.05
K07516	1.06443917747056	2.22922935208259	-0.516209583293686	0.520205471698109	-1.06645153859551	0.479794528301891	09100 Metabolism	09103 Lipid metabolism	00071 Fatty acid degradation [PATH:ko00071]	fadN; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]	lightblue	notsig	0	0.05
K13953	95.5303610412315	166.292109431429	-0.706775301034356	0.737122641902908	-0.799688492139344	0.262877358097092	09100 Metabolism	09103 Lipid metabolism	00071 Fatty acid degradation [PATH:ko00071]	adhP; alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]	lightblue	notsig	0	0.05
K15013	0.837488873364506	1.29027419738739	-0.347561048882917	0.37690058613882	-0.623535758246793	0.62309941386118	09100 Metabolism	09103 Lipid metabolism	00071 Fatty acid degradation [PATH:ko00071]	ACSBG; long-chain-fatty-acid--CoA ligase ACSBG [EC:6.2.1.3]	lightblue	notsig	0	0.05
K06445	0.575918710515253	0.779495996433986	-0.273078711993093	0.257690374738751	-0.436676419879631	0.742309625261249	09100 Metabolism	09103 Lipid metabolism	00071 Fatty acid degradation [PATH:ko00071]	fadE; acyl-CoA dehydrogenase [EC:1.3.99.-]	lightblue	notsig	0	0.05
K13954	89.5610096942514	98.2750248312804	-0.155403565495853	0.202855257345944	-0.133954030217943	0.797144742654056	09100 Metabolism	09103 Lipid metabolism	00071 Fatty acid degradation [PATH:ko00071]	yiaY; alcohol dehydrogenase [EC:1.1.1.1]	lightblue	notsig	0	0.05
K00529	0.491676349323819	0.537695032228601	-0.103722971192779	0.263372674703213	-0.129079182463323	0.736627325296787	09100 Metabolism	09103 Lipid metabolism	00071 Fatty acid degradation [PATH:ko00071]	hcaD; 3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component [EC:1.18.1.3]	lightblue	notsig	0	0.05
K01782	0.501106676181297	0.518648347135316	-0.0372973771636251	0.202414299508074	-0.0496389382362441	0.797585700491926	09100 Metabolism	09103 Lipid metabolism	00071 Fatty acid degradation [PATH:ko00071]	fadJ; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.1.1.35 4.2.1.17 5.1.2.3]	lightblue	notsig	0	0.05
K13239	0.514212160537188	0.530738703694354	-0.0359119393782698	0.200154261029572	-0.045638031280418	0.799845738970428	09100 Metabolism	09103 Lipid metabolism	00071 Fatty acid degradation [PATH:ko00071]	ECI2, PECI; Delta3-Delta2-enoyl-CoA isomerase [EC:5.3.3.8]	lightblue	notsig	0	0.05
K05939	0.577813835815164	0.596218122408598	-0.0279875655961518	0.188579995883858	-0.045235477773587	0.811420004116142	09100 Metabolism	09103 Lipid metabolism	00071 Fatty acid degradation [PATH:ko00071]	aas; acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase / long-chain-fatty-acid--[acyl-carrier-protein] ligase [EC:2.3.1.40 6.2.1.20]	lightblue	notsig	0	0.05
K09479	0.497158576197562	0.512092706075088	-0.0355894833865401	0.199638666216767	-0.0426989159450823	0.800361333783233	09100 Metabolism	09103 Lipid metabolism	00071 Fatty acid degradation [PATH:ko00071]	ACADVL; very long chain acyl-CoA dehydrogenase [EC:1.3.8.9]	lightblue	notsig	0	0.05
K07511	0.498138392857761	0.512092706075088	-0.0332451449792644	0.195962375244641	-0.03985840273697	0.804037624755359	09100 Metabolism	09103 Lipid metabolism	00071 Fatty acid degradation [PATH:ko00071]	ECHS1; enoyl-CoA hydratase [EC:4.2.1.17]	lightblue	notsig	0	0.05
K07509	0.498517764098008	0.512092706075088	-0.0322713434184054	0.194512960935234	-0.0387600961051902	0.805487039064766	09100 Metabolism	09103 Lipid metabolism	00071 Fatty acid degradation [PATH:ko00071]	HADHB; acetyl-CoA acyltransferase [EC:2.3.1.16]	lightblue	notsig	0	0.05
K10527	0.499101021352415	0.512092706075088	-0.0308459638600896	0.192452484045283	-0.037073154245951	0.807547515954717	09100 Metabolism	09103 Lipid metabolism	00071 Fatty acid degradation [PATH:ko00071]	MFP2; enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.35 1.1.1.211]	lightblue	notsig	0	0.05
