id	Prefeed_HiCHO_mean	T1_LoCHO_PROT_mean	theta	prob	log2FC	P	level_1	level_2	level_3	ko_name	color	sig	label_hjust	label_nudge
K00547	0.831640473808787	8.68391048240289	-1.27992388104972	0.939067117871276	-3.38431297680519	0.0609328821287237	09100 Metabolism	09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	mmuM, BHMT2; homocysteine S-methyltransferase [EC:2.1.1.10]	lightblue	notsig	0	0.05
K01739	1.95134040403559	13.879210140096	-1.30445704698115	0.941658215222689	-2.8303880893274	0.0583417847773114	09100 Metabolism	09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	metB; cystathionine gamma-synthase [EC:2.5.1.48]	lightblue	notsig	0	0.05
K24042	61.5213841460262	276.615183574812	-2.17828612256364	0.996759964159169	-2.16872048164577	0.0032400358408311	09100 Metabolism	09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	yitJ; methionine synthase / methylenetetrahydrofolate reductase (NADH) [EC:2.1.1.13 1.5.1.54]	blue	sig	0	0.05
K01738	359.733668509178	1368.85629659533	-2.65048415189759	1	-1.92796990261684	2.22044604925031e-16	09100 Metabolism	09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	cysK; cysteine synthase [EC:2.5.1.47]	blue	sig	0	0.05
K08969	6.18604742325976	19.5782040199765	-1.08240818331651	0.893607855937374	-1.66215862881592	0.106392144062626	09100 Metabolism	09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	mtnE, mtnV; L-glutamine---4-(methylsulfanyl)-2-oxobutanoate aminotransferase [EC:2.6.1.117]	lightblue	notsig	0	0.05
K01919	67.4683260993552	173.96303136048	-1.14542127989065	0.89676441238324	-1.36649847966381	0.10323558761676	09100 Metabolism	09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	gshA; glutamate--cysteine ligase [EC:6.3.2.2]	lightblue	notsig	0	0.05
K00133	394.248895505764	870.181279716494	-2.07947493914185	0.994494239724944	-1.14220926710229	0.00550576027505634	09100 Metabolism	09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	blue	sig	0	0.05
K18284	0.865655464069554	1.81442005425267	-0.614036970944077	0.628290098704311	-1.06764364791616	0.371709901295689	09100 Metabolism	09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K18284; adenosylhomocysteine/aminodeoxyfutalosine nucleosidase [EC:3.2.2.9 3.2.2.30]	lightblue	notsig	0	0.05
K07173	312.49159296335	587.41008589844	-1.66993154296672	0.970083682916599	-0.910550659990111	0.0299163170834007	09100 Metabolism	09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	luxS; S-ribosylhomocysteine lyase [EC:4.4.1.21]	blue	sig	0	0.05
K17462	7.15193666902752	12.4834357591333	-0.542871918428073	0.548971403784556	-0.803609188722696	0.451028596215444	09100 Metabolism	09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	yrrT; putative AdoMet-dependent methyltransferase [EC:2.1.1.-]	lightblue	notsig	0	0.05
K00003	76.0065158387137	132.322812739933	-1.02420839573299	0.870271295824618	-0.799866799391466	0.129728704175382	09100 Metabolism	09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	hom; homoserine dehydrogenase [EC:1.1.1.3]	lightblue	notsig	0	0.05
K08968	20.0512697833937	34.2376186297917	-0.625467831297033	0.638164670720638	-0.771888758848087	0.361835329279362	09100 Metabolism	09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	msrC; L-methionine (R)-S-oxide reductase [EC:1.8.4.14]	lightblue	notsig	0	0.05
K11358	144.957715553141	237.37892828035	-0.954588294900528	0.832587671510673	-0.711559750437957	0.167412328489327	09100 Metabolism	09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	yhdR; aspartate aminotransferase [EC:2.6.1.1]	lightblue	notsig	0	0.05
K00797	78.4590066532188	123.658533784144	-0.815273543643566	0.786825293002228	-0.6563508297179	0.213174706997772	09100 Metabolism	09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	speE, SRM, SPE3; spermidine synthase [EC:2.5.1.16]	lightblue	notsig	0	0.05
