id	Prefeed_HiCHO_mean	T1_LoCHO_PROT_mean	theta	prob	log2FC	P	level_1	level_2	level_3	ko_name	color	sig	label_hjust	label_nudge
K01479	3.8959436041662	7.60548102976865	-0.699682067975116	0.732527054864054	-0.965066704288298	0.267472945135946	09100 Metabolism	09105 Amino acid metabolism	00340 Histidine metabolism [PATH:ko00340]	hutG; formiminoglutamase [EC:3.5.3.8]	lightblue	notsig	0	0.05
K01089	77.3839600645594	127.588766535096	-0.877110850232781	0.804623040650646	-0.721394849014353	0.195376959349354	09100 Metabolism	09105 Amino acid metabolism	00340 Histidine metabolism [PATH:ko00340]	hisB; imidazoleglycerol-phosphate dehydratase / histidinol-phosphatase [EC:4.2.1.19 3.1.3.15]	lightblue	notsig	0	0.05
K04486	40.4251300712284	65.4329729109531	-0.71045327949064	0.738815942764642	-0.694765404542545	0.261184057235358	09100 Metabolism	09105 Amino acid metabolism	00340 Histidine metabolism [PATH:ko00340]	E3.1.3.15B; histidinol-phosphatase (PHP family) [EC:3.1.3.15]	lightblue	notsig	0	0.05
K00817	86.4983994937265	119.595057314998	-0.608934589631449	0.625153673654024	-0.46741242285542	0.374846326345976	09100 Metabolism	09105 Amino acid metabolism	00340 Histidine metabolism [PATH:ko00340]	hisC; histidinol-phosphate aminotransferase [EC:2.6.1.9]	lightblue	notsig	0	0.05
K08660	17.0136827785669	23.3236563196663	-0.370772520553693	0.400198222439839	-0.45509850923043	0.599801777560161	09100 Metabolism	09105 Amino acid metabolism	00340 Histidine metabolism [PATH:ko00340]	CNDP2; cytosolic nonspecific dipeptidase [EC:3.4.13.18]	lightblue	notsig	0	0.05
K00603	74.0829705939225	94.8200735328985	-0.374250986390176	0.403837494381181	-0.356050562638464	0.596162505618819	09100 Metabolism	09105 Amino acid metabolism	00340 Histidine metabolism [PATH:ko00340]	fctD; glutamate formiminotransferase / 5-formyltetrahydrofolate cyclo-ligase [EC:2.1.2.5 6.3.3.2]	lightblue	notsig	0	0.05
K00765	57.3912903579473	70.7030247244134	-0.298247531793424	0.307851940327089	-0.300940124223259	0.692148059672911	09100 Metabolism	09105 Amino acid metabolism	00340 Histidine metabolism [PATH:ko00340]	hisG; ATP phosphoribosyltransferase [EC:2.4.2.17]	lightblue	notsig	0	0.05
K01745	88.6650681962768	103.517904014066	-0.224219165571988	0.178559756238148	-0.223442575606553	0.821440243761852	09100 Metabolism	09105 Amino acid metabolism	00340 Histidine metabolism [PATH:ko00340]	hutH, HAL; histidine ammonia-lyase [EC:4.3.1.3]	lightblue	notsig	0	0.05
K05602	0.593015494530346	0.677166545476288	-0.130556602159701	0.220628381860016	-0.191440900001957	0.779371618139984	09100 Metabolism	09105 Amino acid metabolism	00340 Histidine metabolism [PATH:ko00340]	hisN; histidinol-phosphatase [EC:3.1.3.15]	lightblue	notsig	0	0.05
K00129	0.615043284970288	0.694638334977089	-0.109961599630393	0.254009985992202	-0.175574084133	0.745990014007798	09100 Metabolism	09105 Amino acid metabolism	00340 Histidine metabolism [PATH:ko00340]	ALDH3; aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]	lightblue	notsig	0	0.05
K01693	39.0945545249016	43.4981817936284	-0.131358984274268	0.219710360620106	-0.153987429419855	0.780289639379894	09100 Metabolism	09105 Amino acid metabolism	00340 Histidine metabolism [PATH:ko00340]	hisB; imidazoleglycerol-phosphate dehydratase [EC:4.2.1.19]	lightblue	notsig	0	0.05
K01523	5.29631734027543	5.79755593522735	-0.0812019888937327	0.269103264469028	-0.130455267242035	0.730896735530972	09100 Metabolism	09105 Amino acid metabolism	00340 Histidine metabolism [PATH:ko00340]	hisE; phosphoribosyl-ATP pyrophosphohydrolase [EC:3.6.1.31]	lightblue	notsig	0	0.05
K13990	3.23616481124583	3.48662039157848	-0.0694013887367368	0.256335765338056	-0.107544215012951	0.743664234661944	09100 Metabolism	09105 Amino acid metabolism	00340 Histidine metabolism [PATH:ko00340]	FTCD; glutamate formiminotransferase / formiminotetrahydrofolate cyclodeaminase [EC:2.1.2.5 4.3.1.4]	lightblue	notsig	0	0.05
K01468	72.6723318540331	77.8611900230567	-0.109960436556569	0.254011938409304	-0.0994981957115255	0.745988061590696	09100 Metabolism	09105 Amino acid metabolism	00340 Histidine metabolism [PATH:ko00340]	hutI, AMDHD1; imidazolonepropionase [EC:3.5.2.7]	lightblue	notsig	0	0.05
K05604	0.661693930910504	0.704736974606501	-0.0607211511911577	0.243118764060159	-0.0909208610968939	0.756881235939841	09100 Metabolism	09105 Amino acid metabolism	00340 Histidine metabolism [PATH:ko00340]	CNDP1; beta-Ala-His dipeptidase [EC:3.4.13.20]	lightblue	notsig	0	0.05
K00274	0.500176609913519	0.512092706075088	-0.0283042002014962	0.18897706085929	-0.0339674169936477	0.81102293914071	09100 Metabolism	09105 Amino acid metabolism	00340 Histidine metabolism [PATH:ko00340]	MAO, aofH; monoamine oxidase [EC:1.4.3.4]	lightblue	notsig	0	0.05
K11182	0.488108382839327	0.496860026327678	-0.0211101943553902	0.181329687180095	-0.0256379490308473	0.818670312819905	09100 Metabolism	09105 Amino acid metabolism	00340 Histidine metabolism [PATH:ko00340]	AOC1, ABP1; diamine oxidase [EC:1.4.3.22]	lightblue	notsig	0	0.05
