id	Prefeed_HiCHO_mean	T1_LoCHO_PROT_mean	theta	prob	log2FC	P	level_1	level_2	level_3	ko_name	color	sig	label_hjust	label_nudge
K01696	212.832615019305	1082.25701570945	-2.53901967566844	0.999999999999999	-2.34625199761717	6.66133814775094e-16	09100 Metabolism	09105 Amino acid metabolism	00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]	trpB; tryptophan synthase beta chain [EC:4.2.1.20]	blue	sig	0	0.05
K00891	38.6614883462468	79.871359065115	-1.02280782967548	0.869216715983875	-1.04678108446347	0.130783284016125	09100 Metabolism	09105 Amino acid metabolism	00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]	aroK, aroL; shikimate kinase [EC:2.7.1.71]	lightblue	notsig	0	0.05
K13497	0.807733814703404	1.57169141878096	-0.411107673414249	0.433321046410191	-0.960366148644613	0.566678953589809	09100 Metabolism	09105 Amino acid metabolism	00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]	trpGD; anthranilate synthase/phosphoribosyltransferase [EC:4.1.3.27 2.4.2.18]	lightblue	notsig	0	0.05
K00014	11.7162000088781	19.9342762992758	-0.596296524615695	0.617695493075836	-0.766746503208524	0.382304506924164	09100 Metabolism	09105 Amino acid metabolism	00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]	aroE; shikimate dehydrogenase [EC:1.1.1.25]	lightblue	notsig	0	0.05
K11358	144.957715553141	237.37892828035	-0.954588294900528	0.832587671510673	-0.711559750437957	0.167412328489327	09100 Metabolism	09105 Amino acid metabolism	00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]	yhdR; aspartate aminotransferase [EC:2.6.1.1]	lightblue	notsig	0	0.05
K16305	6.73805799225546	9.32276389437824	-0.316074877194724	0.338763433904264	-0.468424884840111	0.661236566095736	09100 Metabolism	09105 Amino acid metabolism	00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]	K16305; fructose-bisphosphate aldolase / 6-deoxy-5-ketofructose 1-phosphate synthase [EC:4.1.2.13 2.2.1.11]	lightblue	notsig	0	0.05
K00817	86.4983994937265	119.595057314998	-0.608934589631449	0.625153673654024	-0.46741242285542	0.374846326345976	09100 Metabolism	09105 Amino acid metabolism	00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]	hisC; histidinol-phosphate aminotransferase [EC:2.6.1.9]	lightblue	notsig	0	0.05
K01735	670.624342798435	895.208628448913	-0.864478582066435	0.79581917684796	-0.416719089715273	0.20418082315204	09100 Metabolism	09105 Amino acid metabolism	00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]	aroB; 3-dehydroquinate synthase [EC:4.2.3.4]	lightblue	notsig	0	0.05
K13853	3.97746034797525	5.24225414817677	-0.28492453797877	0.281502073496921	-0.398339750095403	0.718497926503079	09100 Metabolism	09105 Amino acid metabolism	00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]	aroG, aroA; 3-deoxy-7-phosphoheptulonate synthase / chorismate mutase [EC:2.5.1.54 5.4.99.5]	lightblue	notsig	0	0.05
K01695	16.2524885146176	21.029787659348	-0.302800824409558	0.316409075743372	-0.371773648430599	0.683590924256628	09100 Metabolism	09105 Amino acid metabolism	00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]	trpA; tryptophan synthase alpha chain [EC:4.2.1.20]	lightblue	notsig	0	0.05
