id	Prefeed_HiCHO_mean	T1_LoCHO_PROT_mean	theta	prob	log2FC	P	level_1	level_2	level_3	ko_name	color	sig	label_hjust	label_nudge
K00845	1.14246078821736	2.22513712079693	-0.588552780727318	0.610753977137798	-0.961749593128465	0.389246022862202	09100 Metabolism	09110 Biosynthesis of other secondary metabolites	00521 Streptomycin biosynthesis [PATH:ko00521]	glk; glucokinase [EC:2.7.1.2]	lightblue	notsig	0	0.05
K00067	174.684154667783	264.347081350872	-1.03068885809063	0.874837000282245	-0.597684648517751	0.125162999717755	09100 Metabolism	09110 Biosynthesis of other secondary metabolites	00521 Streptomycin biosynthesis [PATH:ko00521]	rfbD, rmlD; dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]	lightblue	notsig	0	0.05
K01710	1021.51759990959	1380.36355036067	-0.942268754052345	0.82632160970208	-0.434334223098848	0.17367839029792	09100 Metabolism	09110 Biosynthesis of other secondary metabolites	00521 Streptomycin biosynthesis [PATH:ko00521]	rfbB, rmlB, rffG; dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]	lightblue	notsig	0	0.05
K01092	32.6629634594978	38.9906504384626	-0.225076673421963	0.179101644677571	-0.255472531544474	0.820898355322429	09100 Metabolism	09110 Biosynthesis of other secondary metabolites	00521 Streptomycin biosynthesis [PATH:ko00521]	E3.1.3.25, IMPA, suhB; myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]	lightblue	notsig	0	0.05
K00973	1977.72015701691	1834.49192717721	0.308158522093939	0.199726290671022	0.108457746503595	0.800273709328978	09100 Metabolism	09110 Biosynthesis of other secondary metabolites	00521 Streptomycin biosynthesis [PATH:ko00521]	rfbA, rmlA, rffH; glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]	pink	notsig	1	-0.05
K00010	61.0022057442446	43.6777358163392	0.421205233401106	0.351371957170441	0.481963338009674	0.648628042829559	09100 Metabolism	09110 Biosynthesis of other secondary metabolites	00521 Streptomycin biosynthesis [PATH:ko00521]	iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	pink	notsig	1	-0.05
K01858	849.720319681441	603.292006475808	1.16585227914589	0.898659711441396	0.494131598000416	0.101340288558604	09100 Metabolism	09110 Biosynthesis of other secondary metabolites	00521 Streptomycin biosynthesis [PATH:ko00521]	INO1, ISYNA1; myo-inositol-1-phosphate synthase [EC:5.5.1.4]	pink	notsig	1	-0.05
K01835	1901.94495922025	1343.4369495246	1.6937534484662	0.98754810004129	0.50154688228935	0.0124518999587104	09100 Metabolism	09110 Biosynthesis of other secondary metabolites	00521 Streptomycin biosynthesis [PATH:ko00521]	pgm; phosphoglucomutase [EC:5.4.2.2]	red	sig	1	-0.05
K01790	433.972484253288	290.311170227879	1.36537767852772	0.936772749536606	0.580003489179995	0.0632272504633939	09100 Metabolism	09110 Biosynthesis of other secondary metabolites	00521 Streptomycin biosynthesis [PATH:ko00521]	rfbC, rmlC; dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]	pink	notsig	1	-0.05
K25026	705.738399120773	447.512451567051	1.40830985200281	0.951758774057184	0.657205684528478	0.0482412259428158	09100 Metabolism	09110 Biosynthesis of other secondary metabolites	00521 Streptomycin biosynthesis [PATH:ko00521]	glk; glucokinase [EC:2.7.1.2]	red	sig	1	-0.05
K15778	325.145813563807	189.420687705543	0.91499075744363	0.838032033362265	0.779492944080211	0.161967966637735	09100 Metabolism	09110 Biosynthesis of other secondary metabolites	00521 Streptomycin biosynthesis [PATH:ko00521]	pmm-pgm; phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2]	pink	notsig	1	-0.05
K23144	152.787811573336	56.0036163320393	1.55657180755616	0.970805645465773	1.44793756434515	0.0291943545342271	09100 Metabolism	09110 Biosynthesis of other secondary metabolites	00521 Streptomycin biosynthesis [PATH:ko00521]	K23144; UDP-N-acetylglucosamine diphosphorylase / glucose-1-phosphate thymidylyltransferase / UDP-N-acetylgalactosamine diphosphorylase / glucosamine-1-phosphate N-acetyltransferase / galactosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.7.7.24 2.7.7.83 2.3.1.157 2.3.1.276]	red	sig	1	-0.05
K00844	60.9005997134425	5.10249021907519	2.16263938139683	0.997983253975754	3.57718301813538	0.00201674602424606	09100 Metabolism	09110 Biosynthesis of other secondary metabolites	00521 Streptomycin biosynthesis [PATH:ko00521]	HK; hexokinase [EC:2.7.1.1]	red	sig	1	-0.05
