id	Prefeed_HiCHO_mean	T1_LoCHO_PROT_mean	theta	prob	log2FC	P	level_1	level_2	level_3	ko_name	color	sig	label_hjust	label_nudge
K19180	26.4265691857073	49.5795488132274	-0.685286814564183	0.716922835864629	-0.907756002510426	0.283077164135371	09100 Metabolism	09107 Glycan biosynthesis and metabolism	00541 O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]	tll; dTDP-6-deoxy-L-talose 4-dehydrogenase (NAD+) [EC:1.1.1.339]	lightblue	notsig	0	0.05
K13015	3.42191633749068	5.90932451363277	-0.47767046977795	0.466965831587031	-0.788188739661889	0.533034168412969	09100 Metabolism	09107 Glycan biosynthesis and metabolism	00541 O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]	wbpA; UDP-N-acetyl-D-glucosamine dehydrogenase [EC:1.1.1.136]	lightblue	notsig	0	0.05
K13019	2.3254798540338	3.56496943156212	-0.360578097752593	0.389820437491699	-0.616361264445559	0.610179562508301	09100 Metabolism	09107 Glycan biosynthesis and metabolism	00541 O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]	wbpI, wlbD; UDP-GlcNAc3NAcA epimerase [EC:5.1.3.23]	lightblue	notsig	0	0.05
K00067	174.684154667783	264.347081350872	-1.03068885809063	0.874837000282245	-0.597684648517751	0.125162999717755	09100 Metabolism	09107 Glycan biosynthesis and metabolism	00541 O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]	rfbD, rmlD; dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]	lightblue	notsig	0	0.05
K22925	0.884250753402055	1.2781397020853	-0.291599545931963	0.294847701769548	-0.531518084820566	0.705152298230452	09100 Metabolism	09107 Glycan biosynthesis and metabolism	00541 O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]	tviC, vipB; UDP-N-acetylglucosaminuronic acid 4-epimerase [EC:5.1.3.-]	lightblue	notsig	0	0.05
K01710	1021.51759990959	1380.36355036067	-0.942268754052345	0.82632160970208	-0.434334223098848	0.17367839029792	09100 Metabolism	09107 Glycan biosynthesis and metabolism	00541 O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]	rfbB, rmlB, rffG; dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]	lightblue	notsig	0	0.05
K15895	0.474058513780255	0.624344664842421	-0.277414229323747	0.266427211607394	-0.397277533889967	0.733572788392606	09100 Metabolism	09107 Glycan biosynthesis and metabolism	00541 O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]	pseC; UDP-4-amino-4,6-dideoxy-L-N-acetyl-beta-L-altrosamine transaminase [EC:2.6.1.92]	lightblue	notsig	0	0.05
K13017	2.96190967545776	3.87779124517969	-0.214590516235293	0.173987451798826	-0.388707494533139	0.826012548201174	09100 Metabolism	09107 Glycan biosynthesis and metabolism	00541 O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]	wbpE, wlbC; UDP-2-acetamido-2-deoxy-ribo-hexuluronate aminotransferase [EC:2.6.1.98]	lightblue	notsig	0	0.05
K04042	595.24048656782	770.856319129046	-0.624659221557411	0.637332912332217	-0.372989321665919	0.362667087667783	09100 Metabolism	09107 Glycan biosynthesis and metabolism	00541 O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]	glmU; bifunctional UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157]	lightblue	notsig	0	0.05
K19632	0.580978782458867	0.744155425262582	-0.197752750433263	0.171950618894475	-0.35711849907108	0.828049381105525	09100 Metabolism	09107 Glycan biosynthesis and metabolism	00541 O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]	rfbJ; CDP-abequose synthase [EC:1.1.1.341]	lightblue	notsig	0	0.05
K00978	43.5977641240056	54.4823140841017	-0.321170221473861	0.346177197914631	-0.321533832287705	0.653822802085369	09100 Metabolism	09107 Glycan biosynthesis and metabolism	00541 O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]	rfbF; glucose-1-phosphate cytidylyltransferase [EC:2.7.7.33]	lightblue	notsig	0	0.05
K13016	1.08126821641445	1.31761138221734	-0.102382782882139	0.265038346374419	-0.285200484563439	0.734961653625581	09100 Metabolism	09107 Glycan biosynthesis and metabolism	00541 O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]	wbpB; UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase [EC:1.1.1.335]	lightblue	notsig	0	0.05
K08679	2.59541898473293	3.09095438399504	-0.120927820678635	0.234751548555778	-0.252084908083488	0.765248451444222	09100 Metabolism	09107 Glycan biosynthesis and metabolism	00541 O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]	GAE, cap1J; UDP-glucuronate 4-epimerase [EC:5.1.3.6]	lightblue	notsig	0	0.05
K19068	30.8373521608078	36.6718194738704	-0.22051954747507	0.176513186766813	-0.249992953169168	0.823486813233187	09100 Metabolism	09107 Glycan biosynthesis and metabolism	00541 O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]	wbjC; UDP-2-acetamido-2,6-beta-L-arabino-hexul-4-ose reductase [EC:1.1.1.367]	lightblue	notsig	0	0.05
