id	Prefeed_HiCHO_mean	T1_LoCHO_PROT_mean	theta	prob	log2FC	P	level_1	level_2	level_3	ko_name	color	sig	label_hjust	label_nudge
K00655	28.2186214602911	254.202892172309	-2.7559954725434	1	-3.17126102853294	2.22044604925031e-16	09100 Metabolism	09103 Lipid metabolism	00561 Glycerolipid metabolism [PATH:ko00561]	plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]	blue	sig	0	0.05
K19005	146.694076507407	1143.55990332128	-3.14719699462557	1	-2.96264941929036	0	09100 Metabolism	09103 Lipid metabolism	00561 Glycerolipid metabolism [PATH:ko00561]	ltaS; lipoteichoic acid synthase [EC:2.7.8.20]	blue	sig	0	0.05
K03621	325.275009820402	731.381259317179	-1.42889474277299	0.954545080981314	-1.16896367251129	0.0454549190186858	09100 Metabolism	09103 Lipid metabolism	00561 Glycerolipid metabolism [PATH:ko00561]	plsX; phosphate acyltransferase [EC:2.3.1.274]	blue	sig	0	0.05
K13509	5.18897430812862	8.38847932922887	-0.521007485129929	0.526051360854982	-0.692959908604806	0.473948639145018	09100 Metabolism	09103 Lipid metabolism	00561 Glycerolipid metabolism [PATH:ko00561]	AGPAT1_2; lysophosphatidate acyltransferase [EC:2.3.1.51]	lightblue	notsig	0	0.05
K00002	4.14219540951527	6.06030064905119	-0.354826330035599	0.384129004388505	-0.548993752181693	0.615870995611495	09100 Metabolism	09103 Lipid metabolism	00561 Glycerolipid metabolism [PATH:ko00561]	AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	lightblue	notsig	0	0.05
K01054	57.9367391611266	81.3070092653005	-0.571084420322685	0.586706062844341	-0.488901240587546	0.413293937155659	09100 Metabolism	09103 Lipid metabolism	00561 Glycerolipid metabolism [PATH:ko00561]	MGLL; acylglycerol lipase [EC:3.1.1.23]	lightblue	notsig	0	0.05
K06119	3.19123409379675	4.42469738259463	-0.278370623004557	0.26834826273543	-0.471464346864242	0.73165173726457	09100 Metabolism	09103 Lipid metabolism	00561 Glycerolipid metabolism [PATH:ko00561]	SQD2; sulfoquinovosyltransferase [EC:2.4.1.-]	lightblue	notsig	0	0.05
K19002	40.964081986362	56.6843343853827	-0.380238945453203	0.410124687409701	-0.468590594512725	0.589875312590299	09100 Metabolism	09103 Lipid metabolism	00561 Glycerolipid metabolism [PATH:ko00561]	mgs, bgsB; 1,2-diacylglycerol 3-alpha-glucosyltransferase [EC:2.4.1.337]	lightblue	notsig	0	0.05
K07029	56.9887982607245	78.4189114329539	-0.493594991120483	0.488503684157385	-0.460523244843045	0.511496315842615	09100 Metabolism	09103 Lipid metabolism	00561 Glycerolipid metabolism [PATH:ko00561]	dagK; diacylglycerol kinase (ATP) [EC:2.7.1.107]	lightblue	notsig	0	0.05
K24189	0.495482622000814	0.680634804235205	-0.25061053682485	0.211862293368014	-0.458046466507192	0.788137706631986	09100 Metabolism	09103 Lipid metabolism	00561 Glycerolipid metabolism [PATH:ko00561]	GPP; (DL)-glycerol-3-phosphatase [EC:3.1.3.21]	lightblue	notsig	0	0.05
