id	Prefeed_HiCHO_mean	T1_LoCHO_PROT_mean	theta	prob	log2FC	P	level_1	level_2	level_3	ko_name	color	sig	label_hjust	label_nudge
K22233	0.55344099633591	0.917740354106713	-0.439568249451729	0.443089566556237	-0.729656529937185	0.556910433443763	09100 Metabolism	09101 Carbohydrate metabolism	00562 Inositol phosphate metabolism [PATH:ko00562]	iolO; 5-keto-L-gluconate epimerase [EC:5.1.-.-]	lightblue	notsig	0	0.05
K06606	0.612693977853161	1.00364767977199	-0.387858716000584	0.417833338471967	-0.712014338555536	0.582166661528033	09100 Metabolism	09101 Carbohydrate metabolism	00562 Inositol phosphate metabolism [PATH:ko00562]	iolI; 2-keto-myo-inositol isomerase [EC:5.3.99.11]	lightblue	notsig	0	0.05
K23992	0.50539507280776	0.690668167870005	-0.307752719960409	0.32524895864772	-0.450581133722924	0.67475104135228	09100 Metabolism	09101 Carbohydrate metabolism	00562 Inositol phosphate metabolism [PATH:ko00562]	K23992; 1L-myo-inositol 1-phosphate cytidylyltransferase / CDP-L-myo-inositol myo-inositolphosphotransferase [EC:2.7.7.74 2.7.8.34]	lightblue	notsig	0	0.05
K01092	32.6629634594978	38.9906504384626	-0.225076673421963	0.179101644677571	-0.255472531544474	0.820898355322429	09100 Metabolism	09101 Carbohydrate metabolism	00562 Inositol phosphate metabolism [PATH:ko00562]	E3.1.3.25, IMPA, suhB; myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]	lightblue	notsig	0	0.05
K22231	0.517457664498835	0.590293614794543	-0.143175805370068	0.209941428764419	-0.189991902063808	0.790058571235581	09100 Metabolism	09101 Carbohydrate metabolism	00562 Inositol phosphate metabolism [PATH:ko00562]	iolM; scyllo-inosose 3-dehydrogenase [EC:1.1.1.-]	lightblue	notsig	0	0.05
K27681	3.38151044323367	3.79832053727295	-0.09989101413348	0.267693940671191	-0.167693849229043	0.732306059328809	09100 Metabolism	09101 Carbohydrate metabolism	00562 Inositol phosphate metabolism [PATH:ko00562]	pgsA; phosphatidylinositol phosphate synthase [EC:2.7.8.-]	lightblue	notsig	0	0.05
K00140	0.566254666996694	0.633502660066472	-0.104818757440185	0.261910485948798	-0.161899641518608	0.738089514051202	09100 Metabolism	09101 Carbohydrate metabolism	00562 Inositol phosphate metabolism [PATH:ko00562]	mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]	lightblue	notsig	0	0.05
K00921	0.510473391972868	0.528741582766994	-0.0408896344582141	0.208483322475834	-0.050727027909045	0.791516677524166	09100 Metabolism	09101 Carbohydrate metabolism	00562 Inositol phosphate metabolism [PATH:ko00562]	PIKFYVE, FAB1; 1-phosphatidylinositol-3-phosphate 5-kinase [EC:2.7.1.150]	lightblue	notsig	0	0.05
K10047	0.502952321597201	0.517246564144986	-0.0337554954369265	0.196754137601439	-0.0404305136301703	0.803245862398561	09100 Metabolism	09101 Carbohydrate metabolism	00562 Inositol phosphate metabolism [PATH:ko00562]	VTC4; inositol-phosphate phosphatase / L-galactose 1-phosphate phosphatase [EC:3.1.3.25 3.1.3.93]	lightblue	notsig	0	0.05
K16044	0.500268416796659	0.512092706075088	-0.0279463854138805	0.188529643545443	-0.0337026361573961	0.811470356454557	09100 Metabolism	09101 Carbohydrate metabolism	00562 Inositol phosphate metabolism [PATH:ko00562]	iolW; scyllo-inositol 2-dehydrogenase (NADP+) [EC:1.1.1.371]	lightblue	notsig	0	0.05
