id	Prefeed_HiCHO_mean	T1_LoCHO_PROT_mean	theta	prob	log2FC	P	level_1	level_2	level_3	ko_name	color	sig	label_hjust	label_nudge
K00655	28.2186214602911	254.202892172309	-2.7559954725434	1	-3.17126102853294	2.22044604925031e-16	09100 Metabolism	09103 Lipid metabolism	00564 Glycerophospholipid metabolism [PATH:ko00564]	plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]	blue	sig	0	0.05
K18694	0.607445710841749	2.08132194516072	-0.767981502033484	0.766937735431396	-1.77667276094229	0.233062264568604	09100 Metabolism	09103 Lipid metabolism	00564 Glycerophospholipid metabolism [PATH:ko00564]	PGC1; phosphatidylglycerol phospholipase C [EC:3.1.4.-]	lightblue	notsig	0	0.05
K03735	91.4715613482728	218.002059890324	-1.51597575411475	0.945941338420987	-1.25294658494657	0.0540586615790132	09100 Metabolism	09103 Lipid metabolism	00564 Glycerophospholipid metabolism [PATH:ko00564]	eutB; ethanolamine ammonia-lyase large subunit [EC:4.3.1.7]	lightblue	notsig	0	0.05
K17103	13.3079050897795	25.8909949370456	-0.696776224042792	0.730064788812474	-0.960166923811125	0.269935211187526	09100 Metabolism	09103 Lipid metabolism	00564 Glycerophospholipid metabolism [PATH:ko00564]	CHO1, pssA; CDP-diacylglycerol---serine O-phosphatidyltransferase [EC:2.7.8.8]	lightblue	notsig	0	0.05
K01095	1.19375632974328	2.08893039524177	-0.437719728984276	0.442384498232825	-0.807256038625616	0.557615501767175	09100 Metabolism	09103 Lipid metabolism	00564 Glycerophospholipid metabolism [PATH:ko00564]	pgpA; phosphatidylglycerophosphatase A [EC:3.1.3.27]	lightblue	notsig	0	0.05
K01049	0.50276352114431	0.826228466530724	-0.444310064803543	0.444856852956214	-0.716660790680584	0.555143147043786	09100 Metabolism	09103 Lipid metabolism	00564 Glycerophospholipid metabolism [PATH:ko00564]	ACHE; acetylcholinesterase [EC:3.1.1.7]	lightblue	notsig	0	0.05
K13509	5.18897430812862	8.38847932922887	-0.521007485129929	0.526051360854982	-0.692959908604806	0.473948639145018	09100 Metabolism	09103 Lipid metabolism	00564 Glycerophospholipid metabolism [PATH:ko00564]	AGPAT1_2; lysophosphatidate acyltransferase [EC:2.3.1.51]	lightblue	notsig	0	0.05
K00096	6.9336201190783	10.7041824796071	-0.444160269166423	0.444802352240891	-0.626493914572825	0.555197647759109	09100 Metabolism	09103 Lipid metabolism	00564 Glycerophospholipid metabolism [PATH:ko00564]	araM, egsA; glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]	lightblue	notsig	0	0.05
K06132	0.599648584122464	0.898709024718716	-0.325483958569424	0.351980825046931	-0.583736812945926	0.648019174953069	09100 Metabolism	09103 Lipid metabolism	00564 Glycerophospholipid metabolism [PATH:ko00564]	clsC; cardiolipin synthase C [EC:2.7.8.-]	lightblue	notsig	0	0.05
K08744	0.623408096281598	0.918977067850371	-0.302599745822828	0.316039500182748	-0.55985196940582	0.683960499817252	09100 Metabolism	09103 Lipid metabolism	00564 Glycerophospholipid metabolism [PATH:ko00564]	CRLS; cardiolipin synthase (CMP-forming) [EC:2.7.8.41]	lightblue	notsig	0	0.05
K07029	56.9887982607245	78.4189114329539	-0.493594991120483	0.488503684157385	-0.460523244843045	0.511496315842615	09100 Metabolism	09103 Lipid metabolism	00564 Glycerophospholipid metabolism [PATH:ko00564]	dagK; diacylglycerol kinase (ATP) [EC:2.7.1.107]	lightblue	notsig	0	0.05
K19665	3.90095903179254	5.35307512672696	-0.244757187725032	0.201297988357914	-0.456539052892877	0.798702011642086	09100 Metabolism	09103 Lipid metabolism	00564 Glycerophospholipid metabolism [PATH:ko00564]	pssA; archaetidylserine synthase [EC:2.7.8.38]	lightblue	notsig	0	0.05
K00998	3.00300395498139	4.08192338337564	-0.207937086503346	0.172152062783496	-0.442842728681908	0.827847937216504	09100 Metabolism	09103 Lipid metabolism	00564 Glycerophospholipid metabolism [PATH:ko00564]	pssA; CDP-diacylglycerol---serine O-phosphatidyltransferase [EC:2.7.8.8]	lightblue	notsig	0	0.05
K18697	0.712783257598842	0.841350326931914	-0.141054012281145	0.211263389244273	-0.239243194215894	0.788736610755727	09100 Metabolism	09103 Lipid metabolism	00564 Glycerophospholipid metabolism [PATH:ko00564]	pgpC; phosphatidylglycerophosphatase C [EC:3.1.3.27]	lightblue	notsig	0	0.05
