id	Prefeed_HiCHO_mean	T1_LoCHO_PROT_mean	theta	prob	log2FC	P	level_1	level_2	level_3	ko_name	color	sig	label_hjust	label_nudge
K26210	2.44298409060797	253.745755351662	-3.52551779542363	1	-6.69859541052804	0	09100 Metabolism	09101 Carbohydrate metabolism	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	E3.1.3.109; ribulose-1,5-bisphosphate 5-phosphatase [EC:3.1.3.109]	blue	sig	0	0.05
K01455	0.621627243594404	2.03432228527795	-0.857679517459609	0.792660711619337	-1.71042661651683	0.207339288380663	09100 Metabolism	09101 Carbohydrate metabolism	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	E3.5.1.49; formamidase [EC:3.5.1.49]	lightblue	notsig	0	0.05
K01638	4.70862184763784	13.5498326061915	-0.51196465220455	0.514642219169469	-1.52489826006003	0.485357780830531	09100 Metabolism	09101 Carbohydrate metabolism	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	aceB, glcB; malate synthase [EC:2.3.3.9]	lightblue	notsig	0	0.05
K22982	22.7796397373963	48.9369682316288	-0.828981619284609	0.789129227117368	-1.10317979475669	0.210870772882632	09100 Metabolism	09101 Carbohydrate metabolism	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	K22982; hydroxypyruvate reductase [EC:1.1.1.81]	lightblue	notsig	0	0.05
K00282	11.2063033815762	23.0337681992379	-0.735096002789467	0.743473156286084	-1.03943999206996	0.256526843713916	09100 Metabolism	09101 Carbohydrate metabolism	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	gcvPA; glycine cleavage system P protein (glycine dehydrogenase) subunit 1 [EC:1.4.4.2]	lightblue	notsig	0	0.05
K26209	0.5885433373871	1.12196044907689	-0.597819295880861	0.618766685781506	-0.930801262372798	0.381233314218494	09100 Metabolism	09101 Carbohydrate metabolism	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	K26209; glycolaldehyde reductase [EC:1.1.1.-]	lightblue	notsig	0	0.05
K11517	10.2530757465587	19.4415799839465	-0.56572439485102	0.578531049945305	-0.923088710684211	0.421468950054695	09100 Metabolism	09101 Carbohydrate metabolism	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	HAO; (S)-2-hydroxy-acid oxidase [EC:1.1.3.15]	lightblue	notsig	0	0.05
K01647	150.251038439585	245.287143818587	-1.1221023090438	0.896735690656501	-0.707096658256293	0.103264309343499	09100 Metabolism	09101 Carbohydrate metabolism	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	CS, gltA; citrate synthase [EC:2.3.3.1]	lightblue	notsig	0	0.05
K01915	1006.92317452383	1634.04944619895	-1.37197866095611	0.951371368207311	-0.698498026105426	0.0486286317926894	09100 Metabolism	09101 Carbohydrate metabolism	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	glnA, GLUL; glutamine synthetase [EC:6.3.1.2]	blue	sig	0	0.05
K01433	0.92455740225721	1.46259353632196	-0.360764593972823	0.390006375700238	-0.661694092434578	0.609993624299762	09100 Metabolism	09101 Carbohydrate metabolism	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	purU; formyltetrahydrofolate deformylase [EC:3.5.1.10]	lightblue	notsig	0	0.05
K01636	0.700421924829558	1.07141490215547	-0.321044070981572	0.346000262275191	-0.613221118257838	0.653999737724809	09100 Metabolism	09101 Carbohydrate metabolism	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	K01636; ribulose 1-phosphate aldolase [EC:4.1.2.-]	lightblue	notsig	0	0.05
K00104	22.8207619995809	34.5835603672514	-0.483160605603688	0.473946619907118	-0.599739436726595	0.526053380092882	09100 Metabolism	09101 Carbohydrate metabolism	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	glcD; glycolate dehydrogenase FAD-linked subunit [EC:1.1.99.14]	lightblue	notsig	0	0.05
K01846	1.15558098554798	1.74752669903348	-0.305225146014857	0.320816607558629	-0.596696127074613	0.679183392441371	09100 Metabolism	09101 Carbohydrate metabolism	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	glmS, mutS, mamA; methylaspartate mutase sigma subunit [EC:5.4.99.1]	lightblue	notsig	0	0.05
K18123	0.499616648340245	0.735353589964533	-0.354711054635747	0.384015631154048	-0.557616575699742	0.615984368845952	09100 Metabolism	09101 Carbohydrate metabolism	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	HOGA1; 4-hydroxy-2-oxoglutarate aldolase [EC:4.1.3.16]	lightblue	notsig	0	0.05
