id	Prefeed_HiCHO_mean	T1_LoCHO_PROT_mean	theta	prob	log2FC	P	level_1	level_2	level_3	ko_name	color	sig	label_hjust	label_nudge
K02160	4.04740907018293	19.7491457751706	-1.24700979021882	0.927158298581304	-2.28671967849353	0.0728417014186962	09100 Metabolism	09101 Carbohydrate metabolism	00640 Propanoate metabolism [PATH:ko00640]	accB, bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein	lightblue	notsig	0	0.05
K13923	13.6531999709036	42.8723370465431	-1.12391639553756	0.896994955511283	-1.65080794048947	0.103005044488717	09100 Metabolism	09101 Carbohydrate metabolism	00640 Propanoate metabolism [PATH:ko00640]	pduL; phosphate propanoyltransferase [EC:2.3.1.222]	lightblue	notsig	0	0.05
K01963	16.8848828784278	50.5026494122365	-1.02905326644236	0.873735244674366	-1.5806269027054	0.126264755325634	09100 Metabolism	09101 Carbohydrate metabolism	00640 Propanoate metabolism [PATH:ko00640]	accD; acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15]	lightblue	notsig	0	0.05
K13921	4.14397405616313	11.6116724177419	-0.886674211805656	0.811937193417577	-1.4864889011112	0.188062806582423	09100 Metabolism	09101 Carbohydrate metabolism	00640 Propanoate metabolism [PATH:ko00640]	pduQ; 1-propanol dehydrogenase	lightblue	notsig	0	0.05
K01659	17.095714145662	42.8768905080928	-1.04207163563989	0.881616999292779	-1.32656559306288	0.118383000707221	09100 Metabolism	09101 Carbohydrate metabolism	00640 Propanoate metabolism [PATH:ko00640]	prpC; 2-methylcitrate synthase [EC:2.3.3.5]	lightblue	notsig	0	0.05
K18471	19.0729441798025	41.4649634288678	-0.865524213089194	0.796421240703423	-1.1203652586022	0.203578759296577	09100 Metabolism	09101 Carbohydrate metabolism	00640 Propanoate metabolism [PATH:ko00640]	ydjG; methylglyoxal reductase [EC:1.1.1.-]	lightblue	notsig	0	0.05
K01734	69.7165454457896	144.380661395604	-1.26279912921179	0.933825827242987	-1.05030452925588	0.0661741727570129	09100 Metabolism	09101 Carbohydrate metabolism	00640 Propanoate metabolism [PATH:ko00640]	mgsA; methylglyoxal synthase [EC:4.2.3.3]	lightblue	notsig	0	0.05
K00656	2011.50310512662	4145.81996547069	-2.09684986580137	0.995014185346273	-1.04338350294444	0.00498581465372683	09100 Metabolism	09101 Carbohydrate metabolism	00640 Propanoate metabolism [PATH:ko00640]	E2.3.1.54, pflD; formate C-acetyltransferase [EC:2.3.1.54]	blue	sig	0	0.05
K13922	161.530772195825	325.089789665231	-1.69888605264928	0.977041712303795	-1.00902921523259	0.0229582876962049	09100 Metabolism	09101 Carbohydrate metabolism	00640 Propanoate metabolism [PATH:ko00640]	pduP; propionaldehyde dehydrogenase [EC:1.2.1.87]	blue	sig	0	0.05
K15024	65.6984804560882	129.194990068631	-1.20456158315898	0.908258747519648	-0.975618218328386	0.0917412524803518	09100 Metabolism	09101 Carbohydrate metabolism	00640 Propanoate metabolism [PATH:ko00640]	K15024; putative phosphotransacetylase [EC:2.3.1.8]	lightblue	notsig	0	0.05
K14729	6.16632504860796	11.2712417772013	-0.452103025071953	0.44773480398957	-0.870163623039492	0.55226519601043	09100 Metabolism	09101 Carbohydrate metabolism	00640 Propanoate metabolism [PATH:ko00640]	FOX2; multifunctional beta-oxidation protein [EC:4.2.1.- 1.1.1.-]	lightblue	notsig	0	0.05
K13919	11.0106214614439	19.1254495357331	-0.631267627860389	0.644582431114663	-0.796597758363469	0.355417568885337	09100 Metabolism	09101 Carbohydrate metabolism	00640 Propanoate metabolism [PATH:ko00640]	pduD; propanediol dehydratase medium subunit [EC:4.2.1.28]	lightblue	notsig	0	0.05
K08325	37.5507180361358	63.6593118766786	-0.658336897648584	0.677771756648616	-0.761531067407798	0.322228243351384	09100 Metabolism	09101 Carbohydrate metabolism	00640 Propanoate metabolism [PATH:ko00640]	yqhD; NADP-dependent alcohol dehydrogenase [EC:1.1.-.-]	lightblue	notsig	0	0.05
K13920	4.08747544230443	6.57303714634636	-0.460977725599819	0.451919589065095	-0.68535007533144	0.548080410934905	09100 Metabolism	09101 Carbohydrate metabolism	00640 Propanoate metabolism [PATH:ko00640]	pduE; propanediol dehydratase small subunit [EC:4.2.1.28]	lightblue	notsig	0	0.05
K00925	2110.38437610931	3087.76041471465	-1.68279108305953	0.975194294899299	-0.549055026476821	0.0248057051007013	09100 Metabolism	09101 Carbohydrate metabolism	00640 Propanoate metabolism [PATH:ko00640]	ackA; acetate kinase [EC:2.7.2.1]	blue	sig	0	0.05
K20627	10.1436051021485	14.4467292259978	-0.244127541277886	0.200247325671563	-0.510172413565845	0.799752674328437	09100 Metabolism	09101 Carbohydrate metabolism	00640 Propanoate metabolism [PATH:ko00640]	lcdB; lactoyl-CoA dehydratase subunit beta [EC:4.2.1.54]	lightblue	notsig	0	0.05
K01965	0.642048976402211	0.890911667686246	-0.286007903243953	0.283674704372113	-0.472599045820647	0.716325295627887	09100 Metabolism	09101 Carbohydrate metabolism	00640 Propanoate metabolism [PATH:ko00640]	PCCA, pccA; propionyl-CoA carboxylase alpha subunit [EC:6.4.1.3]	lightblue	notsig	0	0.05
K01961	127.400092444081	166.644990165735	-0.440255852744081	0.443351846279034	-0.387411622037649	0.556648153720966	09100 Metabolism	09101 Carbohydrate metabolism	00640 Propanoate metabolism [PATH:ko00640]	accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]	lightblue	notsig	0	0.05
K01966	445.310220415111	572.360637529937	-1.01876940932216	0.866080812434907	-0.362113734460836	0.133919187565093	09100 Metabolism	09101 Carbohydrate metabolism	00640 Propanoate metabolism [PATH:ko00640]	PCCB, pccB; propionyl-CoA carboxylase beta subunit [EC:6.4.1.3 2.1.3.15]	lightblue	notsig	0	0.05
K00016	2319.70832225765	2790.86438273868	-0.592528579382197	0.614657753278435	-0.266768607055939	0.385342246721565	09100 Metabolism	09101 Carbohydrate metabolism	00640 Propanoate metabolism [PATH:ko00640]	LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]	lightblue	notsig	0	0.05
K00140	0.566254666996694	0.633502660066472	-0.104818757440185	0.261910485948798	-0.161899641518608	0.738089514051202	09100 Metabolism	09101 Carbohydrate metabolism	00640 Propanoate metabolism [PATH:ko00640]	mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]	lightblue	notsig	0	0.05
K00172	72.5197402588365	79.332429447328	-0.126041248874195	0.226634231739403	-0.129536972383425	0.773365768260597	09100 Metabolism	09101 Carbohydrate metabolism	00640 Propanoate metabolism [PATH:ko00640]	porC, porG; pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]	lightblue	notsig	0	0.05
K22214	338.050415371374	363.843538038631	-0.195813281843192	0.172368379132456	-0.106079768444907	0.827631620867544	09100 Metabolism	09101 Carbohydrate metabolism	00640 Propanoate metabolism [PATH:ko00640]	scpC; propionyl-CoA:succinyl-CoA transferase [EC:2.8.3.27]	lightblue	notsig	0	0.05
K20143	2.41118266561361	2.53828547504671	-0.0384886245812118	0.204397964350525	-0.0741133845349713	0.795602035649475	09100 Metabolism	09101 Carbohydrate metabolism	00640 Propanoate metabolism [PATH:ko00640]	acrC; acrylyl-CoA reductase (NADH) [EC:1.3.1.95]	lightblue	notsig	0	0.05
K05605	0.491391697726157	0.512092706075088	-0.0497022531527779	0.224049814760521	-0.0595315274431618	0.775950185239479	09100 Metabolism	09101 Carbohydrate metabolism	00640 Propanoate metabolism [PATH:ko00640]	HIBCH; 3-hydroxyisobutyryl-CoA hydrolase [EC:3.1.2.4]	lightblue	notsig	0	0.05
K01782	0.501106676181297	0.518648347135316	-0.0372973771636251	0.202414299508074	-0.0496389382362441	0.797585700491926	09100 Metabolism	09101 Carbohydrate metabolism	00640 Propanoate metabolism [PATH:ko00640]	fadJ; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.1.1.35 4.2.1.17 5.1.2.3]	lightblue	notsig	0	0.05
K22224	0.495133180476744	0.512092706075088	-0.040328973423272	0.207519834776582	-0.0485883781935481	0.792480165223418	09100 Metabolism	09101 Carbohydrate metabolism	00640 Propanoate metabolism [PATH:ko00640]	acdB; acetate---CoA ligase (ADP-forming) subunit beta [EC:6.2.1.13]	lightblue	notsig	0	0.05
K07511	0.498138392857761	0.512092706075088	-0.0332451449792644	0.195962375244641	-0.03985840273697	0.804037624755359	09100 Metabolism	09101 Carbohydrate metabolism	00640 Propanoate metabolism [PATH:ko00640]	ECHS1; enoyl-CoA hydratase [EC:4.2.1.17]	lightblue	notsig	0	0.05
K01908	0.499616648340245	0.512092706075088	-0.0296523499447173	0.190788236048924	-0.0355834588356048	0.809211763951076	09100 Metabolism	09101 Carbohydrate metabolism	00640 Propanoate metabolism [PATH:ko00640]	ACSS3, prpE; propionyl-CoA synthetase [EC:6.2.1.17]	lightblue	notsig	0	0.05
K03417	0.510996706151298	0.512092706075088	-0.00255478334062512	0.179394498877253	-0.00309101871416967	0.820605501122747	09100 Metabolism	09101 Carbohydrate metabolism	00640 Propanoate metabolism [PATH:ko00640]	prpB; methylisocitrate lyase [EC:4.1.3.30]	lightblue	notsig	0	0.05
