id	Prefeed_HiCHO_mean	T1_LoCHO_PROT_mean	theta	prob	log2FC	P	level_1	level_2	level_3	ko_name	color	sig	label_hjust	label_nudge
K03366	53.2450756820274	596.264093616671	-3.00150409736731	1	-3.48523145143009	0	09100 Metabolism	09101 Carbohydrate metabolism	00650 Butanoate metabolism [PATH:ko00650]	butA, budC; meso-butanediol dehydrogenase / (S,S)-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.- 1.1.1.76 1.1.1.304]	blue	sig	0	0.05
K18119	23.9409140969686	112.756317199985	-1.23078449870508	0.916957459674098	-2.23565812056107	0.0830425403259021	09100 Metabolism	09101 Carbohydrate metabolism	00650 Butanoate metabolism [PATH:ko00650]	sucD; succinate-semialdehyde dehydrogenase [EC:1.2.1.76]	lightblue	notsig	0	0.05
K04072	983.845971295201	4391.292838793	-2.11437483351956	0.995333463914992	-2.15814137229901	0.00466653608500778	09100 Metabolism	09101 Carbohydrate metabolism	00650 Butanoate metabolism [PATH:ko00650]	adhE; acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]	blue	sig	0	0.05
K01652	196.443002801476	414.026074885661	-1.2170724196354	0.910008811949414	-1.07561084920108	0.0899911880505856	09100 Metabolism	09101 Carbohydrate metabolism	00650 Butanoate metabolism [PATH:ko00650]	E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]	lightblue	notsig	0	0.05
K07516	1.06443917747056	2.22922935208259	-0.516209583293686	0.520205471698109	-1.06645153859551	0.479794528301891	09100 Metabolism	09101 Carbohydrate metabolism	00650 Butanoate metabolism [PATH:ko00650]	fadN; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]	lightblue	notsig	0	0.05
K00656	2011.50310512662	4145.81996547069	-2.09684986580137	0.995014185346273	-1.04338350294444	0.00498581465372683	09100 Metabolism	09101 Carbohydrate metabolism	00650 Butanoate metabolism [PATH:ko00650]	E2.3.1.54, pflD; formate C-acetyltransferase [EC:2.3.1.54]	blue	sig	0	0.05
K00241	15.0104867530078	27.0978390404531	-0.625514570142333	0.638213922257021	-0.85220704544066	0.361786077742979	09100 Metabolism	09101 Carbohydrate metabolism	00650 Butanoate metabolism [PATH:ko00650]	sdhC, frdC; succinate dehydrogenase cytochrome b subunit	lightblue	notsig	0	0.05
K25996	1.3525274850293	2.18418556462455	-0.31853938832525	0.342436477973819	-0.691437518642523	0.657563522026181	09100 Metabolism	09101 Carbohydrate metabolism	00650 Butanoate metabolism [PATH:ko00650]	frdC, fdrC; succinate dehydrogenase subunit C	lightblue	notsig	0	0.05
K23351	31.086705120129	49.6275802973826	-0.674465047551102	0.70096064945763	-0.674844401022323	0.29903935054237	09100 Metabolism	09101 Carbohydrate metabolism	00650 Butanoate metabolism [PATH:ko00650]	gcdC, mmdC; glutaconyl-CoA/methylmalonyl-CoA decarboxylase subunit gamma	lightblue	notsig	0	0.05
K00019	1.13900587128141	1.80019942294413	-0.350129025356233	0.379476282505555	-0.660381550855771	0.620523717494445	09100 Metabolism	09101 Carbohydrate metabolism	00650 Butanoate metabolism [PATH:ko00650]	BDH1, bdhA; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]	lightblue	notsig	0	0.05
