id	Prefeed_HiCHO_mean	T1_LoCHO_PROT_mean	theta	prob	log2FC	P	level_1	level_2	level_3	ko_name	color	sig	label_hjust	label_nudge
K01595	161.069126249515	1274.31948081602	-3.0297195512075	1	-2.98397512700009	2.22044604925031e-16	09100 Metabolism	09102 Energy metabolism	00680 Methane metabolism [PATH:ko00680]	ppc; phosphoenolpyruvate carboxylase [EC:4.1.1.31]	blue	sig	0	0.05
K01007	290.565262481822	809.822718465346	-1.54110349972631	0.939751864612552	-1.47874387951434	0.0602481353874483	09100 Metabolism	09102 Energy metabolism	00680 Methane metabolism [PATH:ko00680]	pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]	lightblue	notsig	0	0.05
K00198	474.887098351137	1166.05962934493	-2.92154017551767	0.999999999999996	-1.29598509924906	4.21884749357559e-15	09100 Metabolism	09102 Energy metabolism	00680 Methane metabolism [PATH:ko00680]	cooS, acsA; anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]	blue	sig	0	0.05
K00121	17.0696677808539	41.5165870922687	-0.829922241548377	0.789210655377591	-1.2822528704251	0.210789344622409	09100 Metabolism	09102 Energy metabolism	00680 Methane metabolism [PATH:ko00680]	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	lightblue	notsig	0	0.05
K22480	0.707214572534348	1.58670848288445	-0.719232502353863	0.741287973117644	-1.16581718654046	0.258712026882356	09100 Metabolism	09102 Energy metabolism	00680 Methane metabolism [PATH:ko00680]	hdrA1; heterodisulfide reductase subunit A1 [EC:1.8.7.3]	lightblue	notsig	0	0.05
K03388	70.3067250180511	146.706963205716	-1.30754134446942	0.941979336915551	-1.0612027493125	0.0580206630844486	09100 Metabolism	09102 Energy metabolism	00680 Methane metabolism [PATH:ko00680]	hdrA2; heterodisulfide reductase subunit A2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]	lightblue	notsig	0	0.05
K00193	118.564519981472	238.315576163147	-1.39113172723518	0.952656723822281	-1.00720089527843	0.0473432761777189	09100 Metabolism	09102 Energy metabolism	00680 Methane metabolism [PATH:ko00680]	cdhC; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit beta [EC:2.3.1.169]	blue	sig	0	0.05
K22482	1.9355860271044	3.83468312151772	-0.653648068026989	0.671761835252024	-0.986336936134779	0.328238164747976	09100 Metabolism	09102 Energy metabolism	00680 Methane metabolism [PATH:ko00680]	hdrC1; heterodisulfide reductase subunit C1 [EC:1.8.7.3]	lightblue	notsig	0	0.05
K22015	98.5400307367169	192.227092277008	-1.18336023294213	0.907878502168118	-0.964029855539484	0.0921214978318818	09100 Metabolism	09102 Energy metabolism	00680 Methane metabolism [PATH:ko00680]	fdhF; formate dehydrogenase (hydrogenase) [EC:1.17.98.4 1.17.98.-]	lightblue	notsig	0	0.05
K02203	2.62423992713171	5.10258204870309	-0.614720328723219	0.628761495661348	-0.959327848073248	0.371238504338652	09100 Metabolism	09102 Energy metabolism	00680 Methane metabolism [PATH:ko00680]	thrH; phosphoserine / homoserine phosphotransferase [EC:3.1.3.3 2.7.1.39]	lightblue	notsig	0	0.05
K03389	0.897257116947239	1.67580791475125	-0.548253997537497	0.554985983257239	-0.901263426737612	0.445014016742761	09100 Metabolism	09102 Energy metabolism	00680 Methane metabolism [PATH:ko00680]	hdrB2; heterodisulfide reductase subunit B2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]	lightblue	notsig	0	0.05
K00125	0.6425489902164	1.19806236043994	-0.479036397522436	0.468633933102126	-0.898824644111458	0.531366066897874	09100 Metabolism	09102 Energy metabolism	00680 Methane metabolism [PATH:ko00680]	fdhB; formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6]	lightblue	notsig	0	0.05
K00194	2.04428008503328	3.50913187136727	-0.528255767560207	0.534022321100372	-0.779521292286846	0.465977678899628	09100 Metabolism	09102 Energy metabolism	00680 Methane metabolism [PATH:ko00680]	cdhD, acsD; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta [EC:2.1.1.245]	lightblue	notsig	0	0.05
K16793	0.979688051650138	1.67715572695724	-0.444224856834401	0.444825844163996	-0.775622301699638	0.555174155836004	09100 Metabolism	09102 Energy metabolism	00680 Methane metabolism [PATH:ko00680]	aksE; methanogen homoaconitase small subunit [EC:4.2.1.114]	lightblue	notsig	0	0.05
