id	Prefeed_HiCHO_mean	T1_LoCHO_PROT_mean	theta	prob	log2FC	P	level_1	level_2	level_3	ko_name	color	sig	label_hjust	label_nudge
K25578	0.731941643371855	10.5180935848876	-1.89943559371276	0.986132787201688	-3.84500079901703	0.0138672127983124	09100 Metabolism	09108 Metabolism of cofactors and vitamins	00790 Folate biosynthesis [PATH:ko00790]	pabB; 4-amino-4-deoxychorismate synthase (2-amino-4-deoxychorismate-forming) component I [EC:2.6.1.123]	blue	sig	0	0.05
K00950	7.27309474231063	71.3462359286467	-1.88391318690497	0.985770023877427	-3.29419604360279	0.0142299761225728	09100 Metabolism	09108 Metabolism of cofactors and vitamins	00790 Folate biosynthesis [PATH:ko00790]	folK; 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]	blue	sig	0	0.05
K06920	58.7284409849787	397.630286368907	-2.56376191053164	0.999999999999998	-2.75929640163426	1.55431223447522e-15	09100 Metabolism	09108 Metabolism of cofactors and vitamins	00790 Folate biosynthesis [PATH:ko00790]	queC; 7-cyano-7-deazaguanine synthase [EC:6.3.4.20]	blue	sig	0	0.05
K15376	9.26750265708628	32.4257408663406	-1.20699729986723	0.908292198990954	-1.8068870088916	0.0917078010090457	09100 Metabolism	09108 Metabolism of cofactors and vitamins	00790 Folate biosynthesis [PATH:ko00790]	GPHN; gephyrin [EC:2.10.1.1 2.7.7.75]	lightblue	notsig	0	0.05
K13950	3.2335596494466	11.1454669196726	-0.893740879735026	0.816204784755207	-1.78526192790037	0.183795215244793	09100 Metabolism	09108 Metabolism of cofactors and vitamins	00790 Folate biosynthesis [PATH:ko00790]	pabAB; para-aminobenzoate synthetase [EC:2.6.1.85]	lightblue	notsig	0	0.05
K01495	53.9455887995913	148.49396176861	-1.56248663531618	0.951802433597512	-1.46082736908836	0.0481975664024878	09100 Metabolism	09108 Metabolism of cofactors and vitamins	00790 Folate biosynthesis [PATH:ko00790]	GCH1, folE; GTP cyclohydrolase IA [EC:3.5.4.16]	blue	sig	0	0.05
K01633	7.83203799903064	20.7350988205555	-0.987798330231531	0.846786992487489	-1.40461525328539	0.153213007512511	09100 Metabolism	09108 Metabolism of cofactors and vitamins	00790 Folate biosynthesis [PATH:ko00790]	folB; 7,8-dihydroneopterin aldolase/epimerase/oxygenase [EC:4.1.2.25 5.1.99.8 1.13.11.81]	lightblue	notsig	0	0.05
K09457	46.9041646041467	112.865031282513	-1.25395428764529	0.930481292279221	-1.26681063847644	0.0695187077207788	09100 Metabolism	09108 Metabolism of cofactors and vitamins	00790 Folate biosynthesis [PATH:ko00790]	queF; 7-cyano-7-deazaguanine reductase [EC:1.7.1.13]	lightblue	notsig	0	0.05
K18591	1.94207560344829	4.12566266343659	-0.655725024201156	0.674393256844773	-1.08702649865964	0.325606743155227	09100 Metabolism	09108 Metabolism of cofactors and vitamins	00790 Folate biosynthesis [PATH:ko00790]	dfrD, dhfr; dihydrofolate reductase (trimethoprim resistance protein) [EC:1.5.1.3]	lightblue	notsig	0	0.05
K03831	3.90758685267399	8.25102595078416	-0.625634471274406	0.638340295516992	-1.07829557849967	0.361659704483008	09100 Metabolism	09108 Metabolism of cofactors and vitamins	00790 Folate biosynthesis [PATH:ko00790]	mogA; molybdopterin adenylyltransferase [EC:2.7.7.75]	lightblue	notsig	0	0.05
K13940	3.32782451488775	6.79222549798656	-0.748524730950579	0.74975184941777	-1.02930499802718	0.25024815058223	09100 Metabolism	09108 Metabolism of cofactors and vitamins	00790 Folate biosynthesis [PATH:ko00790]	sulD; dihydroneopterin aldolase / 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:4.1.2.25 2.7.6.3]	lightblue	notsig	0	0.05
K03750	7.98846381104277	15.6957407812713	-0.692790469870826	0.72613105881973	-0.974383117078888	0.27386894118027	09100 Metabolism	09108 Metabolism of cofactors and vitamins	00790 Folate biosynthesis [PATH:ko00790]	moeA; molybdopterin molybdotransferase [EC:2.10.1.1]	lightblue	notsig	0	0.05
K11754	89.423759243152	165.61908405281	-1.14912536270734	0.896846174811624	-0.889138821081816	0.103153825188376	09100 Metabolism	09108 Metabolism of cofactors and vitamins	00790 Folate biosynthesis [PATH:ko00790]	folC; dihydrofolate synthase / folylpolyglutamate synthase [EC:6.3.2.12 6.3.2.17]	lightblue	notsig	0	0.05
K03752	1.27347990368971	2.11879983588952	-0.479409258665905	0.469098831210654	-0.734471108844162	0.530901168789346	09100 Metabolism	09108 Metabolism of cofactors and vitamins	00790 Folate biosynthesis [PATH:ko00790]	mobA; molybdenum cofactor guanylyltransferase [EC:2.7.7.77]	lightblue	notsig	0	0.05
K01077	35.8642124111866	52.1195521233209	-0.532227410675317	0.538084439866441	-0.539279737406117	0.461915560133559	09100 Metabolism	09108 Metabolism of cofactors and vitamins	00790 Folate biosynthesis [PATH:ko00790]	E3.1.3.1, phoA, phoB; alkaline phosphatase [EC:3.1.3.1]	lightblue	notsig	0	0.05
