id	Prefeed_HiCHO_mean	T1_LoCHO_PROT_mean	theta	prob	log2FC	P	level_1	level_2	level_3	ko_name	color	sig	label_hjust	label_nudge
K04563	0.798942452688863	1.51254761833904	-0.508804042018102	0.510311835369854	-0.920817066715752	0.489688164630146	09130 Environmental Information Processing	09132 Signal transduction	04011 MAPK signaling pathway - yeast [PATH:ko04011]	CDC28, CDC2; cyclin-dependent kinase [EC:2.7.11.22]	lightblue	notsig	0	0.05
K11231	0.484754349012795	0.59469218860051	-0.217847512328332	0.175266196839999	-0.294889284108722	0.824733803160001	09130 Environmental Information Processing	09132 Signal transduction	04011 MAPK signaling pathway - yeast [PATH:ko04011]	SLN1; osomolarity two-component system, sensor histidine kinase SLN1 [EC:2.7.13.3]	lightblue	notsig	0	0.05
K12412	0.489116240944859	0.553591753087574	-0.143622170997477	0.209669401791268	-0.178645081472379	0.790330598208732	09130 Environmental Information Processing	09132 Signal transduction	04011 MAPK signaling pathway - yeast [PATH:ko04011]	MCM1; pheromone receptor transcription factor	lightblue	notsig	0	0.05
K06649	0.487474396051875	0.54169967249238	-0.123224983359462	0.230960997762675	-0.152166773363803	0.769039002237325	09130 Environmental Information Processing	09132 Signal transduction	04011 MAPK signaling pathway - yeast [PATH:ko04011]	SWI4; regulatory protein SWI4	lightblue	notsig	0	0.05
K19833	0.492610420023411	0.538827492551508	-0.10419338514107	0.26276605134324	-0.129376318185227	0.73723394865676	09130 Environmental Information Processing	09132 Signal transduction	04011 MAPK signaling pathway - yeast [PATH:ko04011]	CLA4; serine/threonine-protein kinase CLA4 [EC:2.7.11.1]	lightblue	notsig	0	0.05
K11230	0.489582823712915	0.517246564144986	-0.0663507500080399	0.251963315906082	-0.0792992127874839	0.748036684093918	09130 Environmental Information Processing	09132 Signal transduction	04011 MAPK signaling pathway - yeast [PATH:ko04011]	SSK2; mitogen-activated protein kinase kinase kinase [EC:2.7.11.25]	lightblue	notsig	0	0.05
K03114	0.48883919188521	0.510567496595478	-0.0521812810967921	0.228454977454024	-0.0627417412708418	0.771545022545976	09130 Environmental Information Processing	09132 Signal transduction	04011 MAPK signaling pathway - yeast [PATH:ko04011]	SWE1; mitosis inhibitor protein kinase SWE1 [EC:2.7.11.1]	lightblue	notsig	0	0.05
K04536	0.496588325968303	0.512092706075088	-0.0368378506469758	0.201655090277624	-0.0443546640361244	0.798344909722376	09130 Environmental Information Processing	09132 Signal transduction	04011 MAPK signaling pathway - yeast [PATH:ko04011]	GNB1; guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	lightblue	notsig	0	0.05
K11228	0.4973869578054	0.512092706075088	-0.0349298125786187	0.198586498043434	-0.0420363318650496	0.801413501956566	09130 Environmental Information Processing	09132 Signal transduction	04011 MAPK signaling pathway - yeast [PATH:ko04011]	STE11; mitogen-activated protein kinase kinase kinase [EC:2.7.11.25]	lightblue	notsig	0	0.05
K17971	0.497587561657307	0.512092706075088	-0.0345680239174499	0.198018534578294	-0.0414545879498244	0.801981465421706	09130 Environmental Information Processing	09132 Signal transduction	04011 MAPK signaling pathway - yeast [PATH:ko04011]	BNR1; BNI1-related protein 1	lightblue	notsig	0	0.05
