id	Prefeed_HiCHO_mean	T1_LoCHO_PROT_mean	theta	prob	log2FC	P	level_1	level_2	level_3	ko_name	color	sig	label_hjust	label_nudge
K00161	8.00011868978852	277.690040328382	-2.20212776782128	0.99328601950993	-5.11731021996057	0.0067139804900701	09150 Organismal Systems	09152 Endocrine system	04922 Glucagon signaling pathway [PATH:ko04922]	PDHA, pdhA; pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1]	blue	sig	0	0.05
K00162	2.27379736659146	4.93010228875989	-0.556002368009209	0.564661790350185	-1.11651388797721	0.435338209649815	09150 Organismal Systems	09152 Endocrine system	04922 Glucagon signaling pathway [PATH:ko04922]	PDHB, pdhB; pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]	lightblue	notsig	0	0.05
K01596	31.3570497556997	53.1587151281601	-0.628445392971018	0.641371334713158	-0.761516405272529	0.358628665286842	09150 Organismal Systems	09152 Endocrine system	04922 Glucagon signaling pathway [PATH:ko04922]	E4.1.1.32, pckA, PCK; phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]	lightblue	notsig	0	0.05
K00016	2319.70832225765	2790.86438273868	-0.592528579382197	0.614657753278435	-0.266768607055939	0.385342246721565	09150 Organismal Systems	09152 Endocrine system	04922 Glucagon signaling pathway [PATH:ko04922]	LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]	lightblue	notsig	0	0.05
K07198	0.49903127121418	0.588412297466299	-0.155739459200062	0.202630171827609	-0.237697175172342	0.797369828172391	09150 Organismal Systems	09152 Endocrine system	04922 Glucagon signaling pathway [PATH:ko04922]	PRKAA, AMPK; 5'-AMP-activated protein kinase, catalytic alpha subunit [EC:2.7.11.31]	lightblue	notsig	0	0.05
K00850	1600.62521321345	1662.54693493364	-0.195939301872618	0.172335380389947	-0.0547595295413649	0.827664619610053	09150 Organismal Systems	09152 Endocrine system	04922 Glucagon signaling pathway [PATH:ko04922]	pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]	lightblue	notsig	0	0.05
K07200	0.49304952572793	0.512092706075088	-0.0456243014514231	0.216791132668656	-0.0546724410075638	0.783208867331344	09150 Organismal Systems	09152 Endocrine system	04922 Glucagon signaling pathway [PATH:ko04922]	PRKAG; 5'-AMP-activated protein kinase, regulatory gamma subunit	lightblue	notsig	0	0.05
K11434	0.497587561657307	0.512092706075088	-0.0345680239174499	0.198018534578294	-0.0414545879498244	0.801981465421706	09150 Organismal Systems	09152 Endocrine system	04922 Glucagon signaling pathway [PATH:ko04922]	PRMT1; type I protein arginine methyltransferase [EC:2.1.1.319]	lightblue	notsig	0	0.05
K02183	0.503111613219025	0.512092706075088	-0.0208806581732679	0.181145437035936	-0.0255265189641777	0.818854562964064	09150 Organismal Systems	09152 Endocrine system	04922 Glucagon signaling pathway [PATH:ko04922]	CALM; calmodulin	lightblue	notsig	0	0.05
K17491	0.491870677741646	0.500375268627645	-0.0200138907710373	0.180449949185579	-0.0247314319721252	0.819550050814421	09150 Organismal Systems	09152 Endocrine system	04922 Glucagon signaling pathway [PATH:ko04922]	SMEK, PPP4R3; protein phosphatase 4 regulatory subunit 3	lightblue	notsig	0	0.05
K04450	0.502952321597201	0.509584289235479	-0.0157042301864696	0.178066054484525	-0.0188991559361054	0.821933945515475	09150 Organismal Systems	09152 Endocrine system	04922 Glucagon signaling pathway [PATH:ko04922]	ATF2, CREBP1; cyclic AMP-dependent transcription factor ATF-2	lightblue	notsig	0	0.05
K05858	0.502952321597201	0.50941712567638	-0.0153457365379486	0.177924173398152	-0.0184258179478275	0.822075826601848	09150 Organismal Systems	09152 Endocrine system	04922 Glucagon signaling pathway [PATH:ko04922]	PLCB; phosphatidylinositol phospholipase C, beta [EC:3.1.4.11]	lightblue	notsig	0	0.05
K06268	0.502107041134684	0.508487023941987	-0.0149260690829014	0.177771653530009	-0.0182160021691648	0.822228346469991	09150 Organismal Systems	09152 Endocrine system	04922 Glucagon signaling pathway [PATH:ko04922]	PPP3R, CNB; serine/threonine-protein phosphatase 2B regulatory subunit	lightblue	notsig	0	0.05
K15423	0.500014910517725	0.503348071369691	-0.00790645727262247	0.177458459853884	-0.00958526955378776	0.822541540146116	09150 Organismal Systems	09152 Endocrine system	04922 Glucagon signaling pathway [PATH:ko04922]	PPP4C; serine/threonine-protein phosphatase 4 catalytic subunit [EC:3.1.3.16]	lightblue	notsig	0	0.05
K09048	0.498284247267139	0.500799166747638	-0.0060564969292876	0.177952433577045	-0.00726319639640328	0.822047566422955	09150 Organismal Systems	09152 Endocrine system	04922 Glucagon signaling pathway [PATH:ko04922]	CREB3; cyclic AMP-responsive element-binding protein 3	lightblue	notsig	0	0.05
K19008	0.502952321597201	0.503348071369691	-0.00094414937181243	0.180228144996083	-0.00113474319920626	0.819771855003917	09150 Organismal Systems	09152 Endocrine system	04922 Glucagon signaling pathway [PATH:ko04922]	SIK1; serine/threonine-protein kinase SIK1 [EC:2.7.11.1]	lightblue	notsig	0	0.05
K04498	0.502952321597201	0.50021444822663	0.00656927082374979	0.184351082358401	0.00787491424240066	0.815648917641599	09150 Organismal Systems	09152 Endocrine system	04922 Glucagon signaling pathway [PATH:ko04922]	EP300, CREBBP, KAT3; E1A/CREB-binding protein [EC:2.3.1.48]	pink	notsig	1	-0.05
K01834	995.043970987224	948.213138355251	0.150027223778884	0.0237279163098583	0.0695488966958674	0.976272083690142	09150 Organismal Systems	09152 Endocrine system	04922 Glucagon signaling pathway [PATH:ko04922]	PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]	pink	notsig	1	-0.05
K04348	0.616636187084677	0.538827492551508	0.142399003360187	0.0230489561650812	0.194596092806264	0.976951043834919	09150 Organismal Systems	09152 Endocrine system	04922 Glucagon signaling pathway [PATH:ko04922]	PPP3C, CNA; serine/threonine-protein phosphatase 2B catalytic subunit [EC:3.1.3.16]	pink	notsig	1	-0.05
K03841	1.45471937059719	1.19649274732221	0.132890444760664	0.0278354148488942	0.281929218339111	0.972164585151106	09150 Organismal Systems	09152 Endocrine system	04922 Glucagon signaling pathway [PATH:ko04922]	FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]	pink	notsig	1	-0.05
K00693	88.4419983323583	69.1818390822733	0.378231659313442	0.285499315507449	0.354338257148715	0.714500684492551	09150 Organismal Systems	09152 Endocrine system	04922 Glucagon signaling pathway [PATH:ko04922]	GYS; glycogen synthase [EC:2.4.1.11]	pink	notsig	1	-0.05
K11262	0.71803497652343	0.517246564144986	0.314233500995065	0.207561796785726	0.473201964633886	0.792438203214274	09150 Organismal Systems	09152 Endocrine system	04922 Glucagon signaling pathway [PATH:ko04922]	ACACA; acetyl-CoA carboxylase / biotin carboxylase 1 [EC:6.4.1.2 6.3.4.14 2.1.3.15]	pink	notsig	1	-0.05
K00873	2134.99391600217	1530.58247077468	1.3228179779948	0.935479749854701	0.480151176479859	0.0645202501452991	09150 Organismal Systems	09152 Endocrine system	04922 Glucagon signaling pathway [PATH:ko04922]	PK, pyk; pyruvate kinase [EC:2.7.1.40]	pink	notsig	1	-0.05
K00688	2953.29562226198	1710.6740447144	2.57244275580269	1	0.787760884200897	2.22044604925031e-16	09150 Organismal Systems	09152 Endocrine system	04922 Glucagon signaling pathway [PATH:ko04922]	PYG, glgP; glycogen phosphorylase [EC:2.4.1.1]	red	sig	1	-0.05
K04345	0.966107105955726	0.537508211076996	0.581193650160961	0.5504335318673	0.845896346308032	0.4495664681327	09150 Organismal Systems	09152 Endocrine system	04922 Glucagon signaling pathway [PATH:ko04922]	PKA; protein kinase A [EC:2.7.11.11]	pink	notsig	1	-0.05
