id	Prefeed_HiCHO_mean	T1_LoCHO_PROT_mean	theta	prob	log2FC	P	level_1	level_2	level_3	ko_name	color	sig	label_hjust	label_nudge
K04564	232.455720594045	1531.96840256935	-2.84087841684719	0.999999999999998	-2.72035870618133	2.22044604925031e-15	09160 Human Diseases	09161 Cancer: overview	05208 Chemical carcinogenesis - reactive oxygen species [PATH:ko05208]	SOD2; superoxide dismutase, Fe-Mn family [EC:1.15.1.1]	blue	sig	0	0.05
K07755	0.682971312242733	1.14713142987019	-0.37977732267404	0.409643448212735	-0.748133808743543	0.590356551787265	09160 Human Diseases	09161 Cancer: overview	05208 Chemical carcinogenesis - reactive oxygen species [PATH:ko05208]	AS3MT; arsenite methyltransferase [EC:2.1.1.137]	lightblue	notsig	0	0.05
K00002	4.14219540951527	6.06030064905119	-0.354826330035599	0.384129004388505	-0.548993752181693	0.615870995611495	09160 Human Diseases	09161 Cancer: overview	05208 Chemical carcinogenesis - reactive oxygen species [PATH:ko05208]	AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	lightblue	notsig	0	0.05
K06068	0.988830201259532	1.42176130344886	-0.289715774297502	0.29109442790816	-0.523884561800027	0.70890557209184	09160 Human Diseases	09161 Cancer: overview	05208 Chemical carcinogenesis - reactive oxygen species [PATH:ko05208]	PRKCD; novel protein kinase C delta type [EC:2.7.11.13]	lightblue	notsig	0	0.05
K00799	0.537945222977711	0.707863158539923	-0.254474807383674	0.219489085113305	-0.396011215022422	0.780510914886695	09160 Human Diseases	09161 Cancer: overview	05208 Chemical carcinogenesis - reactive oxygen species [PATH:ko05208]	GST, gst; glutathione S-transferase [EC:2.5.1.18]	lightblue	notsig	0	0.05
K08726	0.585341358272146	0.701623688754842	-0.159238993233831	0.200135600278158	-0.261419239677501	0.799864399721842	09160 Human Diseases	09161 Cancer: overview	05208 Chemical carcinogenesis - reactive oxygen species [PATH:ko05208]	EPHX2; soluble epoxide hydrolase / lipid-phosphate phosphatase [EC:3.3.2.10 3.1.3.76]	lightblue	notsig	0	0.05
K03883	0.494116041574428	0.525890215347521	-0.0753168861816203	0.263666586856754	-0.0899117605275175	0.736333413143246	09160 Human Diseases	09161 Cancer: overview	05208 Chemical carcinogenesis - reactive oxygen species [PATH:ko05208]	ND5; NADH-ubiquinone oxidoreductase chain 5 [EC:7.1.1.2]	lightblue	notsig	0	0.05
K03934	0.487004288401484	0.512092706075088	-0.0597089355752784	0.241455489440369	-0.0724705341294341	0.758544510559631	09160 Human Diseases	09161 Cancer: overview	05208 Chemical carcinogenesis - reactive oxygen species [PATH:ko05208]	NDUFS1; NADH dehydrogenase (ubiquinone) Fe-S protein 1 [EC:7.1.1.2]	lightblue	notsig	0	0.05
K04734	0.489198899090901	0.512092706075088	-0.0548609668426471	0.233165245996993	-0.0659838532154774	0.766834754003007	09160 Human Diseases	09161 Cancer: overview	05208 Chemical carcinogenesis - reactive oxygen species [PATH:ko05208]	NFKBIA; NF-kappa-B inhibitor alpha	lightblue	notsig	0	0.05
K01115	0.490904172275143	0.512092706075088	-0.0506798087254708	0.225789929485148	-0.0609635819385854	0.774210070514852	09160 Human Diseases	09161 Cancer: overview	05208 Chemical carcinogenesis - reactive oxygen species [PATH:ko05208]	PLD1_2; phospholipase D1/2 [EC:3.1.4.4]	lightblue	notsig	0	0.05
