id	Prefeed_HiCHO_mean	T1_LoCHO_PROT_mean	theta	prob	log2FC	P	level_1	level_2	level_3	ko_name	color	sig	label_hjust	label_nudge
K00161	8.00011868978852	277.690040328382	-2.20212776782128	0.99328601950993	-5.11731021996057	0.0067139804900701	09160 Human Diseases	09161 Cancer: overview	05230 Central carbon metabolism in cancer [PATH:ko05230]	PDHA, pdhA; pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1]	blue	sig	0	0.05
K00036	15.5522601987777	68.5660800197618	-0.990016572299371	0.847712183405656	-2.14037078305301	0.152287816594344	09160 Human Diseases	09161 Cancer: overview	05230 Central carbon metabolism in cancer [PATH:ko05230]	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	lightblue	notsig	0	0.05
K00162	2.27379736659146	4.93010228875989	-0.556002368009209	0.564661790350185	-1.11651388797721	0.435338209649815	09160 Human Diseases	09161 Cancer: overview	05230 Central carbon metabolism in cancer [PATH:ko05230]	PDHB, pdhB; pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]	lightblue	notsig	0	0.05
K00016	2319.70832225765	2790.86438273868	-0.592528579382197	0.614657753278435	-0.266768607055939	0.385342246721565	09160 Human Diseases	09161 Cancer: overview	05230 Central carbon metabolism in cancer [PATH:ko05230]	LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]	lightblue	notsig	0	0.05
K00031	245.245695205719	254.778391885254	-0.0894036043820882	0.272448888206302	-0.0550151127206612	0.727551111793698	09160 Human Diseases	09161 Cancer: overview	05230 Central carbon metabolism in cancer [PATH:ko05230]	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	lightblue	notsig	0	0.05
K00850	1600.62521321345	1662.54693493364	-0.195939301872618	0.172335380389947	-0.0547595295413649	0.827664619610053	09160 Human Diseases	09161 Cancer: overview	05230 Central carbon metabolism in cancer [PATH:ko05230]	pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]	lightblue	notsig	0	0.05
K04368	0.495980023714463	0.512092706075088	-0.0385383864989186	0.204481717468765	-0.0461229951644141	0.795518282531235	09160 Human Diseases	09161 Cancer: overview	05230 Central carbon metabolism in cancer [PATH:ko05230]	MAP2K1, MEK1; mitogen-activated protein kinase kinase 1 [EC:2.7.12.2]	lightblue	notsig	0	0.05
K04371	0.498721449920983	0.512092706075088	-0.0317763935130608	0.193780953963513	-0.038170756001712	0.806219046036487	09160 Human Diseases	09161 Cancer: overview	05230 Central carbon metabolism in cancer [PATH:ko05230]	ERK, MAPK1_3; mitogen-activated protein kinase 1/3 [EC:2.7.11.24]	lightblue	notsig	0	0.05
K05616	4.44073228864104	4.49830318483379	-0.0103926318770165	0.17713850672275	-0.0185833013146568	0.82286149327725	09160 Human Diseases	09161 Cancer: overview	05230 Central carbon metabolism in cancer [PATH:ko05230]	SLC1A5; solute carrier family 1 (neutral amino acid transporter), member 5	lightblue	notsig	0	0.05
K01834	995.043970987224	948.213138355251	0.150027223778884	0.0237279163098583	0.0695488966958674	0.976272083690142	09160 Human Diseases	09161 Cancer: overview	05230 Central carbon metabolism in cancer [PATH:ko05230]	PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]	pink	notsig	1	-0.05
K12077	0.612299946298574	0.522459577190672	0.170590864086514	0.0456074386787012	0.228919136673781	0.954392561321299	09160 Human Diseases	09161 Cancer: overview	05230 Central carbon metabolism in cancer [PATH:ko05230]	PDK1; pyruvate dehydrogenase kinase isoform 1 [EC:2.7.11.2]	pink	notsig	1	-0.05
K00873	2134.99391600217	1530.58247077468	1.3228179779948	0.935479749854701	0.480151176479859	0.0645202501452991	09160 Human Diseases	09161 Cancer: overview	05230 Central carbon metabolism in cancer [PATH:ko05230]	PK, pyk; pyruvate kinase [EC:2.7.1.40]	pink	notsig	1	-0.05
K07827	0.716549197362288	0.512092706075088	0.356072274257061	0.261233967133548	0.484660751109569	0.738766032866452	09160 Human Diseases	09161 Cancer: overview	05230 Central carbon metabolism in cancer [PATH:ko05230]	KRAS, KRAS2; GTPase KRas	pink	notsig	1	-0.05
K01425	655.567913267981	386.512007648456	0.688577206660627	0.682639733156538	0.76223200893858	0.317360266843462	09160 Human Diseases	09161 Cancer: overview	05230 Central carbon metabolism in cancer [PATH:ko05230]	glsA, GLS; glutaminase [EC:3.5.1.2]	pink	notsig	1	-0.05
K07203	1.04115904730317	0.606533420115034	0.481922992935365	0.432913677770219	0.779531425915429	0.567086322229781	09160 Human Diseases	09161 Cancer: overview	05230 Central carbon metabolism in cancer [PATH:ko05230]	MTOR, FRAP, TOR; serine/threonine-protein kinase mTOR [EC:2.7.11.1]	pink	notsig	1	-0.05
K14634	1.12087489223263	0.505838365988414	0.436243021633573	0.375016575885357	1.14787688962669	0.624983424114643	09160 Human Diseases	09161 Cancer: overview	05230 Central carbon metabolism in cancer [PATH:ko05230]	TIGAR; fructose-2,6-bisphosphatase [EC:3.1.3.46]	pink	notsig	1	-0.05
K00844	60.9005997134425	5.10249021907519	2.16263938139683	0.997983253975754	3.57718301813538	0.00201674602424606	09160 Human Diseases	09161 Cancer: overview	05230 Central carbon metabolism in cancer [PATH:ko05230]	HK; hexokinase [EC:2.7.1.1]	red	sig	1	-0.05
