##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	F-50179271-003S_S30_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	12133899
Sequences flagged as poor quality	0
Sequence length	35-151
%GC	46
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	38.08802545661539	40.0	40.0	40.0	40.0	40.0
2	37.24720256860552	40.0	40.0	40.0	24.0	40.0
3	36.47740812742878	40.0	40.0	40.0	24.0	40.0
4	36.85988271370975	40.0	40.0	40.0	24.0	40.0
5	36.6457332469967	40.0	40.0	40.0	24.0	40.0
6	36.776392650045956	40.0	40.0	40.0	24.0	40.0
7	36.80257846220741	40.0	40.0	40.0	24.0	40.0
8	36.68308809888726	40.0	40.0	40.0	24.0	40.0
9	36.72398311540256	40.0	40.0	40.0	24.0	40.0
10-14	36.687370316828904	40.0	40.0	40.0	24.0	40.0
15-19	36.644273468898994	40.0	40.0	40.0	24.0	40.0
20-24	36.60123401389776	40.0	40.0	40.0	24.0	40.0
25-29	36.68655086052719	40.0	40.0	40.0	24.0	40.0
30-34	36.68419656369316	40.0	40.0	40.0	24.0	40.0
35-39	36.544504462729144	40.0	40.0	40.0	24.0	40.0
40-44	36.613583526978616	40.0	40.0	40.0	24.0	40.0
45-49	36.49842991320692	40.0	40.0	40.0	24.0	40.0
50-54	36.41780809609321	40.0	40.0	40.0	24.0	40.0
55-59	36.32163724510189	40.0	40.0	40.0	24.0	40.0
60-64	36.34815493720383	40.0	40.0	40.0	24.0	40.0
65-69	36.2847354348017	40.0	40.0	40.0	24.0	40.0
70-74	36.20967038692449	40.0	40.0	40.0	24.0	40.0
75-79	36.163974771269295	40.0	40.0	40.0	24.0	40.0
80-84	36.02304676520989	40.0	40.0	40.0	24.0	40.0
85-89	35.92581437435875	40.0	40.0	40.0	24.0	40.0
90-94	35.86398378604906	40.0	40.0	40.0	24.0	40.0
95-99	35.75438206141111	40.0	40.0	40.0	24.0	40.0
100-104	35.30864712468277	40.0	40.0	40.0	24.0	40.0
105-109	35.41508869454013	40.0	40.0	40.0	24.0	40.0
110-114	35.23879822652384	40.0	40.0	40.0	24.0	40.0
115-119	35.042570516600264	40.0	36.8	40.0	24.0	40.0
120-124	34.81392115700104	40.0	24.0	40.0	24.0	40.0
125-129	34.466254902925456	40.0	24.0	40.0	21.6	40.0
130-134	34.07881473413721	40.0	24.0	40.0	14.4	40.0
135-139	34.04808388477769	40.0	24.0	40.0	12.0	40.0
140-144	33.7086000874417	40.0	24.0	40.0	12.0	40.0
145-149	33.34269376411236	40.0	24.0	40.0	12.0	40.0
150-151	32.95285608713846	40.0	24.0	40.0	12.0	40.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.5541401943105271
1101	2	-0.5110691432037271
1101	3	-0.49364031281191245
1101	4	-0.5490100185925186
1101	5	-0.43817765942243625
1101	6	-1.0646912183643806
1101	7	-0.6512098465982419
1101	8	-0.47788725174062563
1101	9	-0.6762123250375822
1101	10-14	-0.558804846304163
1101	15-19	-0.6578755657747379
1101	20-24	-0.6743607238858473
1101	25-29	-0.6790434120617448
1101	30-34	-0.8095599576619179
1101	35-39	-0.7148087101028366
1101	40-44	-0.6562846489407406
1101	45-49	-0.7662091537783837
1101	50-54	-0.7867409929458518
1101	55-59	-0.7395036882858008
1101	60-64	-0.8399402442878028
1101	65-69	-0.9115363253683952
1101	70-74	-0.8916745884937143
1101	75-79	-0.8913084202389427
1101	80-84	-0.7474099653626993
1101	85-89	-0.7783952167231405
1101	90-94	-0.8465983377025452
1101	95-99	-0.891548431646136
1101	100-104	-0.632553026345029
1101	105-109	-0.8691391405648687
1101	110-114	-0.9365996676712101
1101	115-119	-0.8714435355447279
1101	120-124	-0.927742204107652
1101	125-129	-0.7835123557121335
1101	130-134	-0.7968779276491489
1101	135-139	-0.9926344711289232
1101	140-144	-1.0938014412961294
1101	145-149	-1.1316203170842911
1101	150-151	-1.1765827696715832
1102	1	-0.1699753261079593
1102	2	-0.2644111475659443
1102	3	-0.352506886108074
1102	4	-0.32487547236517145
1102	5	-0.338747298993475
1102	6	-0.3249186129279593
1102	7	-0.25913552400783857
1102	8	-0.1029044788571909
1102	9	-0.014903118180221497
1102	10-14	-0.23777552369858057
1102	15-19	-0.32480493589060444
1102	20-24	-0.29612047623387383
1102	25-29	-0.2513893476379039
1102	30-34	-0.37427943045195633
1102	35-39	-0.4007660748605133
1102	40-44	-0.33734254770473626
1102	45-49	-0.3254632198584346
1102	50-54	-0.4645877333523387
1102	55-59	-0.3193984397770109
1102	60-64	-0.5250107312458709
1102	65-69	-0.5035150100589689
1102	70-74	-0.49498750247186507
1102	75-79	-0.6208792681771556
1102	80-84	-0.4936266916272345
1102	85-89	-0.45424675140456117
1102	90-94	-0.609580109759726
1102	95-99	-0.7525934108440495
1102	100-104	-0.4231271441634732
1102	105-109	-0.6599555785518589
1102	110-114	-0.8660317138238938
1102	115-119	-0.8943362079891486
1102	120-124	-1.0300128457204423
1102	125-129	-0.9638598320715559
1102	130-134	-0.934886939394886
1102	135-139	-1.3749486135483124
1102	140-144	-1.5061841326929937
1102	145-149	-1.4480739800714133
1102	150-151	-1.6141068813171344
1103	1	-0.15810360095823484
1103	2	-0.22163888248591235
1103	3	-0.17039952347728615
1103	4	-0.27322062977042094
1103	5	-0.32743570709650527
1103	6	-0.30450962461011954
1103	7	-0.15988474558736243
1103	8	-0.2430423834906037
1103	9	-0.2838040387583547
1103	10-14	-0.267271806962988
1103	15-19	-0.2972564162985165
