column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	11079503	2	40	414356280	37.40	40	40	40	0	40	40	972233	2999542	6451289	569659	86780	11079503
2	11079503	2	40	402803794	36.36	40	40	40	0	40	40	991364	3297380	3165165	3513865	111729	11079503
3	11079503	2	40	399407028	36.05	40	40	40	0	40	40	1508827	4104093	2739295	2640508	86780	11079503
4	11079503	2	40	404103368	36.47	40	40	40	0	40	40	2228585	3121748	3266091	2376299	86780	11079503
5	11079503	2	40	404140332	36.48	40	40	40	0	40	40	2614660	2318913	3395578	2663572	86780	11079503
6	11079503	2	40	410409748	37.04	40	40	40	0	40	40	3039295	2393584	2906269	2653575	86780	11079503
7	11079503	2	40	412321992	37.21	40	40	40	0	40	40	2479872	2006221	2175323	4331307	86780	11079503
8	11079503	2	40	414442404	37.41	40	40	40	0	40	40	2579337	2630437	2154788	3628161	86780	11079503
9	11079503	2	40	415074896	37.46	40	40	40	0	40	40	2178435	2594127	2227898	3992263	86780	11079503
10	11079503	2	40	414980956	37.45	40	40	40	0	40	40	3599347	1891661	2394401	3107314	86780	11079503
11	11079503	2	40	415843350	37.53	40	40	40	0	40	40	2733674	2533876	2840663	2855293	115997	11079503
12	11079503	2	40	417331004	37.67	40	40	40	0	40	40	2278733	2685262	2825238	3203490	86780	11079503
13	11079503	2	40	418118360	37.74	40	40	40	0	40	40	2612039	2314058	2787231	3279395	86780	11079503
14	11079503	2	40	418011444	37.73	40	40	40	0	40	40	2554263	2372791	2546558	3519111	86780	11079503
15	11079503	2	40	418325336	37.76	40	40	40	0	40	40	2441620	2506329	2499655	3545119	86780	11079503
16	11079503	2	40	419197452	37.84	40	40	40	0	40	40	2601829	2533552	2605533	3251809	86780	11079503
17	11079503	2	40	418932092	37.81	40	40	40	0	40	40	2588208	2605328	2496150	3303037	86780	11079503
18	11079503	2	40	419128760	37.83	40	40	40	0	40	40	2390058	2873675	2625929	3103061	86780	11079503
19	11079503	2	40	419434152	37.86	40	40	40	0	40	40	2427658	2765259	2911994	2887812	86780	11079503
20	11079503	2	40	418371624	37.76	40	40	40	0	40	40	2398609	2813310	2717325	3063479	86780	11079503
21	11079503	2	40	417871828	37.72	40	40	40	0	40	40	2366558	3049660	2667446	2909059	86780	11079503
22	11079503	2	40	418529116	37.78	40	40	40	0	40	40	2665356	2799124	2723074	2805169	86780	11079503
23	11079503	2	40	419434984	37.86	40	40	40	0	40	40	2579992	2565560	2885361	2961774	86816	11079503
24	11079503	2	40	419546080	37.87	40	40	40	0	40	40	2415369	2698906	3003905	2874357	86966	11079503
25	11079503	2	40	419375620	37.85	40	40	40	0	40	40	2598941	2619406	2964643	2809489	87024	11079503
26	11079503	2	40	419129608	37.83	40	40	40	0	40	40	2584859	2641692	2832610	2933236	87106	11079503
27	11079503	2	40	418914086	37.81	40	40	40	0	40	40	2389694	2925190	2723614	2953800	87205	11079503
28	11079503	2	40	418617544	37.78	40	40	40	0	40	40	2368051	2784053	2688678	3151373	87348	11079503
29	11079503	2	40	418585948	37.78	40	40	40	0	40	40	2483855	2600088	2466959	3441129	87472	11079503
30	11079503	2	40	418369628	37.76	40	40	40	0	40	40	2315751	2775660	2484077	3416367	87648	11079503
31	11079503	2	40	418362444	37.76	40	40	40	0	40	40	2436389	2562161	2689772	3303359	87822	11079503
32	11079503	2	40	416486820	37.59	40	40	40	0	40	40	2437200	2895071	2498985	3160213	88034	11079503
33	11079503	2	40	412441584	37.23	40	40	40	0	40	40	2297397	3056164	2495562	3035428	194952	11079503
34	11079503	2	40	416733096	37.61	40	40	40	0	40	40	2444552	2832494	2683610	3030141	88706	11079503
35	11079503	2	40	417524410	37.68	40	40	40	0	40	40	2433036	2676568	2869350	3011450	89099	11079503
36	10989997	12	40	415754260	37.83	40	40	40	0	40	40	2373701	2863339	2938810	2814147	0	11079503
37	10989464	12	40	415867436	37.84	40	40	40	0	40	40	2800444	2613542	2824280	2751198	0	11079503
38	10989045	12	40	415308012	37.79	40	40	40	0	40	40	2826726	2664625	2586071	2911623	0	11079503
39	10988515	12	40	414643544	37.73	40	40	40	0	40	40	2518117	2906336	2711218	2852844	0	11079503
40	10988006	12	40	414479540	37.72	40	40	40	0	40	40	2417515	3045980	2753203	2771308	0	11079503
41	10987544	12	40	414134184	37.69	40	40	40	0	40	40	2379549	2955599	2598409	3053987	0	11079503
42	10987035	12	40	413993752	37.68	40	40	40	0	40	40	2383676	2921260	2712022	2970077	0	11079503
43	10986491	12	40	413851396	37.67	40	40	40	0	40	40	2439609	2806922	2925013	2814947	0	11079503
44	10985920	12	40	413987932	37.68	40	40	40	0	40	40	2364518	2887125	2703971	3030306	0	11079503
45	10985361	12	40	413990456	37.69	40	40	40	0	40	40	2536519	3042831	2496213	2909798	0	11079503
46	10984763	12	40	413815400	37.67	40	40	40	0	40	40	2553503	2844925	2535215	3051120	0	11079503
47	10984177	12	40	413503076	37.65	40	40	40	0	40	40	2395737	2874869	2636329	3077242	0	11079503
48	10983470	12	40	413200944	37.62	40	40	40	0	40	40	2382962	2992292	2764026	2844190	0	11079503
49	10982732	2	40	411974434	37.51	40	40	40	0	40	40	2377241	2740175	3044839	2786372	34105	11079503
50	10981953	12	40	413656240	37.67	40	40	40	0	40	40	2544731	2710218	2823353	2903651	0	11079503
51	10981111	12	40	413530924	37.66	40	40	40	0	40	40	2410699	2889959	2809484	2870969	0	11079503
52	10980171	12	40	413115256	37.62	40	40	40	0	40	40	2357798	2796625	3040773	2784975	0	11079503
53	10979057	12	40	412139900	37.54	40	40	40	0	40	40	2346119	2943082	2740723	2949133	0	11079503
54	10977918	12	40	412091952	37.54	40	40	40	0	40	40	2255177	3019147	2594726	3108868	0	11079503
55	10976718	12	40	412614452	37.59	40	40	40	0	40	40	2329209	2868687	2690869	3087953	0	11079503
