"genes","cluster"
"K00031",8
"K00060",8
"K00172",8
"K00174",8
"K00186",8
"K00187",8
"K00188",8
"K00208",8
"K00234",8
"K00240",8
"K00262",8
"K00281",8
"K00533",8
"K00548",8
"K00605",8
"K00634",8
"K00669",8
"K00675",8
"K00857",8
"K00929",8
"K00951",8
"K01008",8
"K01012",8
"K01034",8
"K01035",8
"K01040",8
"K01135",8
"K01159",8
"K01186",8
"K01241",8
"K01259",8
"K01262",8
"K01448",8
"K01480",8
"K01489",8
"K01599",8
"K01647",8
"K01704",8
"K01733",8
"K01752",8
"K01759",8
"K01768",8
"K01815",8
"K01874",8
"K02001",8
"K02099",8
"K02117",8
"K02118",8
"K02121",8
"K02122",8
"K02124",8
"K02170",8
"K02224",8
"K02231",8
"K02233",8
"K02377",8
"K02410",8
"K02416",8
"K02417",8
"K02421",8
"K02471",8
"K02535",8
"K02560",8
"K02777",8
"K02854",8
"K03098",8
"K03308",8
"K03315",8
"K03412",8
"K03473",8
"K03474",8
"K03517",8
"K03561",8
"K03615",8
"K03616",8
"K03658",8
"K04041",8
"K04045",8
"K04061",8
"K04087",8
"K04487",8
"K04754",8
"K05367",8
"K05658",8
"K05662",8
"K05795",8
"K05805",8
"K05814",8
"K05825",8
"K05847",8
"K05910",8
"K06148",8
"K06201",8
"K06209",8
"K06284",8
"K06412",8
"K06606",8
"K06871",8
"K06897",8
"K06973",8
"K06975",8
"K07080",8
"K07127",8
"K07148",8
"K07150",8
"K07175",8
"K07279",8
"K07305",8
"K07322",8
"K07335",8
"K07391",8
"K07405",8
"K07460",8
"K07462",8
"K07484",8
"K07548",8
"K07576",8
"K07647",8
"K07659",8
"K07667",8
"K07669",8
"K07684",8
"K07714",8
"K07715",8
"K07717",8
"K07719",8
"K07735",8
"K07791",8
"K07799",8
"K08325",8
"K08358",8
"K08655",8
"K08660",8
"K08961",8
"K09759",8
"K09760",8
"K09800",8
"K09816",8
"K10693",8
"K10901",8
"K11250",8
"K11356",8
"K11357",8
"K11637",8
"K11751",8
"K11904",8
"K11927",8
"K12252",8
"K12292",8
"K12340",8
"K12371",8
"K12506",8
"K12528",8
"K12941",8
"K13787",8
"K13940",8
"K13985",8
"K14051",8
"K15584",8
"K15652",8
"K15870",8
"K16092",8
"K16138",8
"K16345",8
"K16870",8
"K16963",8
"K17318",8
"K17744",8
"K17879",8
"K17898",8
"K17999",8
"K18210",8
"K18675",8
"K19271",8
"K19692",8
"K19820",8
"K20140",8
"K20525",8
"K20859",8
"K20884",8
"K20903",8
"K21399",8
"K21400",8
"K21672",8
"K21701",8
"K22293",8
"K22405",8
"K22857",8
"K22934",8
"K23242",8
"K23753",8
"K23989",8
"K24698",8
"K24935",8
"K24936",8
"K25027",8
"K25495",8
"K25676",8
"K25677",8
"K26041",8
