"genes","cluster"
"K00681",16
"K00854",16
"K01051",16
"K01487",16
"K01495",16
"K01734",16
"K01777",16
"K01866",16
"K01869",16
"K02079",16
"K02123",16
"K02315",16
"K02338",16
"K02477",16
"K02939",16
"K03269",16
"K03523",16
"K03550",16
"K03551",16
"K03577",16
"K03660",16
"K03784",16
"K03816",16
"K03827",16
"K04477",16
"K04761",16
"K04772",16
"K05311",16
"K05499",16
"K05685",16
"K05777",16
"K06972",16
"K07139",16
"K07709",16
"K07722",16
"K08255",16
"K08602",16
"K08968",16
"K09696",16
"K09825",16
"K10036",16
"K11991",16
"K13280",16
"K13509",16
"K13922",16
"K15024",16
"K16787",16
"K17870",16
"K18367",16
"K18907",16
"K18908",16
"K19354",16
"K19545",16
"K19817",16
"K22015",16
"K22900",16
"K24948",16
"K26139",16
"K26141",16
"K26937",16
