"genes","cluster"
"K00024",10
"K00063",10
"K00098",10
"K00324",10
"K00548",10
"K00700",10
"K00702",10
"K00728",10
"K00798",10
"K00821",10
"K00826",10
"K00930",10
"K01138",10
"K01182",10
"K01185",10
"K01187",10
"K01195",10
"K01216",10
"K01262",10
"K01342",10
"K01356",10
"K01440",10
"K01447",10
"K01507",10
"K01581",10
"K01619",10
"K01631",10
"K01663",10
"K01796",10
"K01817",10
"K01847",10
"K01897",10
"K01899",10
"K02009",10
"K02050",10
"K02079",10
"K02190",10
"K02232",10
"K02259",10
"K02265",10
"K02334",10
"K02337",10
"K02388",10
"K02389",10
"K02422",10
"K02455",10
"K02496",10
"K02523",10
"K02898",10
"K03037",10
"K03194",10
"K03415",10
"K03427",10
"K03496",10
"K03546",10
"K03551",10
"K03614",10
"K03615",10
"K03654",10
"K03719",10
"K03760",10
"K04480",10
"K04565",10
"K04761",10
"K04770",10
"K05286",10
"K05568",10
"K05571",10
"K05606",10
"K05613",10
"K06178",10
"K06200",10
"K06295",10
"K06311",10
"K06334",10
"K06400",10
"K06411",10
"K06665",10
"K06689",10
"K06897",10
"K06910",10
"K07484",10
"K07493",10
"K07588",10
"K07792",10
"K09141",10
"K09468",10
"K09486",10
"K09553",10
"K09810",10
"K09824",10
"K09960",10
"K09969",10
"K10413",10
"K10877",10
"K11535",10
"K11808",10
"K12137",10
"K12856",10
"K13199",10
"K13479",10
"K14154",10
"K14415",10
"K14430",10
"K14447",10
"K15579",10
"K16055",10
"K16090",10
"K16294",10
"K16846",10
"K17363",10
"K17417",10
"K17680",10
"K17881",10
"K17948",10
"K18118",10
"K18430",10
"K18561",10
"K18593",10
"K18798",10
"K18946",10
"K19624",10
"K19801",10
"K19845",10
"K19881",10
"K20456",10
"K21079",10
"K21217",10
"K21238",10
"K21313",10
"K21397",10
"K21502",10
"K21525",10
"K21527",10
"K21530",10
"K21936",10
"K22110",10
"K22133",10
"K22255",10
"K22336",10
"K22721",10
"K22933",10
"K23147",10
"K23271",10
"K24736",10
"K25379",10
"K26768",10
"K26943",10
"K26945",10
"K26951",10
"K27502",10
