"genes","cluster"
"K00005",4
"K00018",4
"K00025",4
"K00058",4
"K00091",4
"K00096",4
"K00101",4
"K00102",4
"K00111",4
"K00112",4
"K00113",4
"K00130",4
"K00138",4
"K00145",4
"K00157",4
"K00176",4
"K00179",4
"K00185",4
"K00205",4
"K00219",4
"K00251",4
"K00253",4
"K00282",4
"K00283",4
"K00294",4
"K00315",4
"K00318",4
"K00322",4
"K00330",4
"K00331",4
"K00337",4
"K00338",4
"K00341",4
"K00350",4
"K00351",4
"K00406",4
"K00423",4
"K00451",4
"K00527",4
"K00529",4
"K00532",4
"K00545",4
"K00556",4
"K00601",4
"K00602",4
"K00633",4
"K00647",4
"K00652",4
"K00674",4
"K00682",4
"K00699",4
"K00710",4
"K00720",4
"K00729",4
"K00757",4
"K00797",4
"K00803",4
"K00833",4
"K00853",4
"K00889",4
"K00944",4
"K00949",4
"K00956",4
"K00957",4
"K00966",4
"K00972",4
"K00992",4
"K01023",4
"K01042",4
"K01044",4
"K01079",4
"K01082",4
"K01087",4
"K01095",4
"K01118",4
"K01130",4
"K01131",4
"K01132",4
"K01134",4
"K01146",4
"K01160",4
"K01163",4
"K01165",4
"K01178",4
"K01236",4
"K01273",4
"K01278",4
"K01288",4
"K01297",4
"K01360",4
"K01364",4
"K01369",4
"K01373",4
"K01419",4
"K01421",4
"K01425",4
"K01441",4
"K01446",4
"K01476",4
"K01499",4
"K01505",4
"K01517",4
"K01554",4
"K01557",4
"K01580",4
"K01612",4
"K01646",4
"K01687",4
"K01698",4
"K01699",4
"K01727",4
"K01731",4
"K01761",4
"K01783",4
"K01805",4
"K01816",4
"K01840",4
"K01843",4
"K01844",4
"K01851",4
"K01880",4
"K01881",4
"K01890",4
"K01912",4
"K01933",4
"K01935",4
"K01945",4
"K01965",4
"K01991",4
"K02011",4
"K02014",4
"K02065",4
"K02078",4
"K02106",4
"K02120",4
"K02178",4
"K02179",4
"K02188",4
"K02189",4
"K02199",4
"K02234",4
"K02274",4
"K02275",4
"K02349",4
"K02398",4
"K02424",4
"K02426",4
"K02431",4
"K02437",4
"K02443",4
"K02445",4
"K02456",4
"K02499",4
"K02505",4
"K02517",4
"K02520",4
"K02527",4
"K02549",4
"K02557",4
"K02566",4
"K02573",4
"K02574",4
"K02601",4
"K02605",4
"K02619",4
"K02635",4
"K02688",4
"K02689",4
"K02725",4
"K02737",4
"K02775",4
"K02779",4
"K02804",4
"K02822",4
"K02849",4
"K02864",4
"K02874",4
"K02876",4
"K02879",4
"K02881",4
"K02890",4
"K02907",4
"K02913",4
"K02935",4
"K02945",4
"K02961",4
"K02963",4
"K02990",4
"K03012",4
"K03039",4
"K03072",4
"K03074",4
"K03075",4
"K03076",4
"K03088",4
"K03104",4
"K03164",4
"K03188",4
"K03229",4
"K03260",4
"K03277",4
"K03278",4
"K03288",4
"K03291",4
"K03305",4
"K03310",4
"K03311",4
"K03317",4
"K03330",4
"K03351",4
"K03382",4
"K03385",4
"K03394",4
