"genes","cluster"
"K00013",5
"K00016",5
"K00052",5
"K00147",5
"K00265",5
"K00349",5
"K00354",5
"K00432",5
"K00574",5
"K00657",5
"K00667",5
"K00690",5
"K00694",5
"K00765",5
"K00791",5
"K00820",5
"K00919",5
"K00973",5
"K00982",5
"K01193",5
"K01220",5
"K01247",5
"K01415",5
"K01447",5
"K01507",5
"K01534",5
"K01624",5
"K01649",5
"K01662",5
"K01673",5
"K01677",5
"K01686",5
"K01689",5
"K01696",5
"K01710",5
"K01770",5
"K01780",5
"K01790",5
"K01803",5
"K01810",5
"K01817",5
"K01838",5
"K01868",5
"K01875",5
"K01895",5
"K01914",5
"K01924",5
"K01934",5
"K01950",5
"K02115",5
"K02316",5
"K02346",5
"K02528",5
"K02536",5
"K02757",5
"K02771",5
"K02796",5
"K03100",5
"K03281",5
"K03320",5
"K03426",5
"K03451",5
"K03531",5
"K03564",5
"K03578",5
"K03579",5
"K03601",5
"K03640",5
"K03664",5
"K03686",5
"K03701",5
"K03707",5
"K03768",5
"K03832",5
"K04043",5
"K04076",5
"K04763",5
"K04771",5
"K05349",5
"K05516",5
"K05540",5
"K05657",5
"K06180",5
"K06223",5
"K06331",5
"K06419",5
"K07001",5
"K07075",5
"K07098",5
"K07240",5
"K07458",5
"K07507",5
"K07642",5
"K07694",5
"K08156",5
"K08483",5
"K08676",5
"K08681",5
"K08884",5
"K09013",5
"K09015",5
"K09074",5
"K09704",5
"K10110",5
"K10231",5
"K10536",5
"K10730",5
"K10794",5
"K10805",5
"K10900",5
"K11073",5
"K11384",5
"K11717",5
"K12599",5
"K13290",5
"K13444",5
"K13993",5
"K14052",5
"K14196",5
"K14326",5
"K14676",5
"K15050",5
"K15519",5
"K15535",5
"K15711",5
"K16921",5
"K17235",5
"K17686",5
"K18206",5
"K18334",5
"K18799",5
"K18955",5
"K19002",5
"K19405",5
"K19950",5
"K20108",5
"K20271",5
"K20469",5
"K20615",5
"K21064",5
"K21363",5
"K21464",5
"K21507",5
"K22044",5
"K22103",5
"K22522",5
"K23257",5
"K23258",5
"K23734",5
"K24205",5
"K25026",5
"K25262",5
"K26604",5
