"genes","cluster"
"K00631",22
"K00678",22
"K00756",22
"K00772",22
"K00788",22
"K00794",22
"K00830",22
"K00883",22
"K00907",22
"K01092",22
"K01119",22
"K01141",22
"K01155",22
"K01198",22
"K01278",22
"K01423",22
"K01495",22
"K01760",22
"K01856",22
"K01988",22
"K02035",22
"K02044",22
"K02169",22
"K02199",22
"K02204",22
"K02448",22
"K02490",22
"K02521",22
"K02617",22
"K02903",22
"K02904",22
"K02939",22
"K02954",22
"K02968",22
"K02988",22
"K03075",22
"K03277",22
"K03449",22
"K03566",22
"K03582",22
"K03625",22
"K03743",22
"K04432",22
"K04486",22
"K04719",22
"K04774",22
"K05016",22
"K05334",22
"K05396",22
"K05655",22
"K05694",22
"K05698",22
"K05800",22
"K05836",22
"K05880",22
"K06042",22
"K06131",22
"K06404",22
"K06668",22
"K06858",22
"K06929",22
"K07147",22
"K07339",22
"K07452",22
"K07464",22
"K07479",22
"K07516",22
"K07603",22
"K07653",22
"K07798",22
"K08007",22
"K08137",22
"K08152",22
"K08159",22
"K08300",22
"K08306",22
"K08311",22
"K08587",22
"K08717",22
"K08722",22
"K08732",22
"K08765",22
"K09117",22
"K09118",22
"K09729",22
"K09777",22
"K09787",22
"K09951",22
"K09997",22
"K10091",22
"K10109",22
"K10530",22
"K10615",22
"K10943",22
"K10955",22
"K11108",22
"K11194",22
"K11634",22
"K11784",22
"K11855",22
"K11923",22
"K11952",22
"K12298",22
"K12790",22
"K12903",22
"K12989",22
"K13034",22
"K13048",22
"K13058",22
"K13509",22
"K13549",22
"K13772",22
"K13887",22
"K13925",22
"K13981",22
"K14080",22
"K14107",22
"K14120",22
"K14267",22
"K14697",22
"K14761",22
"K14777",22
"K14778",22
"K15583",22
"K15689",22
"K15876",22
"K15895",22
"K15973",22
"K16122",22
"K16124",22
"K16137",22
"K16238",22
"K16557",22
"K16628",22
"K16649",22
"K16653",22
"K16694",22
"K17202",22
"K18052",22
"K18070",22
"K18325",22
"K18326",22
"K18764",22
"K18917",22
"K19064",22
"K19108",22
"K19182",22
"K19235",22
"K19272",22
"K19338",22
"K19418",22
"K19719",22
"K20260",22
"K20438",22
"K20498",22
"K20532",22
"K21365",22
"K21379",22
"K21416",22
"K21673",22
"K22199",22
"K22318",22
"K22407",22
"K22408",22
"K22589",22
"K22606",22
"K22831",22
"K22901",22
"K23025",22
"K23329",22
"K23778",22
"K23869",22
"K23970",22
"K24131",22
"K24620",22
"K24687",22
"K25230",22
"K25280",22
"K25422",22
"K25543",22
"K25658",22
"K25673",22
"K26063",22
"K26078",22
"K26252",22
