mrna_F.50179058.003S mrna_F.50179060.003S mrna_F.50179062.003S mrna_F.50179066.003S mrna_F.50179064.003S mrna_F.50179068.003S mrna_F.50179071.003S mrna_F.50179073.003S mrna_F.50179075.003S mrna_F.50179077.003S mrna_F.50179079.003S mrna_F.50179081.003S mrna_F.50179083.003S mrna_F.50179085.003S mrna_F.50179087.003S mrna_F.50179089.003S mrna_F.50179091.003S mrna_F.50179093.003S mrna_F.50179095.003S mrna_F.50179097.003S mrna_F.50179099.003S mrna_F.50179101.003S mrna_F.50179105.003S mrna_F.50179106.003S mrna_F.50179108.003S mrna_F.50179110.003S mrna_F.50179112.003S mrna_F.50179114.003S mrna_F.50179116.003S mrna_F.50179118.003S mrna_F.50179120.003S mrna_F.50179122.003S mrna_F.50179123.003S mrna_F.50179125.003S mrna_F.50179127.003S mrna_F.50179129.003S mrna_F.50179131.003S mrna_F.50179133.003S mrna_F.50179135.003S mrna_F.50179137.003S mrna_F.50179139.003S mrna_F.50179141.003S mrna_F.50179143.003S mrna_F.50179145.003S mrna_F.50179147.003S mrna_F.50179149.003S mrna_F.50179151.003S mrna_F.50179153.003S mrna_F.50179155.003S mrna_F.50179157.003S mrna_F.50179159.003S mrna_F.50179161.003S mrna_F.50179163.003S mrna_F.50179165.003S mrna_F.50179167.003S mrna_F.50179169.003S mrna_F.50179171.003S mrna_F.50179173.003S mrna_F.50179176.003S mrna_F.50179182.003S mrna_F.50179184.003S mrna_F.50179186.003S mrna_F.50179188.003S mrna_F.50179190.003S mrna_F.50179192.003S mrna_F.50179194.003S mrna_F.50179196.003S mrna_F.50179198.003S mrna_F.50179200.003S mrna_F.50179201.003S mrna_F.50179203.003S mrna_F.50179205.003S mrna_F.50179207.003S mrna_F.50179209.003S mrna_F.50179211.003S mrna_F.50179213.003S mrna_F.50179215.003S mrna_F.50179217.003S mrna_F.50179219.003S mrna_F.50179221.003S mrna_F.50179223.003S mrna_F.50179225.003S mrna_F.50179227.003S mrna_F.50179229.003S mrna_F.50179231.003S mrna_F.50179233.003S mrna_F.50179235.003S mrna_F.50179237.003S mrna_F.50179239.003S mrna_F.50179241.003S mrna_F.50179243.003S mrna_F.50179245.003S mrna_F.50179247.003S mrna_F.50179249.003S mrna_F.50179251.003S mrna_F.50179253.003S mrna_F.50179255.003S mrna_F.50179257.003S mrna_F.50179259.003S mrna_F.50179261.003S mrna_F.50179263.003S mrna_F.50179265.003S mrna_F.50179267.003S mrna_F.50179269.003S mrna_F.50179271.003S
K00001 0 0 0 0 0 1 9 3 3 1 0 0 6 20 5 1 3 0 0 1 2 0 9 2 0 0 10 4 1 2 0 14 5 4 5 0 0 43 4 0 4 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 3 2 14 0 0 0 0 0 0 0 1 1 3 0 0 3 0 2 0 7 0 0 1 1 3 2 0 3 1 0 0 1 1 0 2 0 0 1 1 0 0 2 0 0 0 0 4 0 0
K00002 8 5 8 11 8 8 14 6 12 5 2 17 13 16 7 12 7 9 9 4 9 12 7 7 11 3 8 4 35 4 3 4 18 16 9 8 8 32 6 10 10 33.01 7 2 1 2 10 10 5 3 7 24 76.76 2 3 21 14 8 13 7 16 4 31.7 2 4 49.01 6 6 3 44 1 7 5 7 8 8 17.89 17 16 5 26 5 7 5 5 22 65.39 7 6.01 13 10 3 19 5 37.02 28.98 0 8 2 17 6 58.14 9.01 20 5
K00003 360.24 635.87 243.96 268.12 301.73 273.75 225.43 97.64 162.25 66.5 105.39 141.5 453.25 142.57 175.99 177.46 98.32 248.76 264.82 282.05 254.99 255.48 249.84 138.64 91 85.85 220.25 223.34 196.05 210.41 205.75 152.99 285.26 162.39 173.88 362.47 125.22 196.06 125.97 161.85 173.25 607.17 214.73 442.23 377.06 94.24 368.01 187.03 319.5 98.21 361.65 357.7 486.51 119.14 413.77 527.06 459.32 100.92 596.31 462.72 1169.75 252.62 175.71 220.95 380.3 449.27 375.02 395.26 94.62 606.23 193.91 459.65 315.25 391.37 523.72 152.47 251.42 227.53 447.19 281.89 498.25 119.77 221.36 321.49 121.23 430.35 513.65 614.07 360.94 468.04 320.56 227.97 379.86 464.28 267.29 470.41 656.45 246.81 192.01 417.78 203.44 483.28 357.11 242.44 428.55
K00004 2 1 63 48.99 0 14 82 103 0 0 48 0 1 2 36 18 40 18 0 41 8 8 24 26 2 60 6 6 8 9 18 166 0 61 11 7 24 0 11 105 78 1 8 1 15 0 1 1 6 0 2 1 0 2 0 0 0 3 10 0 0 8 0 8 1 0 2 0 1 2 2 3 0 9 2 62 1 1 4 1 0 0 21 1 0 0 0 10 50 0 1 4 2 2 0 0 0.7 1 0 10 0 0 15 1 1.4
K00005 22 76.2 250 106.98 8 72 91.4 52 30 28 24 41.94 140 47.78 74 24 40 90 59.34 60 102 78.96 18 26 32 38 52 82 46 58 58 42 41.5 46 42 250.1 44 71.98 103.14 38 23.38 64 14 21.72 100 10 92 33.18 102 4 69.22 74 28 14 73.38 80.48 98 26 67.42 113.1 118 62 15.98 55.72 74 16 40.44 74 51.94 48 78 130 74.28 98 50 47.64 46 22 237.74 103.2 80 43.12 70 117.74 24 99.32 18 38 92 58 54.4 102 133.2 56.82 20 106 58 61.56 22 52 46 30 40.96 10 70
K00006 0 0 9 2 0 0 8 12 0 0 1 0 0 0 5 6 8 2 0 3 2 3 2 3 0 8 1 0 1 3 2 13 0 12 2 0 4 0 2 20 9 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 1 1 0 0 0 0 2 0 5 0 0 1 0 0 0 2 0 0 0 0 2 3 0 0 0 0 4 0 0 0 0 0 1 0 0 0 0 0
K00008 40.37 246.98 55 97.14 68.86 51.33 75.36 26.12 82.06 10.98 27.62 88.7 146.53 47 62.01 64.36 49.54 127.22 152 101.56 71.08 167.2 147 67.33 55.39 22 46.24 30 111.28 116.8 98.22 53.24 61.54 33.52 63.77 197.24 97.81 144.99 70.99 65.21 77.36 105.78 96.69 168.73 74.18 17.03 48.99 21.29 92.32 28.13 45.77 75.76 131.58 65.8 86.48 39.23 126.63 58.32 158.41 218.92 213.98 52.57 56.01 59.02 56.46 98.22 454.14 66.3 72.83 165.98 28.5 92.18 87.91 96.67 176.66 59.48 68.34 72.56 94.52 53.59 218.99 58.89 71.39 101.77 19 296.53 323.36 119.6 65.27 282.34 176.83 93.4 104.21 80.11 102.09 251.01 187.49 141.1 22 124.5 37.81 407.58 261.6 170.73 315.84
K00009 0 0 3 12 0 0 0 0 0 0 0 0 3 0 76 0 22 85 207 0 5 0 6 0 0 0 0 1 0 1 0 4 3 0 0 23 0 1 27 0 1 0 1 0 1 0 6 0 1 0 0 41 2 2 0 2 3 0 1 11 1 1 0 0 6 0 4 0 2 3 33 4 1 16 9 2 0 0 0 6 4 1 0 0 0 1 1 0 1 0 4 56 3 0 4 3 1 3 1 2 0 12 1 0 2
K00010 25 197.96 598.88 315.13 21 57.88 251 84 33 102.98 39 83 489.24 53.29 144.25 47 96.72 676.9 122.02 117.79 90 169.08 45 328.94 28 186.94 153 142 99 119 254.11 290.96 215 68.36 125.12 289 37 105 297.54 104 64 241.3 49 77.58 259.42 16 276.7 22 442.23 8 180.84 198 23 94.06 102.29 85 88 68 189 256.97 327.14 196.91 24 40.56 241.64 61 244.77 82 221 367 148.3 123 146 726.56 109.28 107 61 17.28 267.8 160 157.16 40 106 165.25 25.44 305 79 295.27 181 42 84 144 286.99 189.72 16 362.89 298 104 34 118.93 64 116 123 40 182
K00011 2 25 0 29 0 1 10 26 5 2 8 19 5 2 37 11 36 18 25 48 30 9 0 11 4 22 12 17 5 49 16 20 0 16 9 3 38 1 19 1 16 0 0 0 33 3 0 10 7 9 15 48 1 2 0 0 1 2 1 0 1 4 0 9 35 0 21 63 13 14 19 42 1 29 2 19 12 3 65 61 8 8 6 46 6 5 0 1 22 4 0 45 62 5 22 2 1 1 0 3 0 0 1 0 0
