mrna_F.50179058.003S mrna_F.50179060.003S mrna_F.50179062.003S mrna_F.50179066.003S mrna_F.50179064.003S mrna_F.50179068.003S mrna_F.50179071.003S mrna_F.50179073.003S mrna_F.50179075.003S mrna_F.50179077.003S mrna_F.50179079.003S mrna_F.50179081.003S mrna_F.50179083.003S mrna_F.50179085.003S mrna_F.50179087.003S mrna_F.50179089.003S mrna_F.50179091.003S mrna_F.50179093.003S mrna_F.50179095.003S mrna_F.50179097.003S mrna_F.50179099.003S mrna_F.50179101.003S mrna_F.50179103.003S mrna_F.50179105.003S mrna_F.50179106.003S mrna_F.50179108.003S mrna_F.50179110.003S mrna_F.50179112.003S mrna_F.50179114.003S mrna_F.50179116.003S mrna_F.50179118.003S mrna_F.50179120.003S mrna_F.50179122.003S mrna_F.50179123.003S mrna_F.50179125.003S mrna_F.50179127.003S mrna_F.50179129.003S mrna_F.50179131.003S mrna_F.50179133.003S mrna_F.50179135.003S mrna_F.50179137.003S mrna_F.50179139.003S mrna_F.50179141.003S mrna_F.50179143.003S mrna_F.50179145.003S mrna_F.50179147.003S mrna_F.50179149.003S mrna_F.50179151.003S mrna_F.50179153.003S mrna_F.50179155.003S mrna_F.50179157.003S mrna_F.50179159.003S mrna_F.50179161.003S mrna_F.50179163.003S mrna_F.50179165.003S mrna_F.50179167.003S mrna_F.50179169.003S mrna_F.50179171.003S mrna_F.50179173.003S mrna_F.50179176.003S mrna_F.50179182.003S mrna_F.50179184.003S mrna_F.50179186.003S mrna_F.50179188.003S mrna_F.50179190.003S mrna_F.50179192.003S mrna_F.50179194.003S mrna_F.50179196.003S mrna_F.50179198.003S mrna_F.50179200.003S mrna_F.50179201.003S mrna_F.50179203.003S mrna_F.50179205.003S mrna_F.50179207.003S mrna_F.50179209.003S mrna_F.50179211.003S mrna_F.50179213.003S mrna_F.50179215.003S mrna_F.50179217.003S mrna_F.50179219.003S mrna_F.50179221.003S mrna_F.50179223.003S mrna_F.50179225.003S mrna_F.50179227.003S mrna_F.50179229.003S mrna_F.50179231.003S mrna_F.50179233.003S mrna_F.50179235.003S mrna_F.50179237.003S mrna_F.50179239.003S mrna_F.50179241.003S mrna_F.50179243.003S mrna_F.50179245.003S mrna_F.50179247.003S mrna_F.50179249.003S mrna_F.50179251.003S mrna_F.50179253.003S mrna_F.50179255.003S mrna_F.50179257.003S mrna_F.50179259.003S mrna_F.50179261.003S mrna_F.50179263.003S mrna_F.50179265.003S mrna_F.50179267.003S mrna_F.50179269.003S mrna_F.50179271.003S
K00001 0 0 0 0 0 0.76 4.47 2.65 2.8 1.75 0 0 2.13 18.31 3.46 1.36 1.94 0 0 0.59 1.13 0 11.33 9.99 1.57 0 0 6.97 2.64 0.66 1.2 0 10.31 3.05 2.75 3.32 0 0 27.54 2.41 0 3.98 0 0 0 1.58 0 0 0 1.15 0 0 0 0 0 0 0 1.68 3.32 8.38 0 0 0 0 0 0 0 0.54 0.75 4.37 0 0 1.42 0 1.14 0 5.04 0 0 0.5 1.28 1.71 2.07 0 2.04 4.64 0 0 0.7 0.58 0 2.04 0 0 0.79 0.6 0 0 3.81 0 0 0 0 2.4 0 0
K00002 5.51 2.18 2.82 3.01 3 7.94 3.23 1.85 12.24 2.78 2.85 5.81 3.08 11.31 3.25 5.59 3.73 3.3 4.49 1.58 3.36 4.03 13.33 4.11 2.03 9.33 0.9 1.61 0.52 15.81 0.97 1.53 2.35 4.95 8.95 9.52 1.69 5.08 15.08 0.68 3.66 4.37 8.48 4.83 0.78 0.66 3.16 8.32 10.79 1.64 2.62 2.61 10.51 31.18 2.66 2 6.05 4.56 9.11 4.45 5.47 4.38 1.72 32.07 4.98 2.2 21.35 2.54 1.84 10.09 8.33 0.22 2.35 2.94 2.88 3.26 5.21 11.52 8.27 7.46 2.22 10.29 3.56 12.15 1.75 7 9.24 18.91 2.2 4.59 4.93 10.5 1.58 7.53 1.93 16.3 13.33 0 2.95 0.84 5.52 3.79 10.41 3 8.84 1.39
K00003 86.36 80.25 57.89 50.44 36.18 129.52 38.06 40.54 61.53 44.96 70.55 53.42 84.61 61.33 60.44 142.84 38.79 116.21 106.23 77.69 84.72 42.95 80.6 58.1 67.82 75.22 31.47 75.58 50.38 70.33 70.33 45.19 29.63 63.72 50.14 36.57 61.02 71.34 80.47 24.07 62.96 95.39 60.91 75.44 64.21 68.97 50.04 58.26 142.39 46.43 115.77 84.76 61.79 218.14 43.88 67.88 42.89 87.22 65.41 109.36 85.99 49.09 69.4 73.29 77.26 59.54 70.27 59.07 98.41 36.55 111 71.26 90.85 82.91 56.18 56.22 42.68 65.86 64.91 75.34 52.58 82.43 48.15 75.64 84.77 97.05 51.14 66.51 65.38 60.78 54.28 57.07 63.37 81.86 88.45 178.13 57.08 108.96 33.41 58.46 62.49 33 52.52 61.75 68.66 70.63
K00004 0.36 3.51 7.87 5.64 0 3.27 9.87 17.66 0 0 23.48 0 0.06 1.77 5.72 3.01 6.21 2.13 0 6.36 1.27 0.8 0.88 5.99 5.73 0.38 9.46 1.17 0.81 0.87 0.89 2.21 23.48 0 7.33 1.54 4.44 3.49 0 1.27 18.38 14.59 0.23 3.08 0.73 3.01 0 0.81 0.17 0.62 0 0.25 0.12 0 0.61 0 0 0 1.03 1.04 0 0 1.52 0 1.39 0.13 0 0.24 0 0.25 0.47 0.36 0.28 0 0.98 0.37 9.43 0.19 0.25 1.29 0.15 0 0 3.22 0.15 0 0 0 1.21 5.41 0 0.13 6.32 0.35 0.48 0 0 0.07 0.12 0 1.74 0 0 1.75 0.15 0.72
K00005 3.28 14.38 10.7 11.1 0.58 10.78 7.54 9 6.14 9.06 7.58 3.98 9.14 8.9 8.22 2.92 3.72 6.32 5.34 6.44 12.14 6.06 13.9 5.86 2.86 6.8 10.26 11.68 10.62 4.04 3.56 4.82 8.86 3.88 4.46 4.88 28.26 4.84 23.74 8.32 3.64 3.7 19.14 2.88 6.36 12.34 2.14 13.9 5.24 18.24 0.82 7.8 8.08 3.48 2.44 7.46 5.66 12.5 8.06 7.24 11.46 10.92 10.34 2.14 7.94 6.72 1.92 3.9 7.5 11.3 3.78 20.54 13.04 8.48 11.42 5.58 7.02 4.12 4.6 20.2 14.38 8.88 9.78 6.24 12.78 3.62 8.02 3.54 3.14 8.96 6.36 15.54 27.12 10.7 15 2.06 12.76 13.3 6 4.48 3.72 6.54 3.22 5.28 1.56 9.58
K00006 0 0 2.13 0.17 0 0 1.55 3.09 0 0 0.25 0 0 0 0.67 1.01 1.87 0.19 0 0.26 1.43 0.42 0.36 0.33 0.35 0 0.84 0.27 0 0.1 3.04 0.18 1.58 0 3.06 0.39 0 0.39 0 0.18 4.12 6.93 0 0.15 0 0 0 0 0.12 0.21 0 0 0 0 0 0 0 0 0 0.09 0 0 0.24 0 0 0 0 0 0.11 3.29 0 0 0 0 0.16 0 0.52 0 0 0.19 0 0 0 0.2 0 0 0 0 0.37 0.26 0 0 0 0 2.64 0 0 0 0 0 0.09 0 0 0 0 0
K00008 26.93 80.52 12.79 36.77 29.01 24.52 22.26 13.65 34.82 14.95 45.88 25.23 32.72 26.31 21.12 20.05 16.81 39.7 61.31 27.36 13.98 68.7 23.21 40.08 31.46 29.66 10.29 15.55 13.1 33.67 25.28 33.74 20.07 16.77 11.61 26.27 40.07 28.9 53.5 23.8 17.36 35.79 40.6 66.54 78.79 36.73 13.04 21.06 11.11 35.31 37.45 22.02 22.27 43.42 58.59 32.75 10.53 36.32 44.89 46.07 71.14 41 21.67 36.64 29.6 21.51 40.5 140.55 14.87 66.33 29.28 24.47 21.22 29.61 31.11 62.3 14.35 20.26 35.9 31.51 23.78 78.05 33.21 30.91 45.83 13.95 81.85 115.99 72.26 22.5 72.17 63.75 34.71 38.36 28.85 36.16 95.27 52.76 43.68 17.35 44.41 40.78 68.75 92.81 74.1 81.67
K00009 0 0 0.22 0.74 0 0 0 0 0 0 0 0 2.74 0 5.68 0 1.54 20.29 16.87 0 0.3 0 0 5.37 0 0 0 0 0.38 0 0.06 0 0.32 1.3 0 0 6.54 0 0.67 1.74 0 0.56 0 0.12 0 0.09 0 3.61 0 0.06 0 0 2.39 1.11 0.39 0 2.9 1.39 0 0.07 4.48 0.04 0.1 0 0 0.39 0 0.27 0 0.38 0.92 8.92 0.2 0.08 0.98 0.59 0.15 0 0 0 0.59 0.28 0.13 0 0 0 2.44 0.58 0 3.54 0 0.26 7.19 0.18 0 0.26 1.84 1.11 0.21 3.62 1.32 0 0.7 0.08 0 1.22
K00010 3.81 14.7 48.36 27.52 2.19 6.84 23.62 12.72 6.48 24.12 11.96 8.26 22.79 10.44 15.2 7.66 8.77 57.09 12.53 11.54 6.56 18.41 4.41 9.13 32.76 5.87 19.61 17.94 19.41 8.24 10.12 20.16 35 17.37 10.79 12.6 26.46 3.36 14.95 25.32 11.82 11.94 17.05 8.26 8.79 32.83 4.47 23.92 2.54 34.43 2.25 18.9 18.56 3.54 23.36 11.43 7.39 7.25 21.49 16.37 28.64 15.25 21.74 3.37 6.97 19.48 4.77 11.95 10.05 54.44 16.49 24.27 9.22 16.32 53.44 13.6 11.03 11.52 3.44 28.09 38.52 14.15 7.43 25.15 20.07 9.71 25.1 3 10.6 15 4 11.07 12.25 26.16 17.22 3.02 27.71 10.98 9.71 5.12 11.9 16.91 5.68 16 5.99 13.24
K00011 0.13 1.71 0 1.35 0 1.32 0.41 1.89 0.39 0.29 1.09 1.01 1.99 0.15 3.26 4.45 1.9 0.94 1.54 2.29 1.37 0.42 1.8 0 0.71 0.37 1.29 0.69 0.91 0.27 2.39 0.82 1.21 0 0.89 0.5 4.95 2.04 2.85 1.96 0.06 1.22 0 0 0 2.14 0.33 0 0.64 0.32 1.22 0.79 2.11 0.05 0.26 0 0 0.99 3.06 0.76 0 0.03 0.27 0 0.59 1.71 0 1.57 3.86 1.62 0.9 1.71 1.61 0.06 1.3 1.97 1.09 0.83 1.71 2.6 4.42 0.38 0.7 0.33 2.6 3.42 0.21 0 0.06 1.05 0.17 0 2.73 2.76 0.21 1.07 0.09 1.28 0.71 0 0.15 0 0 0.05 0 0
