id	Prefeed_HiCHO_mean	T1_LoCHO_PROT_mean	theta	prob	log2FC	P	level_1	level_2	level_3	ko_name	color	sig	label_hjust	label_nudge
K03331	2.68936492946422	11.5953156841116	-1.21706954815113	0.910007956094432	-2.10820466008265	0.0899920439055684	09100 Metabolism	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	DCXR; L-xylulose reductase [EC:1.1.1.10]	lightblue	notsig	0	0.05
K01805	215.938022525591	540.742790793516	-1.39762239868743	0.953294249391459	-1.3243252297119	0.046705750608541	09100 Metabolism	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	xylA; xylose isomerase [EC:5.3.1.5]	blue	sig	0	0.05
K21030	1.90496301566635	4.32354549113926	-0.630791071969678	0.644032502359472	-1.1824518805526	0.355967497640528	09100 Metabolism	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	tarI; D-ribitol-5-phosphate cytidylyltransferase [EC:2.7.7.40]	lightblue	notsig	0	0.05
K08092	0.951237479104401	2.15064612040584	-0.604705053457666	0.622843382989358	-1.17689269098079	0.377156617010642	09100 Metabolism	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	dlgD; 3-dehydro-L-gulonate 2-dehydrogenase [EC:1.1.1.130]	lightblue	notsig	0	0.05
K01184	1.0570312463308	2.08585086231979	-0.542026191140935	0.548072782451433	-0.980617985222536	0.451927217548567	09100 Metabolism	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	E3.2.1.15; polygalacturonase [EC:3.2.1.15]	lightblue	notsig	0	0.05
K01628	90.4444199278607	173.959312497234	-1.29566897736508	0.941159733127568	-0.943646510285139	0.0588402668724318	09100 Metabolism	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	fucA; L-fuculose-phosphate aldolase [EC:4.1.2.17]	lightblue	notsig	0	0.05
K05351	12.7300627151411	23.4131895219362	-0.725702068091594	0.742138758432767	-0.879081955929777	0.257861241567233	09100 Metabolism	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	E1.1.1.9; D-xylulose reductase [EC:1.1.1.9]	lightblue	notsig	0	0.05
K00008	32.9497356244809	53.6850418753953	-0.647434139059458	0.664083202759183	-0.704253280135633	0.335916797240817	09100 Metabolism	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]	lightblue	notsig	0	0.05
K00848	380.211919304075	602.078443654333	-1.37445142105676	0.951470066711067	-0.663147705325182	0.0485299332889334	09100 Metabolism	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	rhaB; rhamnulokinase [EC:2.7.1.5]	blue	sig	0	0.05
K01818	415.075266152387	655.954735541078	-1.0793641370992	0.89359625239976	-0.660223298441969	0.10640374760024	09100 Metabolism	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	fucI; L-fucose/D-arabinose isomerase [EC:5.3.1.25 5.3.1.3]	lightblue	notsig	0	0.05
K01804	1604.75222304602	2523.78636362507	-1.14849757390577	0.896813912501937	-0.653239233035596	0.103186087498063	09100 Metabolism	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	araA; L-arabinose isomerase [EC:5.3.1.4]	lightblue	notsig	0	0.05
K01051	112.23671137174	166.961525193781	-0.716834895986474	0.740799092620949	-0.572971042157382	0.259200907379051	09100 Metabolism	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	E3.1.1.11; pectinesterase [EC:3.1.1.11]	lightblue	notsig	0	0.05
K00002	4.14219540951527	6.06030064905119	-0.354826330035599	0.384129004388505	-0.548993752181693	0.615870995611495	09100 Metabolism	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	lightblue	notsig	0	0.05
K01731	1.01413706940318	1.48250621700722	-0.191776109257482	0.173728866127067	-0.547785496597375	0.826271133872933	09100 Metabolism	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	pelW; pectate disaccharide-lyase [EC:4.2.2.9]	lightblue	notsig	0	0.05
K14273	16.549559374373	22.4350218591002	-0.255358910970418	0.221277879262334	-0.438959783329538	0.778722120737666	09100 Metabolism	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	xdh; D-xylose 1-dehydrogenase (NADP+, D-xylono-1,5-lactone-forming) [EC:1.1.1.179]	lightblue	notsig	0	0.05
K00879	0.618637911730251	0.804719609613118	-0.213101788522366	0.17348155548966	-0.379390940865652	0.82651844451034	09100 Metabolism	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	fucK; L-fuculokinase [EC:2.7.1.51]	lightblue	notsig	0	0.05
K03078	0.68760712047778	0.875468172983903	-0.161216849208759	0.198579912210803	-0.348470246828433	0.801420087789197	09100 Metabolism	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	ulaD, sgaH, sgbH; 3-dehydro-L-gulonate-6-phosphate decarboxylase [EC:4.1.1.85]	lightblue	notsig	0	0.05
K09988	0.50882206623612	0.611352034002908	-0.181844586879103	0.179909729369189	-0.264842126666258	0.820090270630811	09100 Metabolism	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	lyxA; D-lyxose ketol-isomerase [EC:5.3.1.15]	lightblue	notsig	0	0.05
K00854	450.677344110568	527.093942400925	-0.543030681092463	0.549142818532024	-0.225965185556596	0.450857181467976	09100 Metabolism	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	xylB, XYLB; xylulokinase [EC:2.7.1.17]	lightblue	notsig	0	0.05
K01783	594.023618515391	629.187057864235	-0.184669756417312	0.177777076492925	-0.0829687013244103	0.822222923507075	09100 Metabolism	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	rpe, RPE; ribulose-phosphate 3-epimerase [EC:5.1.3.1]	lightblue	notsig	0	0.05
K01629	250.47198702482	265.054380047988	-0.106185348343677	0.259970769279551	-0.0816391211302245	0.740029230720449	09100 Metabolism	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	rhaD; rhamnulose-1-phosphate aldolase [EC:4.1.2.19]	lightblue	notsig	0	0.05
K01815	317.236768861068	335.626176960771	-0.150279967156894	0.205942071970134	-0.0812952481139568	0.794057928029866	09100 Metabolism	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	kduI; 4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase [EC:5.3.1.17]	lightblue	notsig	0	0.05
K00012	166.099748324098	175.661959836849	-0.119192122843258	0.237745454429358	-0.0807519175948284	0.762254545570642	09100 Metabolism	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	lightblue	notsig	0	0.05
K22186	0.49815483607419	0.512092706075088	-0.033142505795571	0.195804978465884	-0.0398107811209408	0.804195021534116	09100 Metabolism	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	xylD; xylonate dehydratase [EC:4.2.1.82]	lightblue	notsig	0	0.05
K08322	0.533875709073474	0.546929776400509	-0.0273062127353745	0.187747596766913	-0.0348516996242613	0.812252403233087	09100 Metabolism	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	rspB; L-gulonate 5-dehydrogenase [EC:1.1.1.380]	lightblue	notsig	0	0.05
K17738	0.498902171776873	0.506877102518117	-0.0189616304135552	0.17975628849227	-0.0228790440456397	0.82024371150773	09100 Metabolism	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	ARD; D-arabinitol 2-dehydrogenase [EC:1.1.1.250]	lightblue	notsig	0	0.05
K17818	0.502952321597201	0.508548769429059	-0.013228033848893	0.17734340149983	-0.0159644907823034	0.82265659850017	09100 Metabolism	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	ARD1; D-arabinitol dehydrogenase (NADP+) [EC:1.1.1.287]	lightblue	notsig	0	0.05
K08323	0.506920455215506	0.511589159630485	-0.0107939587210008	0.177137659818694	-0.013226313790877	0.822862340181306	09100 Metabolism	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	rspA, manD; mannonate dehydratase [EC:4.2.1.8]	lightblue	notsig	0	0.05
K24442	0.502952321597201	0.500375268627645	0.00603011339061643	0.184083263719629	0.00741115813316251	0.815916736280371	09100 Metabolism	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	xacA; D-xylose 1-dehydrogenase (NADP+, D-xylono-1,4-lactone-forming) [EC:1.1.1.424]	pink	notsig	1	-0.05
K17743	0.529635290293881	0.512092706075088	0.0386101549864469	0.13352531644606	0.0485942436135536	0.86647468355394	09100 Metabolism	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	XYL1, XYRA; D-xylose reductase [EC:1.1.1.307 1.1.1.430 1.1.1.431]	pink	notsig	1	-0.05
K14275	0.934309111171211	0.896533896550625	0.037343897372174	0.138764617340647	0.0595418066682349	0.861235382659353	09100 Metabolism	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	xad; D-xylonate dehydratase [EC:4.2.1.82]	pink	notsig	1	-0.05
K01730	0.861882515251946	0.814223293116692	0.0472940462792403	0.093368386216219	0.0820667320103401	0.906631613783781	09100 Metabolism	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	ogl; oligogalacturonide lyase [EC:4.2.2.6]	pink	notsig	1	-0.05
K00041	1667.3122978731	1453.18424843778	0.534472513933783	0.493843685935099	0.198306722226281	0.506156314064901	09100 Metabolism	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	uxaB; tagaturonate reductase [EC:1.1.1.58]	pink	notsig	1	-0.05
K00880	8.27770428960648	7.05831614733934	0.142678749011277	0.0229903735530714	0.229906660083385	0.977009626446929	09100 Metabolism	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	lyxK; L-xylulokinase [EC:2.7.1.53]	pink	notsig	1	-0.05
