id	Prefeed_HiCHO_mean	T1_LoCHO_PROT_mean	theta	prob	log2FC	P	level_1	level_2	level_3	ko_name	color	sig	label_hjust	label_nudge
K00161	8.00011868978852	277.690040328382	-2.20212776782128	0.99328601950993	-5.11731021996057	0.0067139804900701	09130 Environmental Information Processing	09132 Signal transduction	04066 HIF-1 signaling pathway [PATH:ko04066]	PDHA, pdhA; pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1]	blue	sig	0	0.05
K00162	2.27379736659146	4.93010228875989	-0.556002368009209	0.564661790350185	-1.11651388797721	0.435338209649815	09130 Environmental Information Processing	09132 Signal transduction	04066 HIF-1 signaling pathway [PATH:ko04066]	PDHB, pdhB; pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]	lightblue	notsig	0	0.05
K00134	4643.04315042614	6796.9724688118	-1.10735303701007	0.893781479484631	-0.549821590431519	0.106218520515369	09130 Environmental Information Processing	09132 Signal transduction	04066 HIF-1 signaling pathway [PATH:ko04066]	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]	lightblue	notsig	0	0.05
K00016	2319.70832225765	2790.86438273868	-0.592528579382197	0.614657753278435	-0.266768607055939	0.385342246721565	09130 Environmental Information Processing	09132 Signal transduction	04066 HIF-1 signaling pathway [PATH:ko04066]	LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]	lightblue	notsig	0	0.05
K00850	1600.62521321345	1662.54693493364	-0.195939301872618	0.172335380389947	-0.0547595295413649	0.827664619610053	09130 Environmental Information Processing	09132 Signal transduction	04066 HIF-1 signaling pathway [PATH:ko04066]	pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]	lightblue	notsig	0	0.05
K19662	0.494683883884658	0.512092706075088	-0.0414035500173099	0.209369563640076	-0.0498981111394601	0.790630436359924	09130 Environmental Information Processing	09132 Signal transduction	04066 HIF-1 signaling pathway [PATH:ko04066]	PRKCB; classical protein kinase C beta type [EC:2.7.11.13]	lightblue	notsig	0	0.05
K04368	0.495980023714463	0.512092706075088	-0.0385383864989186	0.204481717468765	-0.0461229951644141	0.795518282531235	09130 Environmental Information Processing	09132 Signal transduction	04066 HIF-1 signaling pathway [PATH:ko04066]	MAP2K1, MEK1; mitogen-activated protein kinase kinase 1 [EC:2.7.12.2]	lightblue	notsig	0	0.05
K04371	0.498721449920983	0.512092706075088	-0.0317763935130608	0.193780953963513	-0.038170756001712	0.806219046036487	09130 Environmental Information Processing	09132 Signal transduction	04066 HIF-1 signaling pathway [PATH:ko04066]	ERK, MAPK1_3; mitogen-activated protein kinase 1/3 [EC:2.7.11.24]	lightblue	notsig	0	0.05
K03868	0.489867207074833	0.500799166747638	-0.026699346478592	0.187007472709302	-0.0318414445802238	0.812992527290698	09130 Environmental Information Processing	09132 Signal transduction	04066 HIF-1 signaling pathway [PATH:ko04066]	RBX1, ROC1; E3 ubiquitin-protein ligase RBX1 [EC:2.3.2.32]	lightblue	notsig	0	0.05
K04692	0.502952321597201	0.509584289235479	-0.0157042301864696	0.178066054484525	-0.0188991559361054	0.821933945515475	09130 Environmental Information Processing	09132 Signal transduction	04066 HIF-1 signaling pathway [PATH:ko04066]	STAT3; signal transducer and activator of transcription 3	lightblue	notsig	0	0.05
K04498	0.502952321597201	0.50021444822663	0.00656927082374979	0.184351082358401	0.00787491424240066	0.815648917641599	09130 Environmental Information Processing	09132 Signal transduction	04066 HIF-1 signaling pathway [PATH:ko04066]	EP300, CREBBP, KAT3; E1A/CREB-binding protein [EC:2.3.1.48]	pink	notsig	1	-0.05
K05133	0.502952321597201	0.50021444822663	0.00656927082374979	0.184351082358401	0.00787491424240066	0.815648917641599	09130 Environmental Information Processing	09132 Signal transduction	04066 HIF-1 signaling pathway [PATH:ko04066]	IFNGR2; interferon gamma receptor 2	pink	notsig	1	-0.05
