id	Prefeed_HiCHO_mean	T1_LoCHO_PROT_mean	theta	prob	log2FC	P	level_1	level_2	level_3	ko_name	color	sig	label_hjust	label_nudge
K00161	8.00011868978852	277.690040328382	-2.20212776782128	0.99328601950993	-5.11731021996057	0.0067139804900701	09100 Metabolism	09101 Carbohydrate metabolism	00620 Pyruvate metabolism [PATH:ko00620]	PDHA, pdhA; pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1]	blue	sig	0	0.05
K00627	18.3446895628071	555.551973963973	-3.06691419251412	1	-4.92048749147946	0	09100 Metabolism	09101 Carbohydrate metabolism	00620 Pyruvate metabolism [PATH:ko00620]	DLAT, aceF, pdhC; pyruvate dehydrogenase E2 component (dihydrolipoyllysine-residue acetyltransferase) [EC:2.3.1.12]	blue	sig	0	0.05
K01595	161.069126249515	1274.31948081602	-3.0297195512075	1	-2.98397512700009	2.22044604925031e-16	09100 Metabolism	09101 Carbohydrate metabolism	00620 Pyruvate metabolism [PATH:ko00620]	ppc; phosphoenolpyruvate carboxylase [EC:4.1.1.31]	blue	sig	0	0.05
K02160	4.04740907018293	19.7491457751706	-1.24700979021882	0.927158298581304	-2.28671967849353	0.0728417014186962	09100 Metabolism	09101 Carbohydrate metabolism	00620 Pyruvate metabolism [PATH:ko00620]	accB, bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein	lightblue	notsig	0	0.05
K04072	983.845971295201	4391.292838793	-2.11437483351956	0.995333463914992	-2.15814137229901	0.00466653608500778	09100 Metabolism	09101 Carbohydrate metabolism	00620 Pyruvate metabolism [PATH:ko00620]	adhE; acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]	blue	sig	0	0.05
K18881	62.3473441087003	247.297576568577	-2.02134073429122	0.988280875458193	-1.98784809177021	0.0117191245418067	09100 Metabolism	09101 Carbohydrate metabolism	00620 Pyruvate metabolism [PATH:ko00620]	DJ1D; D-lactate dehydratase [EC:4.2.1.130]	blue	sig	0	0.05
K01963	16.8848828784278	50.5026494122365	-1.02905326644236	0.873735244674366	-1.5806269027054	0.126264755325634	09100 Metabolism	09101 Carbohydrate metabolism	00620 Pyruvate metabolism [PATH:ko00620]	accD; acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15]	lightblue	notsig	0	0.05
K01638	4.70862184763784	13.5498326061915	-0.51196465220455	0.514642219169469	-1.52489826006003	0.485357780830531	09100 Metabolism	09101 Carbohydrate metabolism	00620 Pyruvate metabolism [PATH:ko00620]	aceB, glcB; malate synthase [EC:2.3.3.9]	lightblue	notsig	0	0.05
K01007	290.565262481822	809.822718465346	-1.54110349972631	0.939751864612552	-1.47874387951434	0.0602481353874483	09100 Metabolism	09101 Carbohydrate metabolism	00620 Pyruvate metabolism [PATH:ko00620]	pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]	lightblue	notsig	0	0.05
K22212	21.4115192082013	55.0301568747746	-0.777562370236358	0.773807507932298	-1.36183527869938	0.226192492067702	09100 Metabolism	09101 Carbohydrate metabolism	00620 Pyruvate metabolism [PATH:ko00620]	mleA, mleS; malolactic enzyme [EC:4.1.1.101]	lightblue	notsig	0	0.05
K04021	65.3659571756109	161.562383492853	-1.23782499384109	0.921599579045639	-1.30547995937603	0.0784004209543611	09100 Metabolism	09101 Carbohydrate metabolism	00620 Pyruvate metabolism [PATH:ko00620]	eutE; aldehyde dehydrogenase	lightblue	notsig	0	0.05
K00121	17.0696677808539	41.5165870922687	-0.829922241548377	0.789210655377591	-1.2822528704251	0.210789344622409	09100 Metabolism	09101 Carbohydrate metabolism	00620 Pyruvate metabolism [PATH:ko00620]	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	lightblue	notsig	0	0.05
K00162	2.27379736659146	4.93010228875989	-0.556002368009209	0.564661790350185	-1.11651388797721	0.435338209649815	09100 Metabolism	09101 Carbohydrate metabolism	00620 Pyruvate metabolism [PATH:ko00620]	PDHB, pdhB; pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]	lightblue	notsig	0	0.05
