id	Prefeed_HiCHO_mean	T2_LoCHO_PROT_mean	theta	prob	log2FC	P	level1	level2	level3	ko_name	color	sig	label_hjust	label_nudge
K14205	3.36430185542152	56.0280555305934	-2.33791344539741	0.999999999999997	-4.05777036478878	2.99760216648792e-15	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	mprF, fmtC; phosphatidylglycerol lysyltransferase [EC:2.3.2.3]	blue	sig	0	0.05
K03740	0.956766461921476	4.89869255918032	-0.931515278119974	0.916671667100589	-2.3561580273267	0.0833283328994107	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	dltD; D-alanine transfer protein	lightblue	notsig	0	0.05
K19591	1.99394178870807	7.77047729352937	-0.97680726315107	0.930918104134705	-1.96237992520565	0.0690818958652948	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	cueR; MerR family transcriptional regulator, copper efflux regulator	lightblue	notsig	0	0.05
K18221	4.73149722036569	18.2455033398311	-0.675699763496219	0.839678929477253	-1.94717226830359	0.160321070522747	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	tetX; tetracycline 11a-monooxygenase, tetracycline resistance protein [EC:1.14.13.231]	lightblue	notsig	0	0.05
K18234	8.377317152917	31.1889806468152	-1.03132810047565	0.947211672386393	-1.89647620373127	0.0527883276136073	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	vat; virginiamycin A acetyltransferase [EC:2.3.1.-]	lightblue	notsig	0	0.05
K18907	0.761711275576998	2.60968296042113	-0.832062079544458	0.888400173201486	-1.77655839326706	0.111599826798514	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	norG; GntR family transcriptional regulator, regulator for abcA and norABC	lightblue	notsig	0	0.05
K19883	2.69870976827498	8.63413484542335	-1.07985122848032	0.952674040685628	-1.67778179351696	0.0473259593143721	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	aacA-aphD; bifunctional aminoglycoside 6'-N-acetyltransferase / aminoglycoside 2''-phosphotransferase [EC:2.3.1.82 2.7.1.190]	blue	sig	0	0.05
K18591	1.97746273980076	5.26019229908934	-0.835007460699492	0.8890174153153	-1.41146503062168	0.1109825846847	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	dfrD, dhfr; dihydrofolate reductase (trimethoprim resistance protein) [EC:1.5.1.3]	lightblue	notsig	0	0.05
K18938	0.552575902744451	1.42554277469244	-0.730607999673607	0.865947284390593	-1.3672667750697	0.134052715609407	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	qacR; TetR/AcrR family transcriptional regulator, repressor for qacA	lightblue	notsig	0	0.05
K18344	0.524147747546103	1.33374067938505	-0.738751884426768	0.867684521088717	-1.34743274583663	0.132315478911283	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	01504 Antimicrobial resistance genes [BR:ko01504]	vanRB, vanR, vanRD; two-component system, OmpR family, response regulator VanR	lightblue	notsig	0	0.05
