id	Prefeed_HiCHO_mean	T1_LoCHO_PROT_mean	theta	prob	log2FC	P	level_1	level_2	level_3	ko_name	color	sig	label_hjust	label_nudge
K04072	983.845971295201	4391.292838793	-2.11437483351956	0.995333463914992	-2.15814137229901	0.00466653608500778	09100 Metabolism	09105 Amino acid metabolism	00350 Tyrosine metabolism [PATH:ko00350]	adhE; acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]	blue	sig	0	0.05
K13574	1.35251713655352	5.31874829565268	-0.787740967677504	0.778526592540135	-1.97543989121319	0.221473407459865	09100 Metabolism	09105 Amino acid metabolism	00350 Tyrosine metabolism [PATH:ko00350]	hcxB; hydroxycarboxylate dehydrogenase B [EC:1.1.1.237 1.1.1.-]	lightblue	notsig	0	0.05
K00121	17.0696677808539	41.5165870922687	-0.829922241548377	0.789210655377591	-1.2822528704251	0.210789344622409	09100 Metabolism	09105 Amino acid metabolism	00350 Tyrosine metabolism [PATH:ko00350]	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	lightblue	notsig	0	0.05
K13953	95.5303610412315	166.292109431429	-0.706775301034356	0.737122641902908	-0.799688492139344	0.262877358097092	09100 Metabolism	09105 Amino acid metabolism	00350 Tyrosine metabolism [PATH:ko00350]	adhP; alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]	lightblue	notsig	0	0.05
K11358	144.957715553141	237.37892828035	-0.954588294900528	0.832587671510673	-0.711559750437957	0.167412328489327	09100 Metabolism	09105 Amino acid metabolism	00350 Tyrosine metabolism [PATH:ko00350]	yhdR; aspartate aminotransferase [EC:2.6.1.1]	lightblue	notsig	0	0.05
K18606	0.511426377392803	0.818351122224803	-0.395653406251812	0.424698502575782	-0.6781934084782	0.575301497424218	09100 Metabolism	09105 Amino acid metabolism	00350 Tyrosine metabolism [PATH:ko00350]	HPPR; hydroxyphenylpyruvate reductase [EC:1.1.1.237]	lightblue	notsig	0	0.05
K02510	0.74492438759232	1.17282852339899	-0.328899426771867	0.356303550144104	-0.654826196040809	0.643696449855896	09100 Metabolism	09105 Amino acid metabolism	00350 Tyrosine metabolism [PATH:ko00350]	hpaI, hpcH; 4-hydroxy-2-oxoheptanedioate aldolase [EC:4.1.2.52]	lightblue	notsig	0	0.05
K00817	86.4983994937265	119.595057314998	-0.608934589631449	0.625153673654024	-0.46741242285542	0.374846326345976	09100 Metabolism	09105 Amino acid metabolism	00350 Tyrosine metabolism [PATH:ko00350]	hisC; histidinol-phosphate aminotransferase [EC:2.6.1.9]	lightblue	notsig	0	0.05
K00055	0.586706409844878	0.682207468358648	-0.141469232845854	0.210994227158421	-0.217571794985254	0.789005772841579	09100 Metabolism	09105 Amino acid metabolism	00350 Tyrosine metabolism [PATH:ko00350]	E1.1.1.90; aryl-alcohol dehydrogenase [EC:1.1.1.90]	lightblue	notsig	0	0.05
K00129	0.615043284970288	0.694638334977089	-0.109961599630393	0.254009985992202	-0.175574084133	0.745990014007798	09100 Metabolism	09105 Amino acid metabolism	00350 Tyrosine metabolism [PATH:ko00350]	ALDH3; aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]	lightblue	notsig	0	0.05
