id	Prefeed_HiCHO_mean	T1_LoCHO_PROT_mean	theta	prob	log2FC	P	level_1	level_2	level_3	ko_name	color	sig	label_hjust	label_nudge
K00161	8.00011868978852	277.690040328382	-2.20212776782128	0.99328601950993	-5.11731021996057	0.0067139804900701	09100 Metabolism	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	PDHA, pdhA; pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1]	blue	sig	0	0.05
K00627	18.3446895628071	555.551973963973	-3.06691419251412	1	-4.92048749147946	0	09100 Metabolism	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	DLAT, aceF, pdhC; pyruvate dehydrogenase E2 component (dihydrolipoyllysine-residue acetyltransferase) [EC:2.3.1.12]	blue	sig	0	0.05
K04072	983.845971295201	4391.292838793	-2.11437483351956	0.995333463914992	-2.15814137229901	0.00466653608500778	09100 Metabolism	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	adhE; acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]	blue	sig	0	0.05
K20118	81.0020633211464	246.260115441191	-2.02434007464837	0.987866280887378	-1.60415242372547	0.0121337191126217	09100 Metabolism	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	ptsG, glcA, glcB; glucose PTS system EIICBA or EIICB component [EC:2.7.1.199]	blue	sig	0	0.05
K02779	17.2550836296801	48.2435676893821	-1.15581788073122	0.897812060324667	-1.48331513474473	0.102187939675333	09100 Metabolism	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	ptsG; glucose PTS system EIICB or EIICBA component [EC:2.7.1.199]	lightblue	notsig	0	0.05
K01007	290.565262481822	809.822718465346	-1.54110349972631	0.939751864612552	-1.47874387951434	0.0602481353874483	09100 Metabolism	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]	lightblue	notsig	0	0.05
K00150	2.25579173379786	5.88765379000413	-0.709701439318463	0.738506447946262	-1.38405896259349	0.261493552053738	09100 Metabolism	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	gap2, gapB; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) [EC:1.2.1.59]	lightblue	notsig	0	0.05
K00131	0.808638090341084	1.9823348836635	-0.64032524029816	0.655423864729097	-1.29363463580545	0.344576135270903	09100 Metabolism	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]	lightblue	notsig	0	0.05
K00121	17.0696677808539	41.5165870922687	-0.829922241548377	0.789210655377591	-1.2822528704251	0.210789344622409	09100 Metabolism	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	lightblue	notsig	0	0.05
K02791	7.94266146445913	17.6813402242772	-0.578523465029721	0.597903460503084	-1.15453321486837	0.402096539496916	09100 Metabolism	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	malX; maltose/glucose PTS system EIICB component [EC:2.7.1.199 2.7.1.208]	lightblue	notsig	0	0.05
K15779	3.1863731329864	6.95990964215476	-0.579020657769171	0.598626883097493	-1.12715335595671	0.401373116902507	09100 Metabolism	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	PGM2; phosphoglucomutase / phosphopentomutase [EC:5.4.2.2 5.4.2.7]	lightblue	notsig	0	0.05
K00162	2.27379736659146	4.93010228875989	-0.556002368009209	0.564661790350185	-1.11651388797721	0.435338209649815	09100 Metabolism	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	PDHB, pdhB; pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]	lightblue	notsig	0	0.05
K20866	0.88064633743092	1.7671013318816	-0.562722056053447	0.574074933464355	-1.00475010910412	0.425925066535645	09100 Metabolism	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	yihX; glucose-1-phosphatase [EC:3.1.3.10]	lightblue	notsig	0	0.05
K00845	1.14246078821736	2.22513712079693	-0.588552780727318	0.610753977137798	-0.961749593128465	0.389246022862202	09100 Metabolism	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	glk; glucokinase [EC:2.7.1.2]	lightblue	notsig	0	0.05
K13953	95.5303610412315	166.292109431429	-0.706775301034356	0.737122641902908	-0.799688492139344	0.262877358097092	09100 Metabolism	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	adhP; alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]	lightblue	notsig	0	0.05
K01596	31.3570497556997	53.1587151281601	-0.628445392971018	0.641371334713158	-0.761516405272529	0.358628665286842	09100 Metabolism	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	E4.1.1.32, pckA, PCK; phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]	lightblue	notsig	0	0.05
K00138	0.854523831632106	1.27785403095573	-0.326817230124289	0.353700111907941	-0.580530414304334	0.646299888092059	09100 Metabolism	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	aldB; aldehyde dehydrogenase [EC:1.2.1.-]	lightblue	notsig	0	0.05
K00134	4643.04315042614	6796.9724688118	-1.10735303701007	0.893781479484631	-0.549821590431519	0.106218520515369	09100 Metabolism	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]	lightblue	notsig	0	0.05
K00002	4.14219540951527	6.06030064905119	-0.354826330035599	0.384129004388505	-0.548993752181693	0.615870995611495	09100 Metabolism	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	lightblue	notsig	0	0.05
K16305	6.73805799225546	9.32276389437824	-0.316074877194724	0.338763433904264	-0.468424884840111	0.661236566095736	09100 Metabolism	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K16305; fructose-bisphosphate aldolase / 6-deoxy-5-ketofructose 1-phosphate synthase [EC:4.1.2.13 2.2.1.11]	lightblue	notsig	0	0.05
