id	Prefeed_HiCHO_mean	T1_LoCHO_PROT_mean	theta	prob	log2FC	P	level_1	level_2	level_3	ko_name	color	sig	label_hjust	label_nudge
K01539	18.9949641343716	207.009985348509	-2.08728504591599	0.994762547614658	-3.44601146627284	0.00523745238534168	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	04147 Exosome [BR:ko04147]	ATP1A; sodium/potassium-transporting ATPase subunit alpha [EC:7.2.2.13]	blue	sig	0	0.05
K01482	1.87106025492057	11.2136231593338	-1.48902966487019	0.949927965075325	-2.58332456863427	0.0500720349246754	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	04147 Exosome [BR:ko04147]	DDAH, ddaH; dimethylargininase [EC:3.5.3.18]	lightblue	notsig	0	0.05
K00036	15.5522601987777	68.5660800197618	-0.990016572299371	0.847712183405656	-2.14037078305301	0.152287816594344	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	04147 Exosome [BR:ko04147]	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	lightblue	notsig	0	0.05
K01464	4.7199593431091	18.1295645475222	-1.08823045237479	0.89336151335944	-1.94149793589342	0.10663848664056	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	04147 Exosome [BR:ko04147]	DPYS, dht, hydA; dihydropyrimidinase [EC:3.5.2.2]	lightblue	notsig	0	0.05
K00849	327.442056589478	829.03067694747	-2.25149008999626	0.991508254488179	-1.34018585415625	0.00849174551182108	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	04147 Exosome [BR:ko04147]	galK; galactokinase [EC:2.7.1.6]	blue	sig	0	0.05
K01915	1006.92317452383	1634.04944619895	-1.37197866095611	0.951371368207311	-0.698498026105426	0.0486286317926894	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	04147 Exosome [BR:ko04147]	glnA, GLUL; glutamine synthetase [EC:6.3.1.2]	blue	sig	0	0.05
K01278	8.42373968059613	13.361467076299	-0.297964461333049	0.307306925975932	-0.665545664582419	0.692693074024068	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	04147 Exosome [BR:ko04147]	DPP4, CD26; dipeptidyl-peptidase 4 [EC:3.4.14.5]	lightblue	notsig	0	0.05
K01206	678.463305764619	1068.86291941129	-1.15576638355839	0.897800672368596	-0.655734145073997	0.102199327631404	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	04147 Exosome [BR:ko04147]	FUCA; alpha-L-fucosidase [EC:3.2.1.51]	lightblue	notsig	0	0.05
K00759	43.2658944796552	67.6782672376843	-0.641574617439906	0.656943618058948	-0.645462402434553	0.343056381941052	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	04147 Exosome [BR:ko04147]	APRT, apt; adenine phosphoribosyltransferase [EC:2.4.2.7]	lightblue	notsig	0	0.05
K00134	4643.04315042614	6796.9724688118	-1.10735303701007	0.893781479484631	-0.549821590431519	0.106218520515369	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	04147 Exosome [BR:ko04147]	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]	lightblue	notsig	0	0.05
K00002	4.14219540951527	6.06030064905119	-0.354826330035599	0.384129004388505	-0.548993752181693	0.615870995611495	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	04147 Exosome [BR:ko04147]	AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	lightblue	notsig	0	0.05
K01077	35.8642124111866	52.1195521233209	-0.532227410675317	0.538084439866441	-0.539279737406117	0.461915560133559	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	04147 Exosome [BR:ko04147]	E3.1.3.1, phoA, phoB; alkaline phosphatase [EC:3.1.3.1]	lightblue	notsig	0	0.05
K14347	0.659201637435044	0.956947263732159	-0.289858959326497	0.291380611227544	-0.537719595498062	0.708619388772456	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	04147 Exosome [BR:ko04147]	SLC10A7, P7; solute carrier family 10 (sodium/bile acid cotransporter), member 7	lightblue	notsig	0	0.05
K10361	0.530275501873815	0.736347726940799	-0.288750364817782	0.289170487913129	-0.473645114777825	0.710829512086871	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	04147 Exosome [BR:ko04147]	MYO15; myosin XV	lightblue	notsig	0	0.05
K08660	17.0136827785669	23.3236563196663	-0.370772520553693	0.400198222439839	-0.45509850923043	0.599801777560161	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	04147 Exosome [BR:ko04147]	CNDP2; cytosolic nonspecific dipeptidase [EC:3.4.13.18]	lightblue	notsig	0	0.05
K01273	33.6591075654189	45.9525437195577	-0.380466200414223	0.410362205934629	-0.449147798939684	0.589637794065371	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	04147 Exosome [BR:ko04147]	DPEP; membrane dipeptidase [EC:3.4.13.19]	lightblue	notsig	0	0.05
K11140	0.493255424965513	0.643837734244829	-0.246027710997764	0.203456553334202	-0.384362215006581	0.796543446665798	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	04147 Exosome [BR:ko04147]	ANPEP, CD13; aminopeptidase N [EC:3.4.11.2]	lightblue	notsig	0	0.05
K03098	1.52190148683084	1.98573645395761	-0.236110058422983	0.188910135990975	-0.383799185986053	0.811089864009025	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	04147 Exosome [BR:ko04147]	APOD; apolipoprotein D and lipocalin family protein	lightblue	notsig	0	0.05
K02358	9005.66806589914	11609.4745454884	-1.77084330961795	0.972313929485643	-0.366397467691045	0.0276860705143569	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	04147 Exosome [BR:ko04147]	tuf, TUFM; elongation factor Tu	blue	sig	0	0.05
K14462	0.68354688525892	0.851834754304708	-0.199841775164946	0.171680773736216	-0.31753329478939	0.828319226263784	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	04147 Exosome [BR:ko04147]	APOB; apolipoprotein B	lightblue	notsig	0	0.05
K14683	1.13969566504926	1.41358485588753	-0.161589672244792	0.198273075730012	-0.310709858700442	0.801726924269988	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	04147 Exosome [BR:ko04147]	SLC34A, NPT, nptA; solute carrier family 34 (sodium-dependent phosphate cotransporter)	lightblue	notsig	0	0.05
K17080	0.7350530426753	0.911387928682343	-0.18446969863666	0.177921612804632	-0.310216901187786	0.822078387195368	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	04147 Exosome [BR:ko04147]	PHB1; prohibitin 1	lightblue	notsig	0	0.05
K14158	0.546932146500384	0.674652016935422	-0.207107898991265	0.172015853181154	-0.302781696659399	0.827984146818846	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	04147 Exosome [BR:ko04147]	SLC5A1, SGLT1; solute carrier family 5 (sodium/glucose cotransporter), member 1	lightblue	notsig	0	0.05
K08055	0.55053001663328	0.671628894341198	-0.191048296193407	0.174052366636606	-0.286843071992232	0.825947633363394	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	04147 Exosome [BR:ko04147]	B2M; beta-2-microglobulin	lightblue	notsig	0	0.05
K00016	2319.70832225765	2790.86438273868	-0.592528579382197	0.614657753278435	-0.266768607055939	0.385342246721565	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	04147 Exosome [BR:ko04147]	LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]	lightblue	notsig	0	0.05
K00088	1311.26841090605	1575.66883339298	-0.897894591386858	0.817897097314687	-0.265001318698197	0.182102902685313	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	04147 Exosome [BR:ko04147]	IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]	lightblue	notsig	0	0.05
K02147	0.514811057142553	0.616389037125961	-0.177487919888286	0.183630890395754	-0.259798162643612	0.816369109604246	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	04147 Exosome [BR:ko04147]	ATPeV1B, ATP6B; V-type H+-transporting ATPase subunit B	lightblue	notsig	0	0.05
K16938	0.704816832485467	0.839503009382681	-0.137408695516674	0.213887439314883	-0.252287117613592	0.786112560685117	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	04147 Exosome [BR:ko04147]	SEPT3_9_12; septin 3/9/12	lightblue	notsig	0	0.05
K05334	0.498361742067517	0.593575583763927	-0.178216974722645	0.182969087803865	-0.252238428449844	0.817030912196135	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	04147 Exosome [BR:ko04147]	SLC6A19; solute carrier family 6 (neurotransmitter transporter) member 19	lightblue	notsig	0	0.05
K01389	3.52800621860035	4.17205089904076	-0.152314434542713	0.204788247072992	-0.241903655003579	0.795211752927008	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	04147 Exosome [BR:ko04147]	MME, CD10; neprilysin [EC:3.4.24.11]	lightblue	notsig	0	0.05
K18258	0.529220504973321	0.609076486075551	-0.133499677255829	0.217403704496567	-0.202754448202571	0.782596295503433	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	04147 Exosome [BR:ko04147]	CRYM; thiomorpholine-carboxylate dehydrogenase [EC:1.5.1.25]	lightblue	notsig	0	0.05
K10365	0.498288643793675	0.538827492551508	-0.0908918458565383	0.272436631987434	-0.112841768416885	0.727563368012566	09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	04147 Exosome [BR:ko04147]	CAPZB; F-actin-capping protein subunit beta	lightblue	notsig	0	0.05
